ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
ALB,1997,,0.1,31.1,12.4,,0.01,97.0,99.0,95.0,3.0499999523,,98.8,,,,,,,,-65975.0,,20.149,73.904,40.9992381026143
ALB,1998,,0.1,29.8,12.3,,0.01,94.0,96.0,89.0,3.0499999523,,99.1,,,,,,,,-65616.0,,18.001,74.99,20.4196832752429
ALB,1999,,0.1,28.5,12.2,,0.02,96.0,97.0,85.0,3.0299999714,,99.0,,,,,,,,-64787.0,,16.098,75.183,16.5821972034685
ALB,2000,26.2,0.1,27.1,12.0,86.3970439494077,0.02,96.0,97.0,95.0,3.19,89.4886714004041,99.1,,14.0,0.888852767784531,0.8,26.5668591109462,5.94419765,,-63610.0,,14.792,75.404,4.11688108231861
ALB,2001,25.6,0.1,25.8,11.7,86.9040684917649,0.02,96.0,97.0,95.0,3.17,90.0309542893634,99.0,,13.0,0.836397042592124,0.7,27.1840666561098,5.92584515,,-62059.0,4.9,9.697,75.639,6.97612769104126
ALB,2002,25.0,0.1,24.3,11.4,87.4516357159612,0.03,96.0,98.0,96.0,3.1,90.605514785525,98.0,,12.0,0.78189877696413,0.7,27.7694958624439,5.66464472,25.4,-59876.0,6.0,13.217,75.89,6.91520644292345
ALB,2003,24.6,0.1,22.9,11.1,87.9871967181199,0.03,97.0,97.0,93.0,3.08,91.1654586707594,98.8,,12.0,0.728191014822315,0.6,28.3333337332901,5.91140795,,-57308.0,7.4,15.231,76.142,5.36697326309711
ALB,2004,24.1,0.1,21.4,10.9,88.5105812614285,0.04,99.0,97.0,96.0,3.07,91.7106511759046,99.3,,11.0,0.67528075666343,0.5,28.875399667303,5.89364862,,-54383.0,8.6,19.046,76.376,4.27737992521115
ALB,2005,23.5,0.1,20.0,10.5,89.0211858391228,0.04,98.0,98.0,97.0,3.06,92.3229745372511,99.8,,11.0,0.623198173073134,0.6,29.6935708832737,5.72954512,18.5,-50855.0,8.9,18.869,76.621,5.07809382866511
ALB,2006,23.0,0.1,18.5,9.9,89.5191349968004,0.05,98.0,97.0,95.0,3.11,92.9214092333686,99.0,,11.0,0.57193484244083,0.5,30.5252627033953,5.63177013,,-47174.0,8.8,17.503,76.816,3.16309553181125
ALB,2007,22.5,0.1,17.1,9.2,90.0041903832584,0.05,98.0,98.0,97.0,3.09,93.5057456524919,,,10.0,0.521500376708153,0.6,31.3334931535303,5.92609119,,-43019.0,8.3,17.309,77.549,3.52812681499024
ALB,2008,22.0,0.1,15.8,8.3,90.4761498369914,0.06,99.0,99.0,98.0,3.08,94.0758130632297,,,10.0,0.471902854710129,0.5,32.1182143913787,5.50900269,,-38736.0,7.4,18.545,77.653,3.15073844161766
ALB,2009,21.5,0.1,14.5,7.3,90.9344096153208,0.06,98.0,98.0,97.0,3.0,94.6311525971364,99.3,,9.0,0.423169992884781,0.5,32.880057951459,5.82603931,,-34116.0,6.1,18.987,77.781,2.90048784499383
ALB,2010,21.1,0.1,13.3,6.6,91.3794796111017,0.06,99.0,99.0,99.0,2.99,95.1721612127179,,,9.0,0.375274164159158,0.5,33.6182788313242,6.23667669,,-29330.0,5.4,19.65,77.936,4.08457542468858
