ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
ATG,1997,,,15.5,10.2,,,,99.0,93.0,,,,,,,,,,,493.0,,64.099,73.96,1.40414926106645
ATG,1998,,,15.4,10.2,,,,99.0,99.0,,,100.0,,,,,,,,465.0,,58.318,74.041,
ATG,1999,,,15.2,10.1,,,,99.0,99.0,,,,,,,,,,,390.0,,57.002,74.347,
ATG,2000,22.0,,14.9,9.9,,,,95.0,95.0,,,99.9,,51.0,,0.3,,4.71542597,,271.0,,63.429,74.606,6.66178136033575
ATG,2001,21.6,,14.6,9.8,,,96.0,97.0,97.0,2.6,,100.0,,47.0,,0.5,,5.43839121,,148.0,,61.027,75.078,9.18454372498852
ATG,2002,21.1,,14.3,9.6,,,99.0,98.0,99.0,2.3,,99.0,,41.0,,1.0,,5.28793621,,51.0,,56.92,75.536,6.47710343934193
ATG,2003,20.7,,13.9,9.3,,,99.0,99.0,99.0,2.5,,99.0,,44.0,,1.0,,5.58143282,,41.0,,53.757,75.478,6.40413963586062
ATG,2004,20.2,,13.6,9.0,,,97.0,97.0,97.0,2.4,,100.0,,43.0,,0.7,,5.11667967,,101.0,,51.554,75.672,5.0670754107498
ATG,2005,19.6,,13.3,8.7,,,99.0,99.0,99.0,2.4,,99.9,,34.0,,0.1,,4.99094057,,202.0,,49.532,75.825,3.75615069676595
ATG,2006,19.0,,13.0,8.3,,,99.0,99.0,99.0,2.4,,99.9,,35.0,,0.1,,4.63050652,,314.0,,48.18,75.765,13.5977897410857
ATG,2007,18.5,,12.7,8.0,,,97.0,99.0,99.0,2.0,,100.0,,34.0,,0.3,,4.44609547,,372.0,,48.723,76.131,20.7277892593473
ATG,2008,17.9,,12.4,7.7,,,98.0,99.0,99.0,1.7,,100.0,,39.0,,0.8,,4.20027018,,369.0,,54.779,76.41,19.2189883605002
ATG,2009,17.5,,12.2,7.4,98.3665557888391,,98.0,99.0,99.0,2.2,97.3382623808046,100.0,,37.0,0.626717501097609,1.0,,4.17732763,,338.0,,51.622,76.669,18.9274074775089
ATG,2010,17.1,,11.9,7.1,98.3661765475755,,98.0,98.0,98.0,2.2,97.3536211069896,100.0,,31.0,0.62615447349533,0.7,,5.37907028,,295.0,,42.477,76.82,7.00157535445475
ATG,2011,16.8,,11.7,6.9,98.3658215623444,,99.0,99.0,99.0,2.13,97.3677830429391,,,31.0,0.625635097963854,0.7,,5.44257212,,247.0,,40.163,77.104,
ATG,2012,16.7,,11.5,6.7,98.365707226978,,98.0,98.0,98.0,,97.3724715198517,100.0,,30.0,0.625463285192762,0.0,,5.47921467,,203.0,,36.808,77.35,11.4058900015968
ATG,2013,16.6,,11.3,6.5,98.3655938007866,,99.0,99.0,96.0,3.98,97.377133715389,100.0,,29.0,0.625292446690191,0.6,,5.50909233,,156.0,,33.761,77.583,
ATG,2014,16.6,,11.1,6.4,98.36547509164,,99.0,99.0,93.0,3.93,97.3817635895337,100.0,,23.0,0.625122539891064,0.6,,5.87269926,,108.0,,33.422,77.858,
ATG,2015,16.6,,10.9,6.3,98.3653622690749,,99.0,99.0,91.0,4.01,97.3863992440452,100.0,,27.0,0.624952672188707,0.6,,5.27965546,,60.0,,34.834,77.913,
ATG,2016,16.7,,10.8,6.1,98.3652624014084,,92.0,92.0,88.0,3.36,97.3904780793345,,,21.0,0.624803183571807,0.8,,5.12190151,,16.0,,30.373,78.152,
ATG,2017,16.9,,10.6,6.0,98.3651754449695,,95.0,95.0,99.0,3.24,97.3939999567314,100.0,,21.0,0.624674077163256,1.1,,4.87493944,,0.0,,30.352,78.268,21.9493190223773
ATG,2018,17.0,,10.4,5.9,98.365100591671,,95.0,95.0,96.0,,97.3970184718327,,,19.0,0.624563409681716,0.8,,4.84869289,,0.0,,27.548,78.511,13.0967907405689
ATG,2019,17.2,,10.2,5.8,98.3650387230105,,99.0,95.0,93.0,,97.3994801016802,,,19.0,0.624473124876408,0.7,,4.37567186,,0.0,,30.83,78.691,3.25674553418769
ATG,2020,,,10.0,5.7,98.3649937785451,,95.0,96.0,89.0,3.29,97.401415922773,99.0,,21.0,0.624402279475356,,,5.92146206,,0.0,,32.959,78.841,9.71250971250971
ATG,2021,,,9.8,5.5,98.364957284814,,92.0,92.0,85.0,,97.4028176183176,,,,0.624350817066035,,,5.85133028,,0.0,,33.11,78.497,17.1637908377539
ATG,2022,,,9.5,5.3,98.3649356183032,,99.0,99.0,99.0,,97.403718511033,,,,0.624317815790139,,,,,0.0,,32.262,79.236,
ATG,2023,,,,,,,,,,,,,,,,,,,,0.0,,,,
