ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
AUT,1997,,,6.0,3.2,,,,90.0,90.0,9.1999998093,,98.2,,,,,,,,1459.0,,14.465,77.319512195122,0.828407550909723
AUT,1998,,,5.8,3.2,,,,82.0,78.0,9.0,,98.3,,,,,,,,8493.0,,13.868,77.6707317073171,0.965412892048534
AUT,1999,,,5.6,3.1,,,,74.0,65.0,8.8999996185,,98.3,,,,,,,,19768.0,,13.395,77.8756097560976,0.750809325527336
AUT,2000,11.7,,5.5,3.1,99.9999997317949,,33.0,81.0,75.0,7.95,99.9999792345039,98.3,,6.0,0.0,0.2,99.7066475266263,9.2,,17531.0,,14.06,78.1268292682927,1.02366558792704
AUT,2001,11.5,,5.4,3.1,100.0,,44.0,84.0,79.0,7.85,99.999991799194,98.3,,6.0,0.0,0.2,99.7046031680579,9.27,,39173.0,2.5,13.989,78.5756097560976,0.870687322438091
AUT,2002,11.4,,5.3,3.0,99.9999992989147,,81.0,83.0,78.0,7.81,99.9999980392323,98.4,,6.0,0.0,0.2,99.7025524462951,9.39,13.2,37429.0,2.5,14.086,78.6780487804878,0.80455581587406
AUT,2003,11.4,,5.2,3.0,99.9999970414865,,83.0,84.0,79.0,7.73,99.9983754167631,98.4,,6.0,0.0,0.2,99.6988655253329,9.55,13.0,44003.0,2.5,13.662,78.6317073170732,0.615755660272331
AUT,2004,11.4,,5.1,2.9,99.9999975141402,,83.0,83.0,74.0,7.74,99.996530510081,98.4,,5.0,0.0,0.1,99.6949489268773,9.71,12.6,54907.0,2.5,13.758,79.1804878048781,0.722046711159838
AUT,2005,11.3,,4.9,2.8,99.9999992165691,,86.0,86.0,75.0,7.69,99.9947044560317,98.6,,6.0,0.0,0.2,99.6910511884831,9.63,12.6,50282.0,2.5,13.004,79.3317073170732,0.656372596954589
AUT,2006,11.3,,4.8,2.7,100.0,,83.0,83.0,80.0,7.66,99.9928973265328,98.6,,6.0,0.0,0.3,99.6871723630859,9.53,12.0,25420.0,2.5,12.213,79.8804878048781,0.737805332723898
AUT,2007,11.3,,4.6,2.7,99.9999990816826,,85.0,85.0,79.0,7.75,99.9911019826259,98.5,,6.0,0.0,0.4,99.683290617904,9.53,15.2,23729.0,2.5,11.46,80.1804878048781,0.542513661096779
AUT,2008,11.3,,4.5,2.6,99.9999983100254,,83.0,83.0,83.0,7.69,99.9893267550083,98.6,,6.0,0.0,0.2,99.6794289468139,9.73,14.5,25499.0,2.5,11.382,80.4317073170732,0.697020591490472
AUT,2009,11.3,,4.4,2.5,100.0,,83.0,83.0,76.0,7.68,99.9875724384066,98.6,,6.0,0.0,0.2,99.6755882166477,10.23,14.7,17121.0,2.5,10.712,80.3317073170732,0.611295628499106
AUT,2010,11.3,,4.3,2.5,100.0,,86.0,86.0,80.0,7.65,99.9858342390638,98.5,,6.0,0.0,0.3,99.6717561725628,10.22,14.5,22786.0,2.5,10.434,80.5804878048781,0.729418238732372
AUT,2011,11.4,,4.2,2.4,99.9999994181032,,89.0,89.0,84.0,7.68,99.984111541528,98.6,,6.0,0.0,0.2,99.6679396794352,10.03,14.4,31665.0,2.5,9.606,80.9829268292683,0.917628045906905
AUT,2012,11.5,,4.0,2.4,99.9999966635574,,92.0,92.0,88.0,7.67,99.9823078846103,98.5,,6.0,0.0,0.2,99.6663719734666,10.2,14.4,44891.0,2.5,9.054,80.9365853658537,0.960895526159402
AUT,2013,11.6,,3.9,2.3,99.999997857895,,95.0,95.0,92.0,7.64,99.9804526499749,98.5,,6.0,0.0,0.2,99.6659101526885,10.29,14.1,56494.0,2.5,8.462,81.1365853658537,0.719378730376734
AUT,2014,11.8,,3.8,2.3,100.0,,98.0,98.0,96.0,7.58,99.9785880353987,98.5,,6.0,0.0,0.2,99.6654462844796,10.37,13.9,74263.0,2.5,7.947,81.490243902439,0.491454225339134
AUT,2015,12.0,,3.7,2.3,99.9999988248374,,93.0,93.0,96.0,7.54,99.9767047978383,98.5,,6.0,0.0,0.1,99.6649564672626,10.37,14.1,115125.0,2.5,7.913,81.190243902439,0.509116600545148
