ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
BGD,1997,,0.1,102.6,50.3,,0.01,,78.0,72.0,,,7.7,,,,,,,,-390261.0,,151.788,61.427,
BGD,1998,,0.1,96.8,48.3,,0.01,,77.0,71.0,,,,,,,,,,,-407859.0,,149.733,63.917,
BGD,1999,,0.1,91.2,46.3,,0.01,,80.0,71.0,0.3000000119,,,,,,,,,,-435710.0,,146.969,66.228,
BGD,2000,35.6,0.1,86.0,44.3,94.8189212128758,0.01,,82.0,74.0,,24.5131903542463,12.1,,441.0,16.8523575803875,0.3,11.0465156973418,1.80504513,,-424718.0,,147.994,65.779,2.58759494598355
BGD,2001,35.5,0.1,81.0,42.5,94.9936859433404,0.01,,85.0,77.0,0.3,26.0705975336452,12.0,,437.0,15.8690409065041,0.3,11.7415264957136,1.77201855,,-347605.0,15.6,142.584,66.135,2.79333673596886
BGD,2002,35.5,0.1,76.4,40.7,95.1737696316763,0.01,,83.0,75.0,0.34,27.6554493983047,,,414.0,14.8724630806337,0.3,12.4578562529631,1.93417108,,-451611.0,14.8,138.077,66.612,2.61145411057861
BGD,2003,35.6,0.1,72.1,39.1,95.3525625591624,0.01,5.0,87.0,76.0,,29.231867657353,13.9,,404.0,13.8856970425791,0.3,13.1734043129558,1.96152198,,-533925.0,14.4,136.63,66.824,2.5427974290318
BGD,2004,35.7,0.1,68.2,37.5,95.5299724790634,0.01,11.0,99.0,81.0,,30.7992984470831,13.2,,372.0,12.9092118634376,0.3,13.8879417486172,1.99854314,,-535175.0,13.9,134.765,67.187,2.8114473171555
BGD,2005,35.8,0.1,64.5,36.1,95.7089575160626,0.01,45.0,93.0,88.0,0.3,32.4431837647269,,19.9605267494168,376.0,11.9435565955388,0.3,14.6045903393346,2.05873919,,-715970.0,13.7,121.664,67.299,2.54909799950841
BGD,2006,35.8,0.1,61.0,34.7,95.8847117824058,0.01,86.0,94.0,83.0,,34.0875250851519,20.1,20.1840629714846,353.0,10.9886685700224,0.3,15.3234454805771,2.10646582,,-1146688.0,13.2,119.067,67.241,2.92086808171344
BGD,2007,35.8,0.1,57.7,33.3,96.0570984545243,0.01,95.0,94.0,89.0,0.36,35.7309011894357,18.0,20.4113886455414,377.0,10.0449899307638,0.3,16.044255498988,2.17268491,,-923456.0,13.2,123.323,66.714,2.6801089033079
BGD,2008,35.8,0.1,54.6,32.0,96.2259786038382,0.01,96.0,96.0,92.0,0.38,37.3719166265714,,20.6421871935002,368.0,9.1129264627165,0.3,16.7650076659195,2.11878848,,-1390782.0,12.9,115.765,67.051,2.81870640176704
BGD,2009,35.7,0.1,51.7,30.7,96.3912331775333,0.01,97.0,97.0,93.0,0.5,39.0092124920905,24.4,20.8761425262916,338.0,8.19285035419833,0.3,17.4850820115702,2.18321705,,-740788.0,14.4,112.422,67.403,2.87580378852216
BGD,2010,35.7,0.1,49.1,29.5,96.5528253694261,0.01,94.0,94.0,88.0,0.55,40.6418673210665,26.5,24.4200511170471,301.0,7.28487690286853,0.3,18.2042185990613,2.28807664,,-462265.0,15.2,112.165,68.638,2.68749199813241
BGD,2011,35.7,0.1,46.7,28.4,96.710597256145,0.01,96.0,96.0,93.0,0.55,42.268339101128,31.7,27.9398974348485,301.0,6.38945086332652,0.3,18.9216607355632,2.36418128,,-341152.0,16.1,100.959,68.809,2.64028590102208
BGD,2012,35.7,0.1,44.5,27.3,96.864384577712,0.01,94.0,94.0,88.0,0.63,43.8868927179976,,31.4338413674952,237.0,5.50711652030589,0.3,19.6363873290294,2.3537879,,-242022.0,15.8,100.956,69.554,2.7049657645127
BGD,2013,35.7,0.1,42.4,26.2,97.0140618269523,0.01,96.0,96.0,91.0,0.59,45.4961634604437,36.5,34.9006341871541,219.0,4.63819361451294,0.2,20.3475840101563,2.29574466,,-194048.0,15.6,99.307,69.565,2.85203922703712
BGD,2014,35.8,0.1,40.4,25.1,97.1596636760135,0.01,97.0,97.0,94.0,0.6,47.0955366737352,42.1,38.3409029084751,219.0,3.78259351963117,0.3,21.5099792479654,2.27915168,,-219628.0,14.8,88.557,69.986,2.89430778238872
BGD,2015,35.9,0.1,38.5,24.1,97.3011010904708,0.01,98.0,98.0,97.0,0.77,48.6838158473245,,41.753598188802,212.0,2.94053980148434,0.3,22.7001317558323,2.27217698,,-286512.0,14.8,83.664,70.491,2.55654819285481
BGD,2016,36.0,0.1,36.8,23.0,97.4383909094007,0.01,98.0,98.0,97.0,0.8,50.2602922140672,49.8,45.1391016623656,196.0,2.11199103639643,0.3,23.917082859454,2.38938212,,-55013.0,14.3,83.359,71.09,2.24740100606148
BGD,2017,36.2,0.1,35.1,21.8,97.5714932946819,0.01,98.0,98.0,97.0,0.85,51.8240359497362,67.8,48.4969593153711,183.0,1.29702383544149,0.3,25.1595538380698,2.36720181,,-175755.0,13.6,78.29,71.788,2.19353053922806
BGD,2018,36.4,0.1,33.6,20.7,97.700411546896,0.01,98.0,98.0,97.0,0.88,53.374264785747,52.7,51.8270206745033,172.0,0.49564201305501,0.3,26.4263773093818,2.31622243,,-323380.0,12.7,78.359,72.567,2.33987499251454
BGD,2019,36.7,0.1,32.2,19.7,97.8251365713411,0.01,98.0,98.0,97.0,0.88,54.9102399606066,59.0,55.1293324449055,157.0,0.0139412427456742,0.3,27.7164178185098,2.25762248,,-344054.0,11.8,77.678,72.806,
BGD,2020,,0.1,31.0,18.8,97.945676020447,0.01,98.0,98.0,97.0,,56.4312334257288,,58.4039524419607,123.0,0.0,,29.0285126246898,2.27063942,,-61154.0,11.7,76.411,71.968,
BGD,2021,,0.1,29.8,18.1,98.0330197120009,0.01,98.0,98.0,97.0,,57.9366246208439,,61.6507298351674,,0.0,,30.1546997662889,2.36492991,,-174500.0,11.2,75.496,72.381,
BGD,2022,,0.1,28.8,17.4,98.0970629849078,0.01,98.0,98.0,97.0,,59.2951914692048,,61.7285374284022,,0.0,,30.9761938288039,,18.7,-309977.0,,73.345,73.698,
BGD,2023,,,,,,,,,,,,,,,,,,,,-309977.0,,,,
