ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
BOL,1997,,0.3,89.3,33.3,,0.34,,58.0,51.0,,,,,,,,,,,-21294.0,,90.963,60.752,
BOL,1998,,0.3,84.7,31.9,,0.34,,61.0,65.0,,,56.7,,,,,,,,-20022.0,,91.297,61.332,
BOL,1999,,0.3,80.2,30.6,,0.37,,77.0,79.0,,,,,,,,,,,-18562.0,,92.943,61.871,
BOL,2000,33.1,0.3,75.7,29.5,80.7715746117768,0.38,77.0,75.0,84.0,,34.8811874412867,67.3,,284.0,33.2074842000275,1.1,,4.39554119,66.4,-17675.0,,90.335,62.346,
BOL,2001,33.2,0.3,71.5,28.6,81.4940913476166,0.36,77.0,71.0,88.0,,36.0196772037858,,,261.0,31.9256350192306,1.0,,4.82522202,63.1,-16536.0,27.8,87.173,62.843,
BOL,2002,33.3,0.3,67.4,27.9,82.192495481738,0.36,77.0,77.0,91.0,,37.1412514213975,65.1,,253.0,30.6715343994077,1.0,,4.89645052,63.3,-16253.0,27.0,84.271,63.306,
BOL,2003,33.3,0.3,63.6,27.4,82.878552285047,0.36,80.0,88.0,96.0,1.0,38.2561389140297,60.8,,251.0,29.4304809954382,0.9,,5.19709635,,-15499.0,27.9,82.575,63.635,
BOL,2004,33.0,0.3,59.9,26.9,83.5560293047153,0.36,84.0,84.0,90.0,1.0,39.3677022723761,60.8,,236.0,28.197700650819,0.9,,4.86315727,63.1,-15173.0,27.9,81.857,64.004,
BOL,2005,32.6,0.3,56.5,26.4,84.2242902869626,0.37,85.0,85.0,89.0,1.06,40.47531433417,,,230.0,26.9740211339744,0.8,,5.07408142,60.6,-14657.0,27.1,81.135,64.386,
BOL,2006,32.3,0.3,53.2,25.7,84.8844138580423,0.36,83.0,83.0,88.0,1.09,41.5799679174853,,,218.0,25.7580583340318,0.8,,4.66087532,59.9,-14110.0,24.8,80.342,64.779,
