ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
BRA,1997,,0.3,42.1,21.5,,0.4,6.0,79.0,99.0,,,98.6,,,,,,,,-20429.0,,87.621,68.813,24.0331008068879
BRA,1998,,0.3,39.5,20.7,,0.4,13.0,93.0,95.0,,,98.6,,,,,,,,-22409.0,,88.216,69.189,24.5264547442023
BRA,1999,,0.3,37.0,20.0,,0.41,84.0,94.0,99.0,,,98.6,,,,,,,,-26152.0,,87.211,69.524,24.736249894019
BRA,2000,26.9,0.3,34.6,18.9,93.4715252595615,0.38,94.0,98.0,99.0,2.78,73.1287988328203,98.6,,68.0,8.91002577472684,0.1,35.74204222795,8.33457184,,-1761.0,,86.362,69.737,25.7997614021008
BRA,2001,26.3,0.3,32.4,17.9,93.8143435778762,0.38,91.0,98.0,99.0,2.75,74.0379078842192,98.3,,68.0,8.36775001150382,0.1,36.1676264750764,8.54963303,,3453.0,10.7,85.862,70.195,26.908980252251
BRA,2002,25.8,0.3,30.3,16.9,94.1424897502086,0.38,92.0,99.0,96.0,2.56,74.9279834778336,98.5,,72.0,7.84565565261912,0.1,36.5859000777281,8.69686985,,6018.0,9.3,81.978,70.41,27.5437239232765
BRA,2003,25.4,0.4,28.3,15.9,94.4635263894455,0.39,97.0,99.0,97.0,2.4,75.8126402714995,98.4,,69.0,7.33410607962328,0.1,37.0021467912669,8.18899441,,-16908.0,7.9,78.704,70.72,27.9604675434352
BRA,2004,24.9,0.4,26.4,15.0,94.7773576406478,0.39,96.0,99.0,97.0,,76.6915371557584,98.6,,70.0,6.83318909105933,0.1,37.4162358808587,8.12491989,,-5390.0,6.9,78.351,71.131,26.1982810573398
BRA,2005,24.2,0.4,24.7,14.2,95.0841359766136,0.39,98.0,99.0,98.0,2.5,77.5647914194703,98.6,,70.0,6.34268463024857,0.1,37.8282147280108,8.03539562,,-42926.0,6.5,77.864,71.753,25.4784150866907
BRA,2006,23.6,0.4,23.2,13.4,95.3841881864926,0.39,99.0,99.0,99.0,2.45,78.4329110515648,97.0,,71.0,5.86214837296525,0.1,38.2382811967098,8.24952507,,-34007.0,6.2,75.657,72.037,26.0379315863291
