ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
DOM,1997,,1.3,44.0,23.1,,1.97,,73.0,79.0,,,,,,,,,,,-30020.0,,111.364,69.166,12.7360775531418
DOM,1998,,1.4,42.5,23.2,,1.84,62.0,75.0,80.0,,,,,,,,,,,-30030.0,,110.02,69.096,13.5351728248986
DOM,1999,,1.5,41.0,23.2,,1.68,76.0,83.0,83.0,,,97.4,,,,,,,,-30104.0,,111.036,69.279,12.673315917233
DOM,2000,36.8,1.5,39.8,23.1,90.7924722514787,1.51,68.0,78.0,85.0,,76.9636611789654,97.6,,79.0,5.23001867547858,0.4,52.4876414736072,4.88427496,,-30231.0,,112.23,69.423,14.1673052198968
DOM,2001,36.2,1.5,38.8,23.0,91.1178324253381,1.35,66.0,72.0,88.0,,77.4731184262681,,,69.0,5.05857913420612,0.3,52.7325119839436,4.88183308,,-30371.0,20.6,112.017,69.642,12.6311571195402
DOM,2002,35.5,1.4,38.0,22.9,91.435646539085,1.22,63.0,82.0,86.0,,77.9820353057035,97.8,,70.0,4.88988467667992,0.3,52.2893427266583,4.98649025,,-30477.0,22.8,110.884,69.923,14.5421866104778
DOM,2003,34.7,1.4,37.3,22.9,91.8077852060939,1.1,79.0,79.0,83.0,2.0999999046,78.5437918746167,,,75.0,4.69486662683299,0.3,51.8090415524549,4.38888264,,-30549.0,23.8,109.873,70.265,21.3232237485555
DOM,2004,33.9,1.4,36.7,23.0,92.1921556677702,1.02,82.0,79.0,81.0,,79.1254708313504,,,81.0,4.4926572100478,0.3,51.3162959751453,4.2877388,,-30709.0,23.2,105.859,70.331,24.7591347550466
DOM,2005,33.0,1.3,36.3,23.2,92.560501429008,0.95,87.0,87.0,79.0,2.0,79.7030292527123,,,87.0,4.29645379944263,0.3,50.8281154625688,4.35391188,,-30883.0,19.4,103.28,70.875,26.1217741682059
DOM,2006,32.0,1.3,35.9,23.5,92.913697850273,0.88,84.0,89.0,81.0,,80.2769680495933,95.5,,85.0,4.10587110931615,0.3,50.3439520568717,3.99365425,,-30977.0,16.6,101.253,71.165,23.0930762993518
DOM,2007,30.9,1.2,35.6,23.7,93.2516903933828,0.81,81.0,85.0,82.0,1.21,80.8469439336186,97.8,,89.0,3.92097711772024,0.3,49.8638531547907,4.08935308,,-30898.0,16.4,102.863,71.371,22.4521777123369
DOM,2008,30.0,1.2,35.4,23.9,93.5748270114348,0.75,81.0,82.0,83.0,1.59,81.4129705361053,,52.7842418275993,92.0,3.74164224028702,0.3,49.3876058803168,4.56146193,,-30605.0,16.2,105.496,71.658,25.1392754186663
DOM,2009,29.4,1.2,35.2,24.1,93.8825382524856,0.7,80.0,82.0,84.0,1.46,81.9741070669218,,52.9848849130133,93.0,3.5682030774518,0.3,48.9156070738081,4.76337624,,-30468.0,15.5,104.701,71.871,24.6163451910182
DOM,2010,28.9,1.2,35.1,24.3,94.1760683245957,0.7,83.0,88.0,85.0,1.61,82.5312234804459,97.8,53.1805198281678,92.0,3.40009812581142,0.3,48.4470925370126,4.92355442,,-30489.0,13.5,109.433,72.093,25.3075082180353
DOM,2011,28.5,1.1,35.0,24.3,94.4444256486131,0.7,80.0,84.0,87.0,1.58,83.0716701410363,98.7,53.3540205084918,93.0,3.24306763771723,0.3,47.9894753603467,5.03797865,,-30572.0,11.7,109.026,72.221,25.3742602413614
DOM,2012,28.0,1.1,35.0,24.3,94.6933128036424,0.63,74.0,85.0,88.0,1.73,83.6001473961909,98.8,53.511529994108,91.0,3.09446959964927,0.4,47.5393251594651,5.04897833,,-30615.0,10.4,106.089,72.514,22.6101741297438
DOM,2013,27.6,1.1,35.0,24.3,94.9309985562416,0.58,80.0,83.0,83.0,1.72,84.125197712206,98.6,52.9303426224003,93.0,2.95014637506397,0.4,47.0912268376896,4.91598225,,-30563.0,9.2,100.151,72.713,19.4741564259154
DOM,2014,27.5,1.1,35.0,24.3,95.1580058945339,0.55,89.0,91.0,88.0,1.53,84.647073342206,98.6,52.348442998805,96.0,2.8098751640333,0.4,46.6448631446763,4.79757166,,-30449.0,8.4,97.477,72.867,17.6033821835294
DOM,2015,27.3,1.0,35.1,24.4,95.3747469801697,0.52,81.0,85.0,90.0,1.52,85.1659174636995,99.6,51.7658530668321,99.0,2.67349396340074,0.5,46.2000022096179,4.72216797,,-30310.0,7.4,95.116,72.953,
DOM,2016,26.9,1.0,35.1,24.4,95.5814520794296,0.54,80.0,87.0,85.0,1.37,85.6816410321982,99.8,51.1822648651873,102.0,2.54094366433241,0.5,45.7565503783301,4.57663107,,-30181.0,6.7,91.817,72.987,15.3501396781971
DOM,2017,26.6,1.0,35.0,24.4,95.778187449797,0.56,81.0,84.0,86.0,1.49,86.1939043454462,99.8,50.5970105191273,104.0,2.41225147626508,0.5,45.3145190117094,4.49336958,25.6,-30055.0,6.0,87.909,73.063,11.4207958416281
DOM,2018,26.5,1.0,34.8,24.2,95.9642010802929,0.59,84.0,87.0,91.0,1.24,86.7010103958204,99.7,50.0073403131818,109.0,2.2879736441855,0.4,44.8746377632392,4.12601566,22.8,-29944.0,5.7,83.874,73.232,9.92055152321569
DOM,2019,26.4,1.0,34.4,23.9,96.1401141515674,0.63,87.0,89.0,96.0,1.25,87.2031083799599,99.2,49.4131682229902,103.0,2.16787581605461,0.4,44.4365867783292,4.23948717,21.0,-29830.0,6.3,78.455,73.577,9.42851570029359
DOM,2020,,1.0,33.9,23.4,96.3065793359028,0.65,81.0,82.0,82.0,1.42,87.7003894263525,,48.8144407220184,107.0,2.05173034646244,,44.0000775190469,4.93998051,23.4,-14966.0,6.3,68.278,72.889,8.73663089784519
DOM,2021,,1.0,33.2,22.9,96.7046144512381,0.66,83.0,84.0,88.0,,88.1932241226555,,48.2114397000082,,1.93923267520955,,43.5646980049231,4.91815567,23.9,-14966.0,6.3,65.629,72.615,10.5415842337116
DOM,2022,,1.0,32.4,22.4,96.7545243422804,0.59,87.0,88.0,91.0,,88.6817918806029,,48.3248542782971,,1.83017538770409,,43.130185712713,,,-29294.0,,63.198,74.17,
DOM,2023,,,,,,,,,,,,,,,,,,,,-29099.0,,,,
