ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
ECU,1997,,0.2,35.5,17.0,,0.43,,81.0,77.0,,,,,,,,,,,-47259.0,,89.727,71.681,10.9824984093946
ECU,1998,,0.2,33.3,15.9,,0.45,,85.0,89.0,,,,,,,,,,,-47999.0,,91.693,72.045,13.4658502948037
ECU,1999,,0.3,31.3,14.9,,0.45,,79.0,99.0,,,99.1,,,,,,,,-46434.0,,91.5,72.463,13.5513516466181
ECU,2000,25.1,0.3,29.5,14.0,82.307372343955,0.43,36.0,87.0,99.0,1.55,70.2769836057393,70.9,,120.0,13.1693818323899,0.6,39.9825688765553,3.33441973,,-41899.0,,88.773,72.839,14.5170790306456
ECU,2001,24.3,0.3,27.9,13.3,83.0397753678423,0.4,69.0,89.0,99.0,1.57,71.2058646927027,71.4,,116.0,12.4658056459227,0.6,40.0217738587243,3.75668859,,-34968.0,21.0,88.083,73.24,12.9072226809641
ECU,2002,23.4,0.3,26.6,12.6,83.7853304814912,0.36,75.0,88.0,99.0,1.5,72.0815379211086,73.7,,111.0,11.8095514237839,0.6,40.0610953298579,4.47671938,,-28089.0,22.7,88.435,73.613,14.5823356272969
ECU,2003,22.7,0.3,25.4,12.0,84.5049724237034,0.34,82.0,87.0,99.0,1.39,72.9234098845217,75.1,,98.0,11.1835456694732,0.6,40.1022623713675,5.44398975,,-22605.0,22.7,88.523,73.975,
ECU,2004,22.0,0.3,24.4,11.5,85.2242831812291,0.31,88.0,88.0,99.0,1.57,73.7606513816893,76.4,,94.0,10.5611562211609,0.5,40.1387999908677,5.56991434,,-20921.0,22.7,87.349,74.279,
ECU,2005,21.4,0.3,23.4,11.0,85.9430527454143,0.29,92.0,92.0,93.0,1.55,74.8640284637925,78.5,,92.0,9.94256542181597,0.5,40.3021890784805,5.59754324,,-16816.0,22.3,86.874,74.514,
ECU,2006,20.7,0.3,22.5,10.5,86.661280805982,0.27,96.0,96.0,97.0,1.42,75.9674946038846,80.6,,90.0,9.32774586753463,0.5,40.4601154572982,5.70635176,,-12621.0,22.7,87.164,74.689,
ECU,2007,20.0,0.3,21.6,10.1,87.3793619728247,0.27,94.0,96.0,98.0,1.44,77.0714321378658,82.0,,88.0,8.7163397617992,0.5,40.6123365226797,5.43095398,36.7,-9625.0,22.0,89.208,74.844,15.9488228726749
ECU,2008,19.3,0.3,20.7,9.6,88.0969010489875,0.26,93.0,96.0,98.0,1.63,78.175463960346,84.0,,88.0,8.10868628752065,0.5,40.759046647027,5.46596193,35.1,-8776.0,21.1,90.694,74.983,17.9832827899846
ECU,2009,18.8,0.4,19.8,9.2,88.8138907242714,0.25,91.0,94.0,97.0,1.52,79.2795986257367,85.6,,86.0,7.50475969081263,0.5,40.9002413872797,5.79984474,36.0,-8487.0,15.8,92.019,75.184,17.8053426338043
ECU,2010,18.3,0.4,18.9,8.8,89.5305233009271,0.25,90.0,91.0,95.0,1.59,80.3840121976879,87.4,86.9755185497672,76.0,6.90439265525559,0.5,41.0357638362499,6.22109413,32.8,-8315.0,12.0,91.858,75.43,17.5054873932305
ECU,2011,17.7,0.4,18.0,8.4,90.2407039603204,0.25,88.0,88.0,94.0,1.61,81.4838302709146,89.7,86.9972764574632,73.0,6.31196708882671,0.5,41.1712001972295,6.580935,28.6,-8135.0,8.1,91.278,75.743,15.3763080690245
ECU,2012,17.3,0.4,17.3,8.1,90.9465125066669,0.25,88.0,87.0,96.0,1.49,82.5812991805288,91.7,87.015787290728,72.0,5.72535333940961,0.5,41.3058867856498,6.86373377,27.3,-7832.0,8.6,90.001,76.062,12.4129070208035
ECU,2013,17.0,0.4,16.5,7.7,91.6523257841324,0.26,87.0,87.0,97.0,1.51,83.68006815604,93.3,87.0342988650669,72.0,5.14124134343,0.4,41.4361025542147,6.88127422,25.6,-6151.0,8.7,84.146,76.369,10.9711960311364
ECU,2014,17.0,0.4,15.9,7.5,92.3579685609702,0.26,83.0,83.0,85.0,1.54,84.7800135093502,94.7,87.0526751053362,65.0,4.55973207241416,0.4,41.5620201273653,6.83199883,22.5,2288.0,8.6,80.124,76.622,8.20905183947306
ECU,2015,17.0,0.4,15.3,7.2,93.0637815799392,0.25,78.0,78.0,84.0,1.53,85.8813735545442,94.2,87.0711904160405,66.0,3.98061419407922,0.4,41.6832308490121,7.60513353,23.3,14740.0,9.0,79.692,76.789,6.48312147109806
ECU,2016,16.9,0.4,14.8,7.0,93.7694147343323,0.24,83.0,83.0,86.0,1.39,86.9839092585989,94.1,87.0895650703843,70.0,3.40408046938648,0.4,41.8001132206569,7.41604376,22.9,27063.0,9.7,75.1,76.763,5.83348058968642
ECU,2017,17.0,0.4,14.4,6.9,94.3131376557692,0.23,85.0,85.0,81.0,1.4,88.0877340678835,95.6,87.1079385905201,69.0,2.83002995605464,0.4,41.9124459762847,7.53717899,21.5,49359.0,10.8,72.683,76.972,5.80944632742375
ECU,2018,17.1,0.4,13.9,6.8,94.6622656055683,0.21,85.0,85.0,83.0,1.4,89.130641596456,95.9,87.1283478110848,71.0,2.31579134303695,0.3,41.9550403884084,7.82609653,23.2,153372.0,11.9,71.383,77.094,5.84167365948502
ECU,2019,17.2,0.4,13.5,6.8,95.0112246263964,0.21,85.0,85.0,83.0,1.39,90.0032406646583,97.2,87.1506423235772,74.0,1.89322713092616,0.3,41.9006209838432,7.77070522,25.0,71801.0,13.4,67.77,77.297,6.84396771273186
ECU,2020,,0.4,13.0,6.7,95.3597647097715,0.19,70.0,70.0,81.0,1.32,90.8741257753774,99.4,87.1749641493184,66.0,1.4738212273,,41.8584793645654,8.35889626,33.0,35894.0,14.1,63.944,72.153,7.80050914241561
ECU,2021,,0.4,12.6,6.7,95.6779995112767,0.19,68.0,72.0,65.0,1.3,91.7426911861146,,87.2013140886487,,1.05808821752892,,41.8045362173887,8.28661728,27.7,35894.0,13.9,63.163,73.67,14.0242548813931
ECU,2022,,0.4,12.2,6.5,95.7033432314017,0.18,70.0,70.0,74.0,,92.2725010923607,,87.2295529005588,,0.645970878795795,,41.5919958123263,,25.2,-20206.0,,62.065,77.894,
ECU,2023,,,,,,,,,,,,,,,,,,,,-21525.0,,,,
