ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
GNQ,1997,,3.0,166.1,47.9,,5.61,,81.0,82.0,,,,,,,,,,,6690.0,,182.663,52.061,
GNQ,1998,,3.4,163.0,47.5,,6.0,,81.0,82.0,,,,,,,,,,,7300.0,,181.452,52.382,
GNQ,1999,,3.7,159.4,46.9,,6.26,,33.0,51.0,,,,,,,,,,,7844.0,,180.357,52.752,
GNQ,2000,56.3,3.9,155.4,46.4,51.0981422023709,6.0,,35.0,50.0,,54.7905329053303,64.6,,427.0,10.6799036851121,3.2,,1.10720015,,15352.0,,178.464,53.226,
GNQ,2001,55.5,4.1,151.3,45.8,51.7904428199064,6.28,,37.0,50.0,1.1,55.7769654189352,,,390.0,10.0138343397792,2.9,,1.20301282,,15084.0,,177.675,53.636,
GNQ,2002,54.8,4.4,146.9,45.3,52.5419955641362,6.47,,39.0,49.0,,56.747003244862,,,351.0,9.35839163549085,2.6,,2.74982452,,14757.0,,176.326,54.085,
GNQ,2003,54.1,4.5,142.5,44.5,53.3504179262998,6.49,,41.0,48.0,,57.6992353221695,,,317.0,8.71391711051642,2.4,,1.82749987,,14544.0,,176.117,54.581,
GNQ,2004,53.4,4.7,138.1,43.3,54.2150291513885,6.64,,43.0,48.0,,58.6335887149041,,,286.0,8.08038464426272,2.2,,1.45293343,,14733.0,,177.202,55.036,
GNQ,2005,52.7,4.9,133.5,42.0,55.1317211538696,6.53,,44.0,47.0,2.2,59.5483761004959,,,258.0,7.4581101326857,2.1,,1.29643106,,15549.0,,177.692,55.464,
GNQ,2006,51.9,5.1,128.9,40.6,56.1005772869023,6.78,,46.0,47.0,,60.4443364825893,,,241.0,6.84682132250166,2.2,,1.29171956,76.8,16885.0,,175.803,56.046,
