ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
GRD,1997,,,16.6,7.9,,,,95.0,92.0,,,,,,,,,,,-915.0,,63.858,72.568,
GRD,1998,,,16.1,7.8,,,,97.0,97.0,,,99.0,,,,,,,,-676.0,,50.743,72.805,
GRD,1999,,,15.8,7.9,,,,88.0,94.0,,,99.0,,,,,,,,-582.0,,46.118,72.903,
GRD,2000,24.6,,15.5,7.9,93.3076378093218,,,97.0,92.0,6.2,89.7301145671362,100.0,,42.0,1.87305936073057,1.1,,5.35886383,,-586.0,,45.566,72.783,13.9623203514781
GRD,2001,24.0,,15.2,7.9,93.5399527788903,,96.0,96.0,99.0,,90.0249359067911,,,40.0,2.00136986301368,0.9,,5.62456989,,-736.0,,44.442,73.118,5.55887543949859
GRD,2002,23.3,,15.0,7.9,93.7722677484587,,98.0,98.0,96.0,6.9,90.3155499931388,100.0,,36.0,2.12968036529679,0.8,,6.17569733,,-924.0,,43.44,73.167,12.9352958024965
GRD,2003,22.6,,14.8,7.9,94.0045827180272,,97.0,97.0,99.0,5.6999998093,90.6019568261797,100.0,,34.0,2.25799086757991,1.3,,5.28485727,,-245.0,,42.914,73.188,8.27662313775979
GRD,2004,22.1,,14.6,7.9,94.2368976875956,,83.0,83.0,74.0,,90.8841564059136,,,41.0,2.38630136986302,0.4,,5.36568451,,-306.0,,41.809,71.788,5.47862650833436
GRD,2005,21.6,,14.5,7.8,94.4692126571641,,99.0,99.0,99.0,4.1,91.1621487323408,100.0,,32.0,2.51461187214613,0.1,,5.14460278,,-369.0,,41.411,73.521,9.97700753264069
GRD,2006,21.1,,14.4,7.8,94.7015276267326,,91.0,91.0,98.0,,91.4359338054609,,,30.0,2.64292237442919,0.1,,5.11352158,,-417.0,,41.315,73.7,10.8119796734782
