ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
GUM,1997,,,,,,,,,,,,,,,,,,,,-1030.0,,69.844,73.349,
GUM,1998,,,,,,,,,,,,,,,,,,,,-1096.0,,69.871,73.632,
GUM,1999,,,,,,,,,,,,,,,,,,,,-1039.0,,69.272,74.066,
GUM,2000,,,,,99.4,,,,,,88.9735320691109,,,,0.0,,,,,-1566.0,,68.765,74.417,1.24853687085447
GUM,2001,,,,,99.4246,,,,,,89.0373069363675,99.4,,,0.0610999999999962,,,,,-1898.0,,67.435,75.41,4.95283967967509
GUM,2002,,,,,99.4492,,,,,,89.1010818036241,,,,0.122200000000006,,,,,-1754.0,,64.437,75.793,1.23029603998462
GUM,2003,,,,,99.4738,,,,,,89.1648566708808,,,,0.183300000000003,,,,,-2044.0,,64.226,76.504,4.89641031918475
GUM,2004,,,,,99.4984,,,,,,89.2286315381374,,,,0.244399999999999,,,,,-2368.0,,64.796,76.923,5.48767103241384
GUM,2005,,,,,99.523,,,,,,89.292406405394,,,,0.305499999999995,,,,,-2333.0,,61.467,77.182,4.25711774883613
GUM,2006,,,,,99.5476,,,,,,89.3561812726507,,,,0.366600000000005,,,,,-2669.0,,62.051,77.136,6.67982389555184
GUM,2007,,,,,99.5722,,,,,,89.4199561399073,,,,0.427700000000002,,,,,-2874.0,,62.259,77.098,0.606930539834369
GUM,2008,,,,,99.5968,,,,,,89.483731007164,,,,0.488799999999998,,,,,-2933.0,,59.434,77.185,0.607074236072958
GUM,2009,,,,,99.6214,,,,,,89.5475058744206,,,,0.549899999999994,,,,,-2933.0,,57.544,77.094,3.03803621339166
GUM,2010,,,,,99.646,,,,,,89.6112807416772,,,,0.611000000000004,,,,,-1850.0,,58.03,76.879,1.81922925320639
GUM,2011,,,,,99.6706,,,,,,89.6750556089339,,,,0.6721,,,,,-1852.0,,56.97,76.872,2.41474442948644
GUM,2012,,,,,99.6952,,,,,,89.7388304761905,,,,0.733199999999997,,,,,-1850.0,,55.645,76.707,
GUM,2013,,,,,99.6952,,,,,,89.8026053434471,,,,0.733199999999997,,,,,-1852.0,,50.856,76.72,
GUM,2014,,,,,99.6952,,,,,,89.8663802107038,,,,0.733199999999997,,,,,-1852.0,,46.792,76.749,
GUM,2015,,,,,99.6952,,,,,,89.9301550779604,,,,0.733199999999997,,,,,-1852.0,,41.341,76.616,
GUM,2016,,,,,99.6952,,,,,,89.993929945217,,,,0.733199999999997,,,,,-1852.0,,39.912,76.877,
GUM,2017,,,,,99.6952,,,,,,90.0577048124737,,,,,,,,,-1852.0,,39.036,77.155,
GUM,2018,,,,,99.6952,,,,,,90.1214796797303,,,,,,,,,-1850.0,,36.168,77.439,
GUM,2019,,,,,99.6952,,,,,,90.1852545469869,,,,,,,,,-1852.0,,35.43,77.717,4.15124774646551
GUM,2020,,,,,99.6952,,,,,,90.2490294142436,,,,,,,,,-244.0,,35.357,76.612,
GUM,2021,,,,,99.6952,,,,,,90.3128042815002,,,,,,,,,-244.0,,35.305,76.656,
GUM,2022,,,,,99.6952,,,,,,90.3765791487569,,,,,,,,,-500.0,,33.869,78.33,
GUM,2023,,,,,,,,,,,,,,,,,,,,-500.0,,,,
