ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
IDB,1997,,,143.703933879749,48.8936740166406,,,1.41432126974184,46.4071282013632,52.1873185413351,,,,,,,,,,,37739.0,,101.844578441564,54.6653771841519,
IDB,1998,,,140.566954112147,48.1451970627085,,,1.70685351988949,51.8219937461002,54.0117537752805,,,,,,,,,,,71493.0,,99.9329701941414,54.9170291251107,
IDB,1999,,,137.393090622383,47.3498827524134,,,2.03802345314785,52.6868161669854,52.4069319292218,,,,,,,,,,,44854.0,,99.4513563625127,55.3447139272508,
IDB,2000,46.7207325123921,,133.909950081025,46.4939785059575,66.9317608425821,,3.61090668999001,52.6376766380624,52.4208244335357,1.201571810733,34.5121144975087,38.1089405593548,,691.0,26.6470114481501,2.68113187592301,,3.1547812099607,,846368.0,,98.0633995585572,55.7646571727383,
IDB,2001,46.3527841880174,,130.127249758077,45.5477598232328,67.5943968810105,,3.59135411581653,52.1842851418998,52.5438139618121,,35.2897386488485,,,684.0,25.9444848218846,2.67216806191452,,3.09087460546313,,245384.0,18.1772707472068,96.5768757017314,56.0092268684295,
IDB,2002,46.1026542614997,,126.408454364659,44.6383429099481,68.2421430248638,,13.6545285677498,52.5938129533606,52.1879575424132,,36.285890359653,,,667.0,25.2381871190115,2.68036563094508,,2.87117425448756,,-991254.0,18.5010947283396,95.0281623110123,56.3584315517553,
IDB,2003,45.9509376504093,,122.898044081882,43.7426376683621,68.9054404214769,,38.3765288878234,54.4702599741964,54.3233236521829,,37.294177264766,,,656.0,24.4860561509977,2.56620258515937,,3.71724137084427,,-688561.0,18.0562473437463,94.1703747492114,56.6746854377267,
IDB,2004,45.7143883709382,,119.344485798483,42.8123676807384,69.5807113902073,,37.9050374787436,56.588300656671,55.9432831911467,0.929789663179002,38.305138734056,,,650.0,23.7374153126253,2.61558198722276,,3.55681492938724,,-645323.0,16.6066947963174,91.6221381457166,56.9971444858111,
IDB,2005,45.4741012851667,,115.97157923203,42.0445962731137,70.0436588300931,,49.4116434568029,56.4423698237109,56.4237977189456,,39.3032539479051,,,637.0,22.9917710614602,2.28150413895471,,3.67392845980773,,-835290.0,15.1578731805823,89.9375028335122,57.0334137108178,
IDB,2006,45.2300783855429,,112.742735186754,41.3506922974898,70.7041932702202,,51.3995345976577,56.8360363083726,57.8132497168025,,40.2993751228737,,,625.0,22.2467740869391,2.62358404277684,,3.78805479817617,,-720251.0,14.1250105250554,87.435002409481,57.8362584840102,
