ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
IDX,1997,,2.29574027027139,140.602065398195,43.4345380243343,,2.56854084111548,1.92151913261821,59.1674181560914,58.8063350080122,,,,,,,,,,,-1653080.0,,124.519906031724,55.1799394850587,
IDX,1998,,2.29811130711451,136.60392265741,42.4398005916106,,2.41739775060002,1.92141274382959,57.7096114171805,57.6662098864106,,,,,,,,,,,-1673388.0,,123.08356195404,55.4128461786221,
IDX,1999,,2.28648248985249,131.833943434026,41.3827392078469,,2.26278153046065,2.71359298136463,57.6309715631956,58.4041913944597,,,,,,,,,,,-1668068.0,,122.804176879862,56.608641036423,
IDX,2000,43.347986202054,2.26208907845571,126.930462511715,40.2807737839088,54.753648686108,2.13779593305692,3.8325812182512,61.2135659164462,61.0104131971604,,25.2258081111257,33.4592242546303,,654.0,32.3042966279303,2.75635005157224,15.1614410570601,3.5893626912541,,-2601492.0,,121.878758236546,57.066160858642,
IDX,2001,42.9224926041293,2.21630466102845,121.724437986865,39.1273218277912,55.3608253774654,1.99159267699405,5.05609921673195,62.1144611460593,61.1737635343793,,25.865454344668,,,635.0,31.4627751938746,2.781729498702,15.355469086878,3.84752992547011,,-1550812.0,28.0734896668182,120.836229767696,57.5152759256641,
IDX,2002,42.5260136277582,2.16108093553482,116.529792029075,38.0093001265837,56.0000311169251,1.87021386344166,20.0460251935924,63.2677777753664,62.3651014864129,,26.601358778265,,,623.0,30.5645163729254,2.65630243584404,15.7792238620984,4.06120235801679,,-267715.0,27.1817084046342,118.908322834016,57.9502826762247,
IDX,2003,42.1789112420987,2.11618522772277,111.482789982212,37.0098608045088,56.6574985564111,1.7608255640924,26.4757900420313,66.7955922002772,65.2429581282493,,27.3475418987309,,,599.0,29.6364489861608,2.60943679609875,16.1868198191472,4.19199516966952,,-1340413.0,26.3114508026829,117.027967761006,58.4536305480845,
IDX,2004,41.823314871751,2.0590899095953,106.793938045072,36.0235507225069,57.3294419163197,1.66268863724196,32.6092967495637,71.3936214441213,67.9814808941752,,28.0972272404475,,,579.0,28.722245441331,2.53725846853396,16.532241000675,4.30983401928365,,-1882566.0,25.3029918224489,115.565371457276,58.7734572624152,
IDX,2005,41.4124620875585,1.99747890446852,102.044138973609,35.0580089486273,58.0349145231126,1.56596914223968,43.5397751226787,72.6548605165932,70.7330830191408,0.806450862626066,28.9439679000929,,,564.0,27.7387030095969,2.56390968854556,16.9469248285158,4.3497654776405,,-1583591.0,24.4161186317817,112.39831715415,59.3874159141877,
IDX,2006,40.9813349761386,1.9501545021197,97.7037460350343,34.1902000551859,58.7303979742786,1.48999993599577,54.3051854756267,74.2408563592432,71.3725323336692,,29.8130426762374,,,543.0,26.7519967877051,2.53582653782044,17.3602689856718,4.47916571395951,,-1650776.0,23.4759838423686,110.733776177402,59.9426398015175,
