ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
IMN,1997,,,,,,,,,,,,,,,,,,,,1021.0,,26.261,73.691,
IMN,1998,,,,,,,,,,,,,,,,,,,,984.0,,27.648,74.603,
IMN,1999,,,,,,,,,,,,,,,,,,,,1061.0,,26.188,73.666,
IMN,2000,,,,,,,,,,,100.0,71.5020540718,,,0.0,,84.8214285714286,,,978.0,,24.286,74.725,
IMN,2001,,,,,,,,,,,100.0,,,,0.0,,84.8214285714286,,,847.0,,25.824,75.51,
IMN,2002,,,,,,,,,,,100.0,,,,0.0,,84.8214285714286,,,779.0,,26.53,75.42,
IMN,2003,,,,,,,,,,,100.0,,,,0.0,,84.8214285714286,,,784.0,,24.492,76.096,
IMN,2004,,,,,,,,,,,100.0,,,,0.0,,84.8214285714286,,,731.0,,24.364,76.966,
IMN,2005,,,,,,,,,,1.76939461735904,100.0,,,,0.0,,84.8214285714286,,,684.0,,25.798,77.623,
IMN,2006,,,,,,,,,,1.58474325890611,100.0,,,,0.0,,84.8214285714286,,,765.0,,26.193,78.191,
IMN,2007,,,,,,,,,,,100.0,,,,0.0,,84.8214285714286,,,780.0,,26.759,78.331,
IMN,2008,,,,,,,,,,,100.0,,,,0.0,,84.8214285714286,,,748.0,,27.68,78.449,
IMN,2009,,,,,98.6560556451613,,,,,1.58427938375929,100.0,,,,0.0,,84.8214285714286,,,676.0,,27.94,78.681,
IMN,2010,,,,,98.6560556451613,,,,,,100.0,81.4306770819,,,0.0,,84.8214285714286,,,663.0,,27.35,78.983,
IMN,2011,,,,,98.6560556451613,,,,,,100.0,,,,0.0,,84.8214285714286,,,7.0,,25.439,79.19,1.18554348277109
IMN,2012,,,,,98.6560556451613,,,,,,100.0,,,,0.0,,84.8214285714286,,,-244.0,,24.01,79.337,2.37141027769214
IMN,2013,,,,,98.6560556451613,,,,,,100.0,,,,0.0,,84.8214285714286,,,-276.0,,23.422,79.473,2.37689185736272
IMN,2014,,,,,98.7924774193548,,,,,,100.0,,,,0.0,,84.8214285714286,,,-276.0,,21.33,80.037,3.57585582149328
IMN,2015,,,,,98.9288991935484,,,,,,100.0,,,,0.0,,84.8214285714286,,,-231.0,,20.706,78.905,1.19627241515438
IMN,2016,,,,,99.0653209677419,,,,,,100.0,,,,0.0,,84.8214285714286,,,107.0,,20.414,80.314,0.0
IMN,2017,,,,,99.2017427419355,,,,,,100.0,,,,0.0,,84.8214285714286,,,275.0,,20.093,80.457,
IMN,2018,,,,,99.338164516129,,,,,,100.0,,,,0.0,,84.8214285714286,,,272.0,,19.157,80.596,
IMN,2019,,,,,99.4745862903226,,,,,,100.0,,,,0.0,,84.8214285714286,,,239.0,,18.605,80.737,
IMN,2020,,,,,99.6110080645161,,,,,,100.0,,,,0.0,,84.8214285714286,,,235.0,,17.887,80.588,
IMN,2021,,,,,99.7474298387097,,,,,,100.0,,,,0.0,,84.8214285714286,,,517.0,,17.886,80.525,
IMN,2022,,,,,99.8838516129032,,,,,,100.0,,,,0.0,,84.8214285714286,,,340.0,,17.518,80.762,
IMN,2023,,,,,,,,,,,,,,,,,,,,340.0,,,,
