ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
IRN,1997,,0.1,42.3,20.9,,0.06,93.0,99.0,95.0,,,86.1,,,,,,,,198135.0,,39.719,68.359,
IRN,1998,,0.1,40.4,20.4,,0.07,94.0,99.0,99.0,,,,,,,,,,,288994.0,,38.016,68.73,
IRN,1999,,0.1,38.4,19.9,,0.09,95.0,99.0,99.0,,,,,,,,,,,277986.0,,36.898,69.297,
IRN,2000,27.4,0.1,36.4,19.5,94.1533951020254,0.11,99.0,99.0,99.0,1.59,78.2182891665011,89.6,,44.0,0.537574686850216,1.8,,4.72250843,,394594.0,,35.483,69.691,
IRN,2001,26.5,0.1,34.4,18.8,94.3645968752872,0.14,94.0,96.0,96.0,1.64,78.9731468345672,,,42.0,0.527597224067803,1.7,,5.16087341,,393336.0,5.0,34.432,69.955,
IRN,2002,26.0,0.1,32.3,18.1,94.570944021266,0.17,99.0,99.0,99.0,1.65,79.7155503890257,,,41.0,0.517703386883475,1.6,,4.65182209,,-568950.0,5.2,33.655,70.445,
IRN,2003,25.5,0.1,30.3,17.4,94.7724833829077,0.18,98.0,99.0,99.0,1.64,80.445631501447,,,41.0,0.507893204068796,1.4,,4.95589161,,370945.0,5.2,33.229,69.823,
IRN,2004,25.0,0.1,28.4,16.7,94.9691830158905,0.18,95.0,99.0,96.0,1.63,81.1633066374128,,,38.0,0.498180465794603,1.6,,5.12801409,,369535.0,5.1,33.222,71.37,
IRN,2005,24.5,0.1,26.5,16.0,95.161000634786,0.17,94.0,95.0,94.0,1.61,81.8684999467219,97.3,,30.0,0.488579221601362,1.5,,5.29996157,,323987.0,5.4,33.331,71.838,
IRN,2006,24.1,0.1,24.8,15.3,95.3480173466701,0.15,98.0,98.0,99.0,1.63,82.5614032764414,,,30.0,0.479089580839571,1.5,,5.15990877,,252053.0,5.8,33.917,72.276,
IRN,2007,23.8,0.1,23.2,14.6,95.526094603038,0.13,97.0,99.0,97.0,1.66,83.2321128520529,,,29.0,0.470380179474887,1.6,,4.91188192,,139826.0,6.1,34.106,72.772,
IRN,2008,23.4,0.1,21.7,13.9,95.6978473811595,0.1,99.0,99.0,98.0,1.64,83.8869767916589,,,33.0,0.462102740772067,1.5,,5.03990459,,90815.0,5.8,34.128,72.624,
IRN,2009,23.2,0.1,20.4,13.2,95.8655062345209,0.09,99.0,99.0,99.0,1.54,84.5313769777659,97.7,,37.0,0.453922907120947,1.4,,6.11493444,,99224.0,6.2,34.439,72.698,2.98024757165492
IRN,2010,23.0,0.1,19.3,12.5,96.029218401844,0.07,99.0,99.0,99.0,1.68,85.1656679433689,96.4,,32.0,0.445826657582394,1.4,,6.29153061,,127703.0,7.1,34.998,73.069,
IRN,2011,22.8,0.1,18.3,11.9,96.1889602256828,0.06,99.0,99.0,99.0,1.35,85.7898063525963,98.5,,26.0,0.437827995160157,1.4,,6.09787989,,-150029.0,7.6,36.442,73.679,
IRN,2012,22.8,0.1,17.5,11.4,96.3439209254777,0.05,98.0,99.0,98.0,1.7,86.4018917854094,98.8,,23.0,0.43009410814977,1.3,,6.12235117,,19635.0,7.3,39.277,74.186,
IRN,2013,22.8,0.1,16.8,10.9,96.4945387226755,0.05,99.0,98.0,98.0,1.77,87.0030086303861,98.8,,23.0,0.42256918946596,1.2,,5.54722023,,23351.0,6.3,40.234,74.449,2.59626286632582
IRN,2014,22.9,0.1,16.1,10.4,96.6416290821324,0.04,99.0,99.0,99.0,1.81,87.5950785473375,99.0,,21.0,0.415113977078098,1.1,,6.35239553,,653255.0,6.3,39.594,74.782,2.42115997774534
IRN,2015,23.0,0.1,15.5,10.0,96.7851065376392,0.04,98.0,98.0,99.0,1.81,88.1779171380561,,,20.0,0.407756286330779,1.1,,7.53311825,,628310.0,6.3,37.97,75.124,
IRN,2016,23.1,0.1,14.9,9.6,96.9250833561248,0.04,99.0,99.0,99.0,1.89,88.7518160378397,,,20.0,0.400482204823385,1.0,,7.99202633,,23759.0,6.8,37.001,75.6,
IRN,2017,23.4,0.1,14.3,9.2,97.0615135884244,0.04,99.0,99.0,99.0,1.91,89.3166614948251,,,18.0,,1.0,,7.83454609,,7709.0,7.2,39.664,75.971,
IRN,2018,23.7,0.1,13.9,8.8,97.1943397209407,0.04,99.0,99.0,99.0,1.95,89.6988562125285,,,17.0,,1.0,,7.73915195,,-29981.0,7.2,37.878,76.195,
IRN,2019,24.1,0.1,13.4,8.5,97.3236128720162,0.04,99.0,99.0,99.0,1.86,90.0210873435845,,,21.0,,1.0,,6.27398872,,-34571.0,7.0,33.325,76.103,
IRN,2020,,0.1,12.9,8.2,97.4494755938991,0.04,99.0,99.0,99.0,,90.2667705148339,,,22.0,,,,5.40149546,,-156669.0,6.2,30.776,74.832,
IRN,2021,,0.1,12.4,7.9,97.5719240190726,0.05,98.0,98.0,99.0,,90.3162270025967,,,,,,,5.77013779,,28080.0,6.1,30.155,73.875,
IRN,2022,,0.1,12.0,7.6,97.6911866422492,0.05,99.0,99.0,99.0,,90.3647310611256,,,,,,,,,-39998.0,,29.663,74.556,
IRN,2023,,,,,,,,,,,,,,,,,,,,-39998.0,,,,
