ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
KIR,1997,,,72.2,29.8,,,97.0,91.0,82.0,,,,,,,,,,,-633.0,,45.342,63.575,0.0
KIR,1998,,,70.2,29.1,,,89.0,88.0,77.0,1.7999999523,,85.0,,,,,,,,-646.0,,45.91,63.854,0.0
KIR,1999,,,68.3,28.3,,,82.0,78.0,62.0,,,,,,,,,,,-643.0,,45.907,64.136,0.0
KIR,2000,32.8,,66.4,27.6,60.893231266574,,90.0,90.0,80.0,,32.799771175436,85.0,,116.0,42.6923151951786,2.2,16.9917672504237,8.65,,-513.0,,44.063,64.409,3.37740851444687
KIR,2001,32.3,,64.7,26.9,61.672187400106,,85.0,85.0,76.0,,33.6972556205685,,,118.0,42.2654567278313,2.2,17.726187976711,12.3,,-258.0,5.4,42.862,64.655,4.41837602589168
KIR,2002,31.9,,63.2,26.2,62.311559608407,,79.0,77.0,88.0,,34.4581321248732,76.0,,113.0,41.9738858104749,2.1,18.4139404398551,11.87,,-131.0,5.6,41.494,64.84,
KIR,2003,31.5,,62.1,25.7,62.9513089489861,,73.0,70.0,72.0,,35.2190619186715,,,114.0,41.6820713839758,2.1,19.1015716769613,10.7,,-130.0,6.0,40.377,64.954,
KIR,2004,31.3,,61.4,25.2,63.5911519803367,,67.0,62.0,56.0,1.5,35.9797759872665,,,116.0,41.3902844313985,2.2,19.7889933953196,12.43,,-139.0,6.0,41.023,64.989,
KIR,2005,31.2,,60.9,24.8,64.2307946096165,,50.0,79.0,85.0,1.51,36.740026099467,63.0,,118.0,41.0987922095451,2.3,20.2304660117604,11.52,,-226.0,6.1,41.149,64.967,
KIR,2006,31.2,,60.5,24.5,65.0064925331894,,88.0,86.0,61.0,,37.6116631413571,,,116.0,40.6837824808014,2.3,20.7035395783806,11.54,,-335.0,6.4,41.862,64.906,
KIR,2007,31.3,,60.1,24.2,65.8907744488687,,96.0,94.0,93.0,,38.5628006706704,,,118.0,40.1737925465843,2.5,21.1986544430109,11.36,,-399.0,7.0,43.462,64.844,
KIR,2008,31.4,,59.5,24.0,66.7466716821765,,83.0,82.0,72.0,,39.1671986023562,65.0,,128.0,39.6638813319779,2.6,21.5204653880123,14.08,,-411.0,7.3,44.76,64.834,6.73297039416732
KIR,2009,31.5,,58.9,23.7,67.5288680794794,,86.0,86.0,82.0,1.5,39.7450196824301,79.8,,127.0,39.154859701564,2.7,21.8292680694538,13.49,,-451.0,10.4,44.813,64.892,0.943436277955196
KIR,2010,31.6,,58.4,23.6,68.1872255114254,,91.0,91.0,89.0,1.33,40.2962738587933,98.3,,131.0,38.6464626213024,2.7,22.1249576535289,9.34,,-619.0,12.6,44.653,65.016,3.70387517940645
KIR,2011,31.7,,58.0,23.4,68.839459835366,,95.0,99.0,90.0,1.3,40.8207305562417,,,129.0,38.1386955406037,2.7,22.4073609373042,8.67,,-850.0,14.9,45.192,65.19,10.0117866033194
KIR,2012,31.8,,57.9,23.4,69.4853912854622,,94.0,94.0,91.0,,41.3181565213342,,,131.0,37.6315589292809,2.7,22.6763025645532,8.69,,-949.0,13.5,44.464,65.378,7.16733487132394
KIR,2013,31.9,,58.0,23.4,70.1236598577451,,95.0,95.0,91.0,,41.7876457261362,,,119.0,37.1261149512768,2.7,22.9314557827946,9.53,,-955.0,12.6,43.988,65.588,
KIR,2014,32.0,,58.4,23.5,70.7549985030549,,75.0,75.0,88.0,,42.229580760052,,,120.0,36.6215708188318,2.7,23.1728066982551,10.09,,-977.0,11.4,43.368,65.815,
KIR,2015,32.1,,59.0,23.6,71.3789331649567,,82.0,78.0,84.0,1.9,42.6436135669243,,55.2826836324201,121.0,36.1181901733824,2.7,23.4001646239496,8.11,,-853.0,10.9,43.365,66.059,
KIR,2016,32.2,,59.6,23.8,71.9909323237326,,81.0,81.0,80.0,1.86,43.0275769293537,,55.343871162475,117.0,35.6198953156353,2.7,23.6130378588081,10.47,,-838.0,10.9,43.56,66.332,
KIR,2017,32.3,,60.0,23.8,72.5897573170698,,90.0,90.0,81.0,,43.3813546482067,,55.4036625544117,112.0,35.1277056041532,2.7,23.8114431964711,11.46,,-811.0,10.9,43.559,66.597,
KIR,2018,32.4,,60.1,23.8,73.1759221002406,,95.0,95.0,84.0,,43.7056810871758,,55.4622002887726,110.0,34.641055783124,2.0,23.995558445859,12.97,,-776.0,11.5,43.797,66.855,
KIR,2019,32.6,,59.7,23.6,73.7493673795618,,97.0,97.0,94.0,,44.0010104812494,91.9,55.5194864593371,108.0,34.1599147028168,2.6,24.1655139878228,12.59,21.9,-691.0,12.2,43.123,67.15,
KIR,2020,,,58.8,23.4,74.3094772830817,,92.0,92.0,82.0,,44.2676323137693,,55.5753758945501,76.0,33.6847633579837,,24.3214413606617,16.99,,-296.0,12.1,41.865,67.266,
