ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
KWT,1997,,0.1,13.8,7.3,,,98.0,96.0,95.0,2.7599999905,,,,,,,,,,20792.0,,25.477,75.879,
KWT,1998,,0.1,13.4,7.0,,,99.0,95.0,99.0,,,,,,,,,,,20819.0,,21.391,76.157,
KWT,1999,,0.1,13.0,6.8,,,95.0,94.0,96.0,,,,,,,,,,,20438.0,,19.326,76.416,
KWT,2000,24.1,0.1,12.7,6.5,100.0,,95.0,98.0,99.0,2.36,100.0,,,10.0,0.0,0.5,100.0,2.20343971,,19193.0,,18.084,76.722,
KWT,2001,23.4,0.1,12.5,6.4,100.0,,99.0,99.0,99.0,2.36,100.0,,,10.0,0.0,0.6,100.0,3.18838811,,17088.0,2.8,17.741,76.891,1.95815178588464
KWT,2002,22.6,0.1,12.3,6.2,100.0,,99.0,99.0,97.0,2.3,100.0,100.0,,10.0,0.0,0.6,100.0,3.12468719,,14550.0,2.5,17.514,76.982,1.12339574203708
KWT,2003,22.2,0.1,12.1,6.1,100.0,,99.0,99.0,97.0,2.24,100.0,,,10.0,0.0,0.5,100.0,2.76216865,,11232.0,2.5,18.085,76.985,1.37996275052272
KWT,2004,21.7,0.1,12.0,5.9,100.0,,94.0,98.0,97.0,2.2,100.0,98.3,,10.0,0.0,0.5,100.0,2.35702467,,7427.0,2.5,17.589,76.792,1.99676755837817
KWT,2005,21.2,0.1,11.8,5.8,100.0,,99.0,99.0,99.0,2.47,100.0,98.6,,10.0,0.0,0.5,100.0,2.01313829,,68878.0,2.5,16.735,76.903,1.83412159555158
KWT,2006,20.4,0.1,11.6,5.7,100.0,,99.0,99.0,99.0,2.45,100.0,98.7,,10.0,0.0,0.5,100.0,1.8213098,,96486.0,2.5,16.183,76.887,1.90402930681909
KWT,2007,20.1,0.1,11.4,5.7,100.0,,99.0,99.0,99.0,2.43,100.0,98.7,,9.0,0.0,0.5,100.0,1.92673647,,94844.0,2.5,15.467,77.017,2.35362731867196
KWT,2008,20.1,0.1,11.2,5.7,100.0,,99.0,99.0,99.0,2.45,100.0,98.7,,10.0,0.0,0.5,100.0,1.92400301,,93141.0,2.5,14.837,77.145,1.43345893074149
KWT,2009,20.3,0.1,11.0,5.6,100.0,,99.0,99.0,99.0,2.52,100.0,98.7,,10.0,0.0,0.5,100.0,2.70638776,,90945.0,2.5,13.923,77.442,1.75278567723704
KWT,2010,20.4,0.1,10.7,5.5,100.0,,99.0,98.0,98.0,2.5,100.0,98.6,,9.0,0.0,0.4,100.0,2.67879915,,94736.0,2.5,12.334,77.982,2.03848905153012
KWT,2011,20.7,0.1,10.3,5.3,100.0,,99.0,99.0,99.0,2.53,100.0,98.8,,8.0,0.0,0.3,100.0,2.33303547,,191544.0,2.5,10.236,78.464,1.87669508905475
KWT,2012,21.1,0.1,9.9,5.2,100.0,,98.0,98.0,99.0,2.35,100.0,98.8,,7.0,0.0,0.3,100.0,2.33311439,,191164.0,2.5,8.968,78.812,1.79693831169692
KWT,2013,21.7,0.1,9.6,5.1,100.0,,99.0,99.0,99.0,2.2,100.0,98.7,,7.0,0.0,0.3,100.0,2.48789287,,190228.0,2.5,8.318,79.164,
KWT,2014,22.1,0.1,9.3,5.0,100.0,,96.0,95.0,94.0,2.19,100.0,98.7,,7.0,0.0,0.4,100.0,2.9159987,,-84910.0,2.5,7.908,79.445,
KWT,2015,22.4,0.1,9.1,4.9,100.0,,99.0,99.0,93.0,2.13,100.0,99.9,,7.0,0.0,0.3,100.0,4.21497965,,259114.0,2.5,7.146,79.562,
KWT,2016,22.7,0.1,9.0,4.9,100.0,,99.0,99.0,99.0,2.05,100.0,99.9,,6.0,0.0,0.4,100.0,4.73096323,,-90785.0,2.5,6.652,79.701,
KWT,2017,23.1,0.1,8.9,4.9,100.0,,99.0,99.0,99.0,2.07,100.0,99.9,,6.0,0.0,0.4,100.0,4.65326786,,140685.0,2.5,6.248,79.781,1.11517733319644
KWT,2018,23.4,0.1,8.8,4.9,100.0,,91.0,91.0,98.0,2.01,100.0,99.9,,7.0,0.0,0.4,100.0,5.18862629,,144967.0,2.6,5.85,79.722,0.85703984690952
KWT,2019,23.7,0.1,8.8,4.9,100.0,,92.0,92.0,97.0,2.0,100.0,99.9,,7.0,0.0,0.4,100.0,5.35958719,,9088.0,2.6,5.998,79.685,0.36027114456679
KWT,2020,,0.1,8.8,4.9,100.0,,93.0,93.0,95.0,2.35,100.0,,,7.0,0.0,,100.0,6.34761143,,-254177.0,2.5,5.934,76.92,0.252267859389106
KWT,2021,,0.1,8.7,4.8,100.0,,94.0,94.0,94.0,,100.0,,,,0.0,,100.0,5.78120756,,-36843.0,2.5,5.638,78.673,
KWT,2022,,0.1,8.6,4.8,100.0,,96.0,96.0,99.0,,100.0,,,,0.0,,100.0,,,11999.0,,5.298,80.264,
KWT,2023,,,,,,,,,,,,,,,,,,,,11999.0,,,,
