ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
LSO,1997,,18.4,102.5,39.1,,39.67,,87.0,80.0,,,,,,,,,,,-20220.0,,81.601,53.594,
LSO,1998,,19.9,105.7,38.5,,35.97,,88.0,79.0,,,,,,,,,,,-21347.0,,79.552,51.783,
LSO,1999,,21.0,108.3,38.1,,32.78,,88.0,77.0,,,,,,,,,,,-22483.0,,77.535,50.081,
LSO,2000,36.5,21.8,110.6,37.8,65.636611158019,30.93,,83.0,74.0,,8.05081252635009,48.1,,545.0,47.458952391725,3.0,6.95603593242951,5.6117692,,-23572.0,,78.348,48.427,
LSO,2001,35.7,22.3,112.2,37.6,65.9923559534695,29.41,,78.0,70.0,,10.4138869303896,,,575.0,45.8174315494136,2.9,9.24941746981741,7.27745867,,-24606.0,20.7,79.781,46.849,
LSO,2002,34.8,22.7,113.7,37.4,66.3542082338942,28.42,,84.0,78.0,,12.7671556876899,,,590.0,44.1860296620856,2.9,11.5308798875039,6.54458666,56.6,-25582.0,19.0,79.977,45.595,
LSO,2003,34.0,22.9,114.9,37.1,66.7221283451514,27.77,17.0,90.0,85.0,,15.0659903580985,,,610.0,42.5656612712028,3.1,13.7589926136422,6.04550791,,-26420.0,17.3,83.677,44.53,
LSO,2004,33.3,23.0,116.1,37.0,67.0966895514577,27.74,60.0,90.0,84.0,,17.3400175380548,55.4,,555.0,40.9559260777221,3.0,15.9604028368937,6.05738831,,-27129.0,15.6,81.668,43.711,
LSO,2005,32.6,23.1,116.9,37.0,67.4772215254613,27.6,87.0,89.0,83.0,,19.5885686664073,55.4,,563.0,39.358965261015,3.0,18.1295421822891,5.44926691,,-22692.0,13.9,84.644,43.233,
LSO,2006,31.9,23.3,116.6,37.0,67.8645033042361,27.42,91.0,89.0,82.0,1.3,21.8118480082732,,,632.0,37.77395565812,3.4,20.2714126726309,6.11966372,,-11085.0,12.9,86.041,42.914,
LSO,2007,31.2,23.5,112.8,37.2,68.2373154573875,26.44,90.0,88.0,81.0,,24.0010764509758,,,703.0,36.2383012624106,3.7,22.3824625684503,7.22254515,,-9748.0,12.4,89.846,43.123,45.1230548560222
LSO,2008,30.5,23.9,110.2,37.4,68.6157485170912,25.31,88.0,88.0,80.0,,26.1665222050084,,5.15691240986396,874.0,34.7138004661215,4.4,24.4681177378352,7.66656303,,-3102.0,12.3,89.497,43.566,37.6939805169238
LSO,2009,29.9,24.2,100.1,37.5,68.9992422389788,24.09,91.0,91.0,84.0,,28.3078762545419,61.5,5.19046580486023,1096.0,33.2018380935621,4.6,26.5282136445129,8.95305061,,-4626.0,12.0,86.622,44.034,
LSO,2010,29.4,24.4,91.4,37.6,69.3885918469781,22.17,93.0,93.0,88.0,,30.4253043022921,,5.22455974033783,1040.0,31.7016388883163,4.7,28.5627291813932,7.64088917,,-6204.0,11.8,84.065,45.596,
LSO,2011,28.8,24.5,87.6,37.7,69.7836824972615,21.4,96.0,96.0,92.0,,32.5186590001468,,5.25912607899745,1038.0,30.2138637486713,4.9,30.5715516927839,9.07558823,,-6852.0,12.5,84.642,46.692,
LSO,2012,28.3,24.6,85.1,37.8,70.154778546095,20.83,95.0,95.0,91.0,,34.5834307451435,,5.28572571751871,963.0,28.7768536375303,5.4,32.5577991229637,10.04389858,,-6827.0,15.2,88.278,47.835,
LSO,2013,28.0,24.6,83.7,37.8,70.5298400497141,20.57,93.0,93.0,90.0,,36.6264406630214,,5.31252810662488,834.0,27.3504126009688,5.8,34.5212426189471,10.99592113,,-6452.0,20.0,90.941,49.002,
LSO,2014,27.7,24.4,83.0,38.0,70.9091710075085,18.96,88.0,88.0,92.0,,38.6477300190175,77.9,5.33960069749022,784.0,25.9343912459249,6.0,36.461854247195,9.99930382,,-5466.0,27.2,90.337,50.033,
LSO,2015,27.5,24.1,82.1,38.0,71.2930990924663,16.99,83.0,83.0,93.0,,40.647307173143,,5.36701057872305,728.0,24.5287073533665,6.0,38.3795682492738,9.2965641,,-4129.0,31.9,90.797,51.101,
LSO,2016,27.4,23.7,77.8,38.1,71.681200471811,14.12,87.0,87.0,90.0,,42.6251539735365,,5.39462289319406,668.0,23.1340691374735,5.7,40.2744870179041,9.24261093,,-3861.0,34.0,93.332,52.264,
LSO,2017,27.3,23.1,76.0,38.0,72.0738058926457,11.56,87.0,87.0,90.0,,44.5812960773948,,5.42250581114428,640.0,21.750377166981,5.3,42.146562969666,10.57480335,49.7,-3327.0,31.6,93.831,53.064,
