ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
MHL,1997,,,41.5,18.0,,,70.0,78.0,52.0,,,,,,,,,,,-756.0,,113.844,63.225,
MHL,1998,,,41.9,18.4,,,80.0,86.0,93.0,,,94.9,,,,,,,,-767.0,,108.009,63.364,
MHL,1999,,,42.1,18.8,,,80.0,66.0,93.0,2.1,,,,,,,,,,-1043.0,,103.492,63.48,
MHL,2000,31.0,,42.3,18.9,,,38.0,39.0,94.0,,,,,,,,,17.4808979,,-1323.0,,99.344,63.275,
MHL,2001,30.7,,42.3,19.0,88.846454166801,,76.0,48.0,64.0,,85.8643567466223,,,,12.6889150793721,,,14.81642723,,-1442.0,,95.366,63.642,
MHL,2002,30.5,,42.2,18.9,88.8034139775803,,80.0,80.0,80.0,,86.0295829741817,95.0,,,12.5244418945357,,,12.84072018,,-1532.0,,91.457,63.719,
MHL,2003,30.4,,41.9,18.8,88.7607795266566,,74.0,68.0,90.0,,86.1932036066817,,,,12.3615559476721,,,12.76533508,,-1595.0,,89.26,63.745,
MHL,2004,30.3,,41.5,18.7,88.7185676881366,,72.0,64.0,70.0,,86.355229689874,,,,12.2002636768688,,,15.61940098,,-1627.0,,91.005,63.695,
MHL,2005,30.3,,41.2,18.5,88.6768506324111,,89.0,77.0,86.0,,86.5153345819956,,,,12.0408788337632,,,20.21598053,,-1637.0,,93.643,63.585,
MHL,2006,30.2,,40.9,18.4,88.5595194571216,,97.0,74.0,96.0,,86.6610247489783,,,,11.7590045528184,,,20.33398056,,-1647.0,,92.335,63.489,
MHL,2007,30.1,,40.4,18.3,88.4416462106947,,93.0,93.0,94.0,,86.6800967046038,86.2,,,11.4881907924473,,,16.26939583,,-1662.0,,89.651,63.36,
MHL,2008,30.0,,40.0,18.1,88.3230760122172,,97.0,95.0,86.0,,86.2704200640935,,,,11.2276891645549,,,15.20470905,,-1641.0,,87.406,63.236,
MHL,2009,29.7,,39.6,18.0,88.1583557847715,,99.0,96.0,78.0,2.7,85.8537920591275,86.5,,,10.9782314861736,,,14.53969955,,-1544.0,,84.598,63.23,
MHL,2010,29.7,,39.1,17.9,87.8931921119103,,97.0,94.0,97.0,2.73,85.4310277601314,90.0,,,10.7390767029795,,,13.93147564,,-1415.0,,81.151,63.226,
MHL,2011,29.7,,38.7,17.7,87.632671099874,,89.0,87.0,88.0,,85.0023277739981,90.1,,,10.5100861671446,,,13.08627224,,-1901.0,,76.258,63.256,
MHL,2012,29.7,,38.1,17.5,87.3770778473405,,80.0,80.0,78.0,,84.5664339716106,,,,10.2923847526659,,,13.03814125,,-1901.0,,72.668,63.373,
MHL,2013,29.7,,37.3,17.2,87.1264193749024,,80.0,79.0,79.0,,84.1230311092403,,84.8918260495426,,10.0861799435654,,,13.46883583,,-1901.0,,70.001,63.464,
MHL,2014,29.7,,36.4,17.0,86.8804159565269,,79.0,78.0,79.0,,83.6729549393833,,84.9189792856664,,9.89066670966695,,,13.20781231,,-1901.0,,67.667,63.623,
MHL,2015,29.9,,35.5,16.5,86.6389747290043,,85.0,85.0,75.0,,83.2161395070542,,84.9454400296243,,9.70579301024131,,,15.33984375,,-1901.0,,66.08,63.827,
MHL,2016,30.1,,34.5,16.1,86.4019083763836,,73.0,71.0,75.0,,82.7531180659239,,84.971286849406,,9.53103375138041,,,15.73866177,,-1901.0,,65.329,64.057,
MHL,2017,30.2,,33.7,15.6,86.1691254340085,,82.0,80.0,83.0,,82.2838360093714,92.4,84.9964506228479,,9.36631526074366,,,14.38502884,,-1901.0,,65.357,64.27,
MHL,2018,30.4,,32.7,15.1,85.9403894101374,,84.0,81.0,83.0,,81.8090546676548,,85.0210566821528,,9.21093789551706,,,15.26284122,,-1901.0,,65.473,64.5,
MHL,2019,30.6,,31.7,14.6,85.7156629279255,,82.0,79.0,85.0,,81.3284518768247,,85.0449834720462,,9.06502391251455,,,14.82552052,7.2,-1901.0,,63.645,64.746,
MHL,2020,,,30.7,14.2,85.4947213556817,,86.0,82.0,89.0,,81.3783281591954,,85.0683508989144,,8.92790929136352,,,12.58777618,,-1901.0,,60.315,64.977,
MHL,2021,,,29.6,13.8,85.2774425394235,,89.0,86.0,85.0,,81.4221056993506,,85.0911583544719,,8.79934118432645,,,12.54863834,,-1901.0,,58.035,65.269,
MHL,2022,,,28.6,13.3,85.0637399586713,,87.0,86.0,81.0,,81.4596743556766,,,,8.67923089975274,,,,,0.0,,57.47,65.146,
MHL,2023,,,,,,,,,,,,,,,,,,,,0.0,,,,
