ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
MLT,1997,,0.1,8.6,5.7,,0.05,,92.0,56.0,5.6399998665,,,,,,,,,,1608.0,,16.79,77.7390243902439,
MLT,1998,,0.1,8.2,5.5,,0.06,,92.0,60.0,5.6100001335,,,,,,,,,,1748.0,,18.633,77.5878048780488,1.27394215028696
MLT,1999,,0.1,7.9,5.3,,0.07,,93.0,67.0,5.5700001717,,,,,,,,,,1804.0,,15.732,77.5,2.52536412593991
MLT,2000,13.7,0.1,7.6,5.0,99.999999495466,0.08,,94.0,74.0,5.29,99.9653614954224,,,10.0,0.0,0.5,99.2773988327906,6.57,,1799.0,,19.869,78.3487804878049,1.00197514350163
MLT,2001,13.4,0.1,7.4,4.9,99.9999964485413,0.09,,95.0,70.0,7.4,99.9652560741241,99.9,,9.0,0.0,0.4,99.2772941370029,7.0,,1687.0,2.5,18.301,78.8439024390244,1.49197503925759
MLT,2002,13.2,0.1,7.2,4.7,100.0,0.1,,95.0,65.0,7.32,99.9651628325787,99.5,,10.0,0.0,0.4,99.2772015371467,7.71,,1507.0,2.5,15.355,78.7390243902439,1.48258518378497
MLT,2003,13.0,0.1,7.1,4.7,99.999998278826,0.1,89.0,94.0,90.0,7.28,99.9650632803487,99.5,,9.0,0.0,0.2,99.2771026700362,7.9,,1238.0,2.5,16.927,78.5463414634146,
MLT,2004,12.7,0.1,7.0,4.6,100.0,0.11,85.0,89.0,94.0,7.32,99.9649729237465,99.9,,8.0,0.0,0.1,98.4231540597409,8.05,14.3,872.0,2.5,20.437,79.2536585365854,1.71233505015307
MLT,2005,12.6,0.1,6.9,4.5,99.9999995796661,0.12,85.0,92.0,86.0,7.33,99.9648827046089,99.7,,8.0,0.0,0.0,97.569207127192,8.66,14.2,456.0,2.5,20.183,79.3,0.975115063577502
MLT,2006,12.5,0.1,6.9,4.5,100.0,0.12,86.0,85.0,94.0,7.46,99.9648320502604,98.8,,7.0,0.0,0.0,96.7153000145374,8.81,15.1,183.0,2.5,17.485,79.4390243902439,0.0
