ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
MNG,1997,,0.1,77.6,27.5,,0.01,88.0,92.0,91.0,,,,,,,,,,,-8257.0,,35.447,60.815,
MNG,1998,,0.1,72.9,26.3,,0.01,91.0,94.0,93.0,,,97.1,,,,,,,,-8915.0,,29.224,61.765,
MNG,1999,,0.1,68.1,25.0,,0.01,92.0,94.0,93.0,,,,,,,,,,,-8519.0,,29.517,62.529,
MNG,2000,15.4,0.1,63.1,23.6,62.4953614169164,0.01,93.0,94.0,92.0,7.33,44.1796872523233,96.6,,158.0,20.0557743206539,9.2,41.8638649548705,5.69538355,,-10833.0,,27.173,62.882,
MNG,2001,15.5,0.1,58.2,22.3,63.8930991876622,0.01,95.0,95.0,95.0,7.32,44.964576316648,,,144.0,18.9972324489175,7.6,42.5979680449112,5.05435562,,-9448.0,30.5,26.592,63.279,
MNG,2002,15.8,0.1,53.4,21.0,65.2631885127539,0.02,98.0,98.0,98.0,7.46,45.7307298595951,,,136.0,17.9693798990614,6.1,43.3038055787095,5.18856382,,-8311.0,30.0,21.496,63.518,
MNG,2003,16.2,0.1,48.8,19.8,66.6052545425881,0.03,98.0,98.0,98.0,7.22,46.4779605923644,98.6,,109.0,16.9723389996796,5.3,43.9906252004992,4.10218763,,-7755.0,30.1,18.877,64.208,13.6302935857945
MNG,2004,16.5,0.1,44.6,18.6,67.9189653068814,0.03,98.0,99.0,99.0,7.24,47.9419219894717,99.7,59.2183007798275,101.0,16.0061826452973,4.7,45.3584682607276,4.15718555,,-8142.0,29.9,17.56,64.796,13.1208310332477
MNG,2005,16.5,0.1,40.8,17.4,69.2018583021678,0.03,98.0,99.0,97.0,7.14,49.4051503733462,99.2,59.6919640573015,94.0,15.072411511025,4.2,46.7240556824564,3.7552557,,-8663.0,28.8,16.47,64.879,15.5514007005945
MNG,2006,16.0,0.1,37.2,16.3,70.4564922690515,0.03,98.0,99.0,99.0,7.11,50.8680989175166,,60.1611261283893,94.0,14.1690635669556,3.8,48.087702508218,3.74971509,,-10827.0,26.8,19.719,65.513,13.0169894957544
