ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
NAM,1997,,11.6,76.5,25.4,,23.4,,66.0,59.0,,,,,,,,,,,6023.0,,88.432,55.558,19.3120652570631
NAM,1998,,12.6,77.7,24.9,,21.84,,74.0,64.0,,,,,,,,,,,6180.0,,87.708,54.101,23.4453352135686
NAM,1999,,13.3,78.0,24.4,,20.09,,72.0,65.0,,,,,,,,,,,6333.0,,86.717,53.036,21.3127591166171
NAM,2000,30.4,13.7,77.6,23.9,75.9628102006405,18.47,,79.0,69.0,,28.0552178433948,75.5,,450.0,58.8477314000268,2.7,,9.23999977,,5709.0,,86.189,51.99,20.8889800185912
NAM,2001,29.5,14.0,76.6,23.3,76.3689821667623,17.12,,78.0,58.0,,28.3498582411564,,,450.0,57.8570396937375,2.6,,9.64409447,,2869.0,15.6,83.054,51.26,19.0152728193374
NAM,2002,28.7,14.1,75.3,22.6,76.8782066115786,15.87,,77.0,68.0,,28.7898121001836,,,447.0,56.6692633083641,2.5,,9.68074989,,-1913.0,16.5,78.665,51.254,18.3211765796058
NAM,2003,28.3,14.0,74.4,22.1,77.4019458954656,14.89,,79.0,70.0,,29.2486420373994,,,451.0,55.4594626952857,2.4,,9.91340542,37.7,-6153.0,17.7,77.086,51.083,
NAM,2004,28.0,13.8,74.1,21.6,77.9204001256526,13.83,,81.0,70.0,,29.6982094854602,,,402.0,54.2665415815916,2.2,,10.12623405,,-7192.0,18.7,75.202,51.246,18.1498918096293
NAM,2005,27.5,13.7,70.6,21.2,78.4318651214661,13.34,,86.0,73.0,,30.1360786395554,,,419.0,53.0939411623359,2.3,,10.08441544,,-8195.0,20.3,74.75,51.787,
NAM,2006,27.0,13.5,65.4,20.9,78.9370961710911,11.75,,86.0,63.0,3.3,30.5632818943393,,,420.0,51.9403343428904,2.4,,10.57086945,,-8792.0,22.4,75.637,52.655,
NAM,2007,26.5,13.4,61.0,20.8,79.4353345856474,10.38,,86.0,69.0,,30.9787336893598,81.4,,427.0,50.8072920005569,2.4,,10.71633053,,-8905.0,26.1,75.298,53.68,
NAM,2008,25.9,13.3,55.5,20.9,79.9267237226483,9.52,,83.0,73.0,,31.3826009951545,,,433.0,49.6946836922,2.1,,9.91801167,,-8775.0,30.6,75.722,54.653,17.3652713703824
NAM,2009,25.5,13.3,52.1,21.0,80.4094271857812,9.03,,83.0,76.0,2.7,31.7723198058651,,41.6640390977119,459.0,48.6060835351551,2.0,,9.04967022,28.7,-8626.0,31.9,76.372,55.496,18.762819345724
NAM,2010,25.1,13.2,49.4,21.2,80.8850164351902,9.05,83.0,83.0,75.0,,32.1500515659927,,42.0186182980196,482.0,47.5386333215077,1.9,,9.72781372,,-8518.0,30.4,76.979,56.015,14.9575769297001
NAM,2011,24.8,13.2,49.1,21.4,81.3519879199082,8.56,82.0,82.0,74.0,,32.5137073208858,,42.3752957799391,414.0,46.4952514897734,1.7,,9.83193302,,-8639.0,25.9,77.531,56.553,14.4442222055999
NAM,2012,24.7,13.2,50.3,21.6,81.8179821315026,8.28,84.0,84.0,76.0,,32.8736174504631,,42.7442015050816,362.0,45.4621994301322,1.7,,9.26659298,,-8596.0,23.4,77.76,57.64,17.9010551472454
NAM,2013,24.5,13.1,48.0,21.6,82.2751583561412,7.97,89.0,89.0,82.0,,33.2190608656143,88.2,43.1155516337404,334.0,44.4539972620601,1.8,,9.06448746,,-8580.0,21.8,75.471,58.694,
NAM,2014,24.4,13.0,45.4,21.6,82.7234244328951,7.66,88.0,88.0,83.0,,33.549894403974,,43.489348500095,306.0,43.470930919334,1.9,,8.4089098,,-8607.0,21.0,72.864,59.822,
NAM,2015,24.5,12.9,46.0,21.5,83.1619215172849,7.42,92.0,92.0,85.0,,33.8649685207144,,43.8645416947252,299.0,42.5146008607679,2.1,,9.98109627,17.4,-8596.0,20.3,70.805,60.7,
NAM,2016,24.5,12.7,45.3,21.1,83.5864062697549,7.28,85.0,85.0,75.0,,34.1586720557047,,44.2351911329745,246.0,41.5924608873407,2.0,,9.3223238,,-8596.0,19.3,68.939,61.682,
NAM,2017,24.6,12.5,44.0,20.9,83.9961178691327,6.86,88.0,88.0,80.0,,34.4301085125971,,44.5999033093996,228.0,40.7056534663839,1.9,,8.72573948,,-8597.0,18.9,68.906,62.293,
NAM,2018,24.8,12.3,43.1,20.5,84.3913137081785,6.29,89.0,89.0,82.0,,34.6797496021743,,,218.0,39.8534969663206,1.8,,8.31648731,,-8596.0,18.2,68.184,62.586,19.786501158404
NAM,2019,25.2,12.1,41.5,20.1,84.8394848926625,5.68,87.0,87.0,80.0,,34.9607746948101,,,223.0,39.0353123704302,1.9,,8.43033981,,-8596.0,17.6,66.943,63.075,13.0382652649373
NAM,2020,,11.8,40.0,19.8,85.2751917542767,4.86,93.0,93.0,90.0,,35.2599671979784,,,215.0,38.2511755003889,,,8.90162563,,-4301.0,17.1,65.67,62.829,12.1730843863922
NAM,2021,,11.4,38.9,19.2,85.6986632731503,4.78,94.0,94.0,91.0,,35.5534238160918,,,,37.5003277385406,,,9.38092136,,-4301.0,17.1,64.944,59.269,12.4498522913953
NAM,2022,,11.0,37.9,18.7,85.9121143953787,4.2,84.0,84.0,91.0,,35.8405413584001,,,,37.1558168025006,,,,,-4061.0,,63.074,58.059,
NAM,2023,,,,,,,,,,,,,,,,,,,,-3916.0,,,,
