ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
NCL,1997,,,,,,,,,,,,,,,,,,,,901.0,,22.263,71.7390243902439,
NCL,1998,,,,,,,,,,,,,,,,,,,,901.0,,22.905,74.3756097560976,
NCL,1999,,,,,,,,,,,,,,,,,,,,938.0,,27.513,73.8756097560976,
NCL,2000,,,,,95.10497708421,,,,,,100.0,,,,0.0,,,,,969.0,,29.964,75.1634146341463,
NCL,2001,,,,,95.10497708421,,,,,,100.0,,,,0.0,,,,,1001.0,9.3,28.539,74.8317073170732,
NCL,2002,,,,,95.10497708421,,,,,,100.0,,,,0.0,,,,,1022.0,9.5,26.206,75.1024390243903,
NCL,2003,,,,,95.3383295002079,,,,,,100.0,,,,0.0,,,,,928.0,9.8,22.442,75.2707317073171,
NCL,2004,,,,,95.5716819162058,,,,,,100.0,,,,0.0,,,,,543.0,10.1,20.879,75.4707317073171,
NCL,2005,,,,,95.8050343322036,,,,,,100.0,,,,0.0,,,,,83.0,10.1,22.486,75.7219512195122,
NCL,2006,,,,,96.0383867482015,,,,,,100.0,,,,0.0,,,,,572.0,9.9,22.802,76.0756097560976,3.25687148995764
NCL,2007,,,,,96.2717391641993,,,,,,100.0,,,,0.0,,,,,582.0,9.8,23.597,76.4780487804878,4.81218445103001
NCL,2008,,,,,96.5050915801972,,,,,,100.0,,,,0.0,,,,,580.0,9.6,24.799,76.6804878048781,4.3465118254757
NCL,2009,,,,,96.7384439961951,,,,,,100.0,,,,0.0,,,,,1005.0,8.7,26.086,76.9804878048781,3.1131251301189
NCL,2010,,,,,96.9717964121929,,,,,,100.0,,,,0.0,,,,,1709.0,8.1,27.167,77.2804878048781,
NCL,2011,,,,,97.2051488281908,,,,,,100.0,,,,0.0,,,,,1756.0,7.9,25.833,76.6317073170732,
NCL,2012,,,,,97.4385012441887,,,,,,100.0,,,,0.0,,,,,1793.0,8.0,24.306,77.0780487804878,
NCL,2013,,,,,97.6718536601866,,,,,,100.0,,,,0.0,,,,,1860.0,7.9,23.12,77.1780487804878,
NCL,2014,,,,,97.9052060761844,,,,,,100.0,,,,0.0,,,,,510.0,7.7,21.971,77.2365853658537,
NCL,2015,,,,,98.1385584921823,,,,,,100.0,,,,0.0,,,,,-2230.0,7.5,20.999,77.2804878048781,
NCL,2016,,,,,98.3719109081802,,,,,,100.0,,,,0.0,,,,,-2346.0,7.3,21.366,76.9317073170732,
NCL,2017,,,,,98.6052633241781,,,,,,100.0,,,,0.0,,,,,-2389.0,7.0,21.15,77.5390243902439,
NCL,2018,,,,,98.8386157401759,,,,,,100.0,,,,0.0,,,,,-2386.0,6.5,21.362,80.0030975609756,
NCL,2019,,,,,99.0719681561738,,,,,,100.0,,,,0.0,,,,,-2336.0,5.9,21.809,80.4197073170732,
NCL,2020,,,,,99.3053205721716,,,,,,100.0,,,,0.0,,,,,-1182.0,5.0,21.86,80.8349512195122,
NCL,2021,,,,,99.5386729881695,,,,,,100.0,,,,0.0,,,,,-1182.0,4.8,21.829,79.1273414634146,
NCL,2022,,,,,99.5386729881695,,,,,,100.0,,,,0.0,,,,,500.0,,21.274,80.9820731707317,
NCL,2023,,,,,,,,,,,,,,,,,,,,500.0,,,,
