ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
NGA,1997,,,197.5,49.0,,,,21.0,38.0,,,,,,,,,,,67109.0,,129.218,45.792,
NGA,1998,,,193.0,48.2,,,,32.0,38.0,,,,,,,,,,,62195.0,,128.22,46.036,
NGA,1999,,,187.9,47.4,,,,31.0,35.0,,,41.6,,,,,,,,41275.0,,131.906,46.614,
NGA,2000,58.8,,182.5,46.5,44.4422771880572,,,29.0,33.0,1.2,27.9946355957726,,,1148.0,24.298090454322,2.9,20.7190064486184,3.1973834,,34146.0,,132.063,47.193,
NGA,2001,58.5,,177.0,45.3,45.7286131867996,,,27.0,32.0,,28.0339081146668,,,1127.0,24.0888426503068,3.1,20.6886770542732,3.18946862,,37267.0,8.8,131.315,47.619,
NGA,2002,58.2,,171.3,44.1,47.2883073743618,,,25.0,30.0,,28.6863473284877,,,1112.0,23.8728393634413,3.3,21.0854180381814,2.49063969,,39619.0,8.8,133.101,47.928,
NGA,2003,57.9,,165.6,42.9,48.8567642406248,,,29.0,34.0,,29.3592591376198,35.2,,1084.0,23.650176635584,3.0,21.4961736415926,5.05360985,,4194.0,8.5,134.751,48.441,
NGA,2004,57.5,,160.0,41.7,50.4334927622484,,,33.0,37.0,0.5,30.0532638422315,,,1088.0,23.420953254232,3.2,21.9215189839694,4.63368416,,16528.0,7.8,130.599,48.767,
NGA,2005,57.1,,154.6,40.7,52.0176713923367,,18.0,36.0,41.0,,30.7689136768009,,,1073.0,23.1854747834238,2.9,22.3593175081232,4.46591949,,-46749.0,7.0,131.024,49.297,
NGA,2006,56.7,,149.7,39.9,53.6095346466067,,27.0,40.0,44.0,,31.5068482626807,,,1071.0,22.943496216832,3.3,22.8099309415608,4.25775146,,-41526.0,6.6,126.655,49.73,
NGA,2007,56.3,,145.2,39.3,55.2089706747755,,42.0,42.0,41.0,,32.267693402297,,,1081.0,22.6949555949021,3.3,23.2737566644409,3.90997243,,-38960.0,6.4,123.387,50.033,
NGA,2008,55.9,,141.3,38.7,56.8158520956791,,41.0,53.0,53.0,,33.0520742471129,34.4,,1099.0,22.4397874649219,3.3,23.7511915131126,3.69581532,,-43402.0,6.7,123.818,50.225,
NGA,2009,55.6,,138.0,38.3,58.4287046846298,,63.0,63.0,64.0,,33.8602865376741,,,1101.0,22.1787287225688,3.3,24.2426098082721,3.5801971,,-48397.0,7.5,123.081,50.712,
NGA,2010,55.3,,135.3,38.0,60.048448967519,,49.0,54.0,56.0,,34.6931332709606,,,1123.0,21.91114412795,3.5,24.7483853810285,3.29653287,,18073.0,8.4,123.402,50.945,
NGA,2011,55.1,,132.9,37.7,61.6709575534606,,45.0,48.0,49.0,,35.5499398732214,47.3,29.6769780620893,1070.0,21.6394437023066,3.4,25.2686578516895,3.32077932,,38226.0,9.2,125.756,51.357,
NGA,2012,54.9,,130.9,37.5,63.296219919828,,42.0,42.0,42.0,,36.4309333257504,,29.8117274895065,1087.0,21.3636814611217,3.4,25.8035855298338,3.35984254,,41741.0,9.7,127.692,51.497,
NGA,2013,54.9,,129.1,37.3,64.9235673868733,,43.0,43.0,43.0,,37.3360752432271,35.2,29.9452524440773,1109.0,21.0843347410705,3.3,26.3532540792598,3.4206934,,10588.0,9.6,128.112,51.707,
NGA,2014,54.9,,127.7,37.3,66.5530061054195,,43.0,43.0,44.0,,38.2655122285715,,30.0775522444434,1135.0,20.8014753891389,3.4,26.917772643337,3.34840417,,-49351.0,9.5,124.209,51.791,
NGA,2015,54.9,,126.2,37.2,68.1845425049661,,42.0,42.0,42.0,,39.2193825451344,,30.2086259214107,1113.0,20.5151732917708,3.2,27.4972445607863,3.58194995,,-145917.0,9.3,114.982,51.841,
NGA,2016,54.9,,124.5,37.0,69.8172268810042,,53.0,53.0,48.0,,40.1973273390898,,30.3380145058316,1129.0,20.2261632736844,3.6,28.0916048387746,3.64773679,,-54315.0,9.6,107.474,52.043,33.6041932011922
NGA,2017,54.9,,122.4,36.7,71.451735522149,,55.0,55.0,54.0,,41.1997191095263,43.0,30.4660261567791,1127.0,19.9340975677245,3.5,28.7010100204307,3.74762511,,15016.0,10.1,103.925,52.305,
NGA,2018,55.0,,119.9,36.3,73.0874579051768,,61.0,61.0,56.0,,42.2262606432937,43.3,30.5923531843541,1135.0,19.6395078950285,3.5,29.3253867072395,3.09069347,40.1,-81384.0,10.6,103.466,52.554,
NGA,2019,55.1,,116.9,35.9,74.7241263304551,,66.0,66.0,58.0,,43.27675278374,,30.7168434063761,1122.0,19.3427265381576,3.3,29.9646773423155,2.98547053,,-103989.0,12.4,102.807,52.91,21.7407887419939
NGA,2020,,,113.9,35.3,76.361790269796,,62.0,62.0,60.0,,44.3511464071045,,30.8394963300283,1047.0,19.0438568790033,,30.6188689175174,3.38063431,,-4824.0,14.2,102.215,52.887,
NGA,2021,,,110.6,34.8,78.0001935748374,,62.0,62.0,60.0,,45.4491548934765,,30.9601568246174,,18.7432452595913,,31.2878494893359,4.07625723,,-76364.0,15.9,101.675,52.676,
NGA,2022,,,107.2,34.3,79.6394085948484,,62.0,62.0,60.0,,46.5706750774817,50.7,31.0788286850691,,18.4410060898606,,31.9715724940523,,,-59996.0,,99.56,53.633,
NGA,2023,,,,,,,,,,,,,,,,,,,,-59996.0,,,,
