ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
NPL,1997,,0.1,94.1,45.0,,0.28,,78.0,73.0,0.1700000018,,,,,,,,,,-98574.0,,121.769,60.771,2.47318024204262
NPL,1998,,0.1,88.8,43.3,,0.38,,71.0,67.0,,,,,,,,,,,-108537.0,,123.184,61.549,2.74223096436079
NPL,1999,,0.1,83.7,41.7,,0.42,,65.0,81.0,0.200000003,,,,,,,,,,-122704.0,,118.369,62.113,2.60943504612922
NPL,2000,45.8,0.2,78.9,40.1,79.6697888529143,0.4,,74.0,71.0,,13.9643034202623,11.9,,504.0,69.2039223799878,2.6,8.99970582344963,3.13,,-147403.0,,117.956,62.614,2.58555747092658
NPL,2001,44.4,0.2,74.4,38.6,80.3252807935525,0.37,,72.0,71.0,0.21,16.5126874413899,10.9,,484.0,65.9577556916937,2.3,11.2315198172667,3.81,,-149185.0,24.1,116.892,63.336,3.39797071025382
NPL,2002,43.2,0.2,70.4,37.2,80.936422443979,0.35,,72.0,71.0,0.21,19.0765230183174,,,466.0,62.8729775866343,2.2,12.8146969812456,3.94,,-160257.0,22.3,113.262,63.264,3.38699657013305
NPL,2003,42.0,0.2,66.6,35.9,81.5412679602195,0.33,2.0,78.0,75.0,0.2,21.7098754525465,,,438.0,59.8004020628101,2.0,14.4404105021314,3.86,,-183002.0,20.3,112.962,64.197,2.94748554174629
NPL,2004,41.0,0.2,63.3,34.6,82.1397139231249,0.3,27.0,80.0,73.0,0.2,24.4122734406566,15.8,,392.0,56.7403986088981,1.7,16.1083815186225,4.05,,-212507.0,18.0,105.84,64.818,3.59945108370973
NPL,2005,40.0,0.2,60.2,33.4,82.731665320308,0.27,41.0,75.0,74.0,0.26,27.1832353733961,,46.3638876484209,380.0,53.6933424038232,2.1,17.8183258334205,3.95,,-238799.0,17.0,100.36,65.457,3.34029418176298
NPL,2006,39.2,0.2,57.5,32.2,83.3170381280125,0.23,69.0,89.0,85.0,0.26,30.0222708409922,18.7,46.4690836767712,358.0,50.6596165400828,2.1,19.5699551034022,3.54,,-271254.0,16.1,95.029,65.868,2.3002400809594
NPL,2007,38.5,0.2,54.9,31.2,83.895823115831,0.2,82.0,82.0,81.0,0.26,32.9290255317548,,46.576295891536,355.0,47.6391951951739,2.2,21.3630104367942,3.67,,-282748.0,14.9,88.503,66.329,3.14820267013256
NPL,2008,37.8,0.2,52.5,30.1,84.4678253980994,0.17,82.0,82.0,79.0,0.26,35.9028115449213,,46.6851891633505,344.0,44.6329027414286,2.2,23.1971366002265,3.82,,-294886.0,13.1,84.318,66.421,3.3182617784157
NPL,2009,37.1,0.2,50.3,29.1,85.0329499671884,0.15,89.0,89.0,90.0,0.26,38.9430970513843,,46.7957613236971,338.0,41.6411126957491,2.2,25.0720224832538,3.9,,-300762.0,11.3,81.724,66.761,2.98220949237281
NPL,2010,36.6,0.2,48.1,28.0,85.5911073264404,0.13,82.0,82.0,86.0,0.26,42.0493403726571,,48.2360302610124,349.0,38.6642001313421,2.1,26.9873517496823,4.36,,-293613.0,10.1,78.3,66.814,2.99319996878678
NPL,2011,36.2,0.2,46.0,26.9,86.1422718062614,0.12,92.0,92.0,88.0,0.26,45.2211012451996,36.0,49.6677256727821,295.0,35.7022490735854,2.1,28.9428133036965,4.45,,-347554.0,9.1,77.691,67.313,2.4902444946984
NPL,2012,35.9,0.2,43.9,25.9,86.686530708514,0.1,90.0,90.0,86.0,0.26,48.4581805623339,,51.0917215343096,288.0,32.7546241407746,2.0,30.9380625761636,4.49,,-371708.0,8.4,78.635,67.47,2.34900731024247
NPL,2013,35.6,0.2,41.9,24.9,87.2235597131944,0.09,92.0,92.0,88.0,0.27,51.7595632493705,,52.506734045886,261.0,29.8228182523963,2.0,32.9726639018188,4.63,,-373065.0,7.7,78.894,67.965,2.21316868234839
NPL,2014,35.4,0.2,39.9,23.9,87.7533252357355,0.08,92.0,92.0,88.0,0.27,55.1248076174692,55.6,53.9132055865977,253.0,26.9066917206502,1.9,35.0461782101302,5.08,,-310157.0,7.2,78.944,68.085,2.03189078069978
NPL,2015,35.3,0.2,38.0,23.0,88.275580629965,0.07,91.0,91.0,85.0,0.25,58.5529933392084,,55.310189250439,252.0,24.0073907051582,1.6,37.1581745063354,5.47,,-221059.0,6.3,77.024,67.456,2.02098305577745
NPL,2016,35.3,0.2,36.2,22.1,88.7902053889185,0.06,87.0,87.0,83.0,0.17,62.0434751947027,58.0,56.6977597569626,224.0,21.1251722084181,1.7,39.3081473678766,5.42,,-98016.0,5.4,73.771,68.776,2.14635514798257
NPL,2017,35.3,0.1,34.5,21.1,89.2969930943264,0.05,90.0,90.0,90.0,0.21,65.5953745180221,58.0,58.0752406137584,223.0,18.2609342262562,1.7,41.4956343332294,4.72,,-78062.0,4.8,70.165,68.91,2.18922997844957
NPL,2018,35.5,0.1,32.8,20.2,89.7957758492581,0.05,91.0,91.0,91.0,0.25,69.207890923476,,59.4424060537118,201.0,15.4152328634769,1.7,43.7200974082174,4.53,,-81130.0,4.7,67.469,68.979,2.21000584002813
NPL,2019,35.7,0.1,31.3,19.3,90.2863663521825,0.04,93.0,93.0,92.0,0.29,72.8801279481259,77.2,60.7986115185935,182.0,12.5889155548946,1.7,45.9810683825559,4.45,,-70597.0,4.9,66.239,69.558,2.28561554791537
NPL,2020,,0.1,29.8,18.4,90.7685835327375,0.03,84.0,84.0,87.0,0.28,76.6112121421111,,62.1436000447029,174.0,9.78258770763488,,48.2779663761306,5.21,,306664.0,5.2,64.938,69.246,
NPL,2021,,0.1,28.5,17.7,91.2422508128062,0.03,91.0,91.0,90.0,0.39,80.4002236592491,,63.4767535346519,,6.99704550651422,,50.6103136312548,5.42,,296541.0,5.4,63.837,68.45,
NPL,2022,,0.1,27.3,17.0,91.2350965073504,0.02,90.0,90.0,90.0,,80.3927030291667,,63.5428419009465,,6.97716697797205,,50.576434461939,,20.3,-62012.0,,63.358,70.484,
NPL,2023,,,,,,,,,,,,,,,,,,,,-62012.0,,,,
