ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
NZL,1997,,0.1,8.1,3.5,,0.03,99.0,86.0,99.0,6.0999999046,,,,,,,,,,11761.0,,32.901,77.3341463414634,1.58904533334463
NZL,1998,,0.1,7.8,3.5,,0.03,87.0,81.0,81.0,6.1999998093,,,,,,,,,,-1765.0,,29.721,78.0853658536585,1.28607438654252
NZL,1999,,0.1,7.6,3.5,,0.04,89.0,88.0,83.0,,,92.0,,,,,,,,-8993.0,,29.495,77.890243902439,1.17386399637824
NZL,2000,8.1,0.1,7.4,3.5,99.9999997720245,0.04,90.0,90.0,85.0,,99.9999997720245,97.3,,11.0,0.0,0.3,80.436447366178,7.4700222,,-6080.0,,28.783,78.6365853658537,1.34880446641036
NZL,2001,8.1,0.1,7.2,3.5,99.9999994727498,0.04,90.0,90.0,85.0,,99.9999994727498,96.6,,11.0,0.0,0.1,81.0221764096247,7.5789361,,17140.0,2.5,27.737,78.6926829268293,1.31119605890458
NZL,2002,8.1,0.1,7.0,3.5,99.9999996042885,0.05,89.0,90.0,84.0,6.2,99.9999996042885,99.2,,10.0,0.0,0.2,81.6087747884766,7.90045929,,47693.0,2.5,26.03,78.8463414634146,1.51953225758047
NZL,2003,8.1,0.1,6.9,3.4,99.9999994777015,0.05,89.0,90.0,84.0,,99.9999994777015,98.2,,10.0,0.0,0.4,82.196241870012,7.72169256,,42181.0,2.5,26.114,79.1463414634146,1.09454342737866
NZL,2004,8.1,0.1,6.7,3.3,99.9999984208119,0.05,88.0,89.0,83.0,,99.9999984208119,94.0,,12.0,0.0,0.3,82.7845770277524,7.90090561,,24480.0,2.5,27.283,79.5487804878049,1.102560549869
NZL,2005,8.2,0.1,6.6,3.1,100.0,0.06,87.0,89.0,82.0,,100.0,96.6,,10.0,0.0,0.2,83.3737837064171,8.27334881,,19148.0,2.5,27.297,79.8512195121951,1.47600368855741
NZL,2006,8.2,0.1,6.5,3.0,99.9999977338024,0.06,87.0,89.0,82.0,,99.9999977338024,96.8,,11.0,0.0,0.2,83.9638554771398,8.63841629,,14521.0,2.5,28.168,80.0487804878049,1.17225497359077
NZL,2007,8.3,0.1,6.5,2.9,100.0,0.06,88.0,88.0,79.0,,100.0,96.7,,10.0,0.0,0.4,84.5548009700669,8.32904434,,2976.0,2.5,31.612,80.1512195121951,1.13703821443309
NZL,2008,8.3,0.1,6.4,2.9,99.9999974555785,0.06,90.0,89.0,86.0,,99.9999974555785,96.7,,10.0,0.0,0.5,85.146610064143,9.12382889,,4679.0,2.5,32.986,80.3512195121951,1.19711607695203
NZL,2009,8.4,0.1,6.3,3.1,100.0,0.07,93.0,92.0,89.0,2.41,100.0,96.7,,10.0,0.0,0.3,85.7392956836745,9.62076378,,12403.0,2.5,30.436,80.7024390243902,1.55709429007714
NZL,2010,8.5,0.1,6.2,3.2,99.9999988878029,0.07,90.0,93.0,91.0,2.75,99.9999988878029,96.8,,10.0,0.0,0.3,86.3328420315525,9.59277534,,6258.0,2.5,29.546,80.9048780487805,0.989338497220131
NZL,2011,8.6,0.1,6.1,3.3,100.0,0.07,95.0,95.0,93.0,2.82,100.0,96.7,,10.0,0.0,0.2,86.9272640696162,9.51987362,,-2405.0,2.5,26.586,81.1560975609756,0.890153058394725
NZL,2012,8.8,0.1,6.0,3.3,100.0,0.07,93.0,93.0,92.0,2.83,100.0,96.8,,10.0,0.0,0.3,87.522550722475,9.65163612,,-1539.0,2.5,25.076,81.4073170731707,0.929645241707196
NZL,2013,8.8,0.1,5.8,3.3,99.9999995940721,0.06,93.0,92.0,92.0,2.78,99.9999995940721,96.7,,8.0,0.0,0.2,87.576741542511,9.36019325,,22547.0,2.5,22.103,81.4048780487805,1.03355828954192
NZL,2014,9.0,0.1,5.7,3.2,99.9999988101768,0.06,93.0,93.0,93.0,2.75,99.9999988101768,96.7,,8.0,0.0,0.2,87.6279798090773,9.40168381,,48532.0,2.5,19.451,81.4568292682927,0.952550787017397
NZL,2015,9.3,0.1,5.5,3.1,99.9999992554402,0.06,92.0,92.0,93.0,2.72,99.9999992554402,96.3,,9.0,0.0,0.2,87.6762658218537,9.28344345,,47165.0,2.5,18.869,81.6124390243903,1.04561723002926
NZL,2016,9.5,0.1,5.3,3.0,100.0,0.05,92.0,92.0,92.0,2.75,100.0,96.5,,8.0,0.0,0.1,87.7215998273943,9.24379444,,50012.0,2.5,16.385,81.6585365853659,1.07110395042417
NZL,2017,9.8,0.1,5.2,2.8,100.0,0.05,94.0,94.0,93.0,2.74,100.0,96.6,,7.0,0.0,0.2,87.7639801996339,8.96694851,,48815.0,2.5,15.487,81.8585365853659,0.737424049273411
NZL,2018,10.1,0.1,5.1,2.7,100.0,0.04,93.0,93.0,92.0,2.63,100.0,96.4,,8.0,0.0,0.2,87.8034027112127,9.0351162,,80419.0,2.5,13.323,81.7073170731707,1.55005884023358
NZL,2019,10.4,0.1,4.9,2.7,100.0,0.04,92.0,92.0,92.0,2.55,100.0,96.5,,7.0,0.0,0.2,87.9647336972472,9.49310207,,103392.0,2.5,13.616,82.0560975609756,2.60131307831324
NZL,2020,,0.1,4.8,2.6,100.0,0.03,92.0,92.0,91.0,2.51,100.0,,,7.0,0.0,,88.6171481068608,10.07205391,,38220.0,2.5,12.853,82.2560975609756,
NZL,2021,,0.1,4.7,2.5,99.9999962306108,0.02,90.0,90.0,91.0,2.66,99.9999962306108,,,,0.0,,88.6779807535633,10.04858398,,38220.0,2.5,12.63,82.2073170731707,
NZL,2022,,0.1,4.6,2.5,100.0,,89.0,89.0,90.0,,100.0,,,,0.0,,88.738818480283,,,12999.0,,11.799,82.7609756097561,
NZL,2023,,,,,,,,,,,,,,,,,,,,12999.0,,,,
