ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
PRK,1997,,,106.2,38.7,,,,37.0,34.0,,,,,,,,,,,-3738.0,,3.121,60.974,
PRK,1998,,,105.2,38.4,,,,43.0,49.0,,,,,,,,,,,-3706.0,,2.786,60.906,
PRK,1999,,,104.2,38.2,,,,50.0,63.0,,,,,,,,,,,-3436.0,,2.71,60.798,
PRK,2000,35.0,,102.9,37.9,99.3029424138404,,,56.0,78.0,,,96.7,,186.0,,1.3,,,,-3139.0,,2.512,60.763,
PRK,2001,34.3,,101.5,37.6,99.3025428052032,,,62.0,92.0,,,,,172.0,,1.3,,,,-2883.0,35.7,2.372,60.745,
PRK,2002,33.7,,99.6,37.1,99.3021505403324,,,64.0,98.0,13.2,75.1954252766443,,,188.0,0.0,1.3,,,,-2770.0,35.0,2.177,60.792,
PRK,2003,33.2,,34.8,18.7,99.3017601327987,,27.0,68.0,95.0,,75.2058214253932,,,123.0,0.0,1.3,,,,-2720.0,32.7,2.041,69.546,
PRK,2004,32.8,,33.9,18.2,99.2395010690127,,98.0,72.0,95.0,,75.2163508743942,97.1,,131.0,0.0,1.3,,,,-2759.0,33.0,1.519,69.437,
PRK,2005,32.5,,33.1,17.8,98.8654694870278,,92.0,79.0,96.0,,75.2267468716024,,,122.0,0.0,1.3,,,,-2860.0,34.3,1.166,69.285,
PRK,2006,32.3,,32.6,17.5,98.4923397809476,,96.0,89.0,96.0,,75.2372780830799,,,131.0,0.0,1.3,,,,-2950.0,36.7,0.876,69.085,
PRK,2007,32.1,,32.6,17.6,98.1201002491517,,92.0,92.0,99.0,,75.9237808369716,,,138.0,0.0,1.3,,,,-3020.0,38.8,1.018,68.911,
PRK,2008,31.8,,31.7,17.1,97.7487527395899,,92.0,92.0,98.0,,76.6139834715839,,,139.0,0.0,1.4,,,,-3046.0,40.3,1.3,68.958,
PRK,2009,31.7,,30.9,16.6,97.3801754237773,,93.0,93.0,98.0,,77.3190352811157,100.0,,131.0,0.0,1.4,,,,-3055.0,40.2,1.31,69.732,
PRK,2010,31.6,,29.4,15.9,97.0141879545271,,93.0,93.0,99.0,14.3,78.0324082646269,,,130.0,0.0,1.5,,,,-3047.0,39.7,1.281,70.419,
PRK,2011,31.6,,27.7,14.9,96.6502061829042,,94.0,94.0,99.0,,78.7500011828648,,,120.0,0.0,1.5,,,,-2958.0,38.8,1.454,70.978,
PRK,2012,31.7,,25.8,13.9,96.2883252390654,,96.0,96.0,99.0,13.2,79.4722786605934,,,108.0,0.0,1.5,,,,-2918.0,39.0,1.561,71.626,
PRK,2013,31.9,,23.9,12.9,95.9284731313416,,93.0,93.0,99.0,,80.1989513101531,,,96.0,0.0,1.5,,,,-2936.0,39.0,1.725,72.319,
PRK,2014,32.2,,22.3,12.1,95.5706756556801,,93.0,93.0,99.0,,80.9301779514107,,,85.0,0.0,1.5,,,,-3039.0,39.8,1.828,72.942,
PRK,2015,32.5,,21.1,11.4,95.2148804205921,,96.0,96.0,98.0,,81.6658108836529,,,108.0,0.0,1.6,,,,-3200.0,40.5,2.007,72.784,
PRK,2016,32.8,,20.4,11.0,94.8621023027482,,96.0,96.0,99.0,,82.4086076816812,,,109.0,0.0,1.6,,,,-3218.0,41.4,2.068,72.805,
PRK,2017,33.2,,19.0,10.2,94.5124537004121,,97.0,97.0,99.0,,83.1584109361602,99.5,,108.0,0.0,1.5,,,,-3222.0,43.0,2.181,72.978,
PRK,2018,33.5,,18.3,9.8,94.1662330163771,,97.0,97.0,98.0,,83.9155744317472,,,107.0,0.0,1.4,,,,-3223.0,42.5,2.165,73.031,
PRK,2019,33.9,,17.3,9.3,93.8236859124211,,97.0,97.0,98.0,,84.6194906759029,,,106.0,0.0,1.4,,,,-3139.0,43.3,2.327,73.198,
PRK,2020,,,16.5,8.9,93.8438458039225,,97.0,97.0,99.0,,84.6654660089648,,,107.0,0.0,,,,,-1589.0,43.9,2.245,73.274,
PRK,2021,,,15.8,8.5,93.8651413187457,,41.0,41.0,42.0,,84.7140412564869,,,,0.0,,,,,-1589.0,45.5,2.325,73.284,
PRK,2022,,,17.0,9.1,93.8875019271451,,0.0,0.0,0.0,,84.7650388403018,,,,0.0,,,,,-2000.0,,2.447,73.578,
PRK,2023,,,,,,,,,,,,,,,,,,,,-2000.0,,,,
