ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
PRT,1997,,0.5,8.6,4.0,,0.48,49.0,94.0,96.0,3.9000000954,,,,,,,,,,39207.0,,21.008,75.4121951219512,1.125309200913
PRT,1998,,0.5,8.2,3.8,,0.45,64.0,97.0,96.0,3.9000000954,,99.7,,,,,,,,43501.0,,20.816,75.7121951219512,1.22796834454788
PRT,1999,,0.5,7.7,3.5,,0.42,61.0,97.0,92.0,3.7999999523,,,,,,,,,,49266.0,,21.27,75.9634146341463,1.06514286741737
PRT,2000,13.0,0.5,7.2,3.4,99.2296653665282,0.4,58.0,96.0,87.0,3.71,97.5359179912734,99.7,,11.0,0.0,0.3,53.6184335287735,8.6,,63195.0,,22.083,76.3146341463415,1.12614520351216
PRT,2001,12.8,0.5,6.6,3.2,99.2163879122312,0.38,70.0,97.0,90.0,3.65,97.6666314805629,99.9,,9.0,0.0,0.4,53.7503346388429,8.63,,57075.0,2.5,21.127,76.8146341463415,1.01235858435246
PRT,2002,12.6,0.6,6.0,3.0,99.2046776613979,0.37,82.0,98.0,93.0,3.56,97.7951624397066,,,9.0,0.0,0.3,53.8793142773167,8.79,,45651.0,2.5,21.413,77.0658536585366,1.14083967813557
PRT,2003,12.5,0.6,5.5,2.8,99.1944165915606,0.36,94.0,99.0,96.0,3.58,97.9219761374044,,,9.0,0.0,0.3,54.0064039362126,9.12,20.4,28311.0,2.5,20.477,77.219512195122,
PRT,2004,12.4,0.6,5.0,2.6,99.1856112955147,0.35,94.0,95.0,95.0,3.58,98.0470864509063,,,9.0,0.0,0.3,56.0171579419091,9.53,19.4,17114.0,2.5,19.723,77.6707317073171,
PRT,2005,12.3,0.6,4.7,2.4,99.1782467357753,0.35,94.0,93.0,93.0,3.55,98.1704321911185,,,9.0,0.0,0.2,58.1002234793691,9.65,18.5,17155.0,2.5,18.851,78.0707317073171,1.28286577389662
PRT,2006,12.2,0.6,4.4,2.2,99.1723220427417,0.34,97.0,97.0,97.0,3.47,98.2921052004459,,,9.0,0.0,0.2,60.2543138659962,9.35,18.1,18775.0,2.5,17.026,78.419512195122,
PRT,2007,12.1,0.6,4.2,2.1,99.1678162409362,0.34,97.0,97.0,95.0,3.43,98.4120592958514,,,9.0,0.0,0.2,62.4776764680508,9.25,18.5,21954.0,2.5,16.669,78.3219512195122,
PRT,2008,12.0,0.6,4.0,2.1,99.1647371583627,0.33,97.0,97.0,97.0,3.38,98.5303308108402,,,9.0,0.0,0.1,64.7688370067351,9.58,17.9,10008.0,2.5,15.93,78.5243902439025,
PRT,2009,12.0,0.6,3.9,2.1,99.1630556133463,0.32,96.0,96.0,95.0,3.36,98.6468956571885,,,10.0,0.0,0.2,67.1259681070496,10.13,17.9,15657.0,2.5,15.199,78.7268292682927,
PRT,2010,12.0,0.6,3.8,2.1,99.1627671316977,0.31,97.0,98.0,96.0,3.37,98.7617899525804,,,10.0,0.0,0.2,69.5477903216848,10.03,18.0,-11820.0,2.5,14.358,79.0268292682927,1.17109278350905
PRT,2011,12.0,0.6,3.7,2.1,99.1638694569545,0.3,97.0,97.0,97.0,3.37,98.8750282234556,99.9,,9.0,0.0,0.1,72.0326962854227,9.73,17.9,-24048.0,2.5,13.229,80.4707317073171,1.07905231946082
PRT,2012,12.0,0.6,3.7,2.1,99.1663315159812,0.29,98.0,98.0,97.0,3.4,98.9866064300204,99.9,,10.0,0.0,0.1,74.5790520428957,9.65,18.7,-37448.0,2.5,11.92,80.3731707317073,1.15946590818589
PRT,2013,12.1,0.6,3.7,2.1,99.1701175619018,0.28,98.0,98.0,98.0,3.39,99.0965393431923,99.9,,9.0,0.0,0.2,77.185010257651,9.4,19.5,-36657.0,2.5,10.254,80.7219512195122,1.37607643340101
PRT,2014,12.3,0.6,3.7,2.1,99.1752188842536,0.26,98.0,98.0,98.0,3.32,99.2048529041414,99.9,,9.0,0.0,0.3,79.849286197009,9.34,19.5,-30033.0,2.5,9.063,81.1219512195122,0.883903842022556
PRT,2015,12.4,0.6,3.6,2.1,99.1816088485954,0.24,98.0,98.0,98.0,3.37,99.3115702473537,99.9,,10.0,0.0,0.2,82.5702935507059,9.32,19.0,-10124.0,2.5,8.239,81.1243902439025,0.96474480015818
