ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
PRY,1997,,0.1,36.3,19.3,,,,75.0,61.0,,,,,,,,,,,-8707.0,,83.468,69.325,
PRY,1998,,0.1,35.4,18.9,,,,79.0,71.0,,,60.8,,,,,,,,-9279.0,,81.583,69.478,
PRY,1999,,0.1,34.6,18.5,,,,82.0,82.0,,,85.6,,,,,,,,-11357.0,,81.046,69.634,
PRY,2000,24.1,0.2,33.8,18.1,76.2362190151531,,,86.0,92.0,0.78,70.3699673050704,85.0,,148.0,0.89061318082402,0.3,42.4693918960324,6.01865244,,-15880.0,,80.563,69.75,19.4191090668894
PRY,2001,24.0,0.2,33.0,17.6,77.7879198510234,,,89.0,90.0,0.77,71.6883702365394,85.9,,147.0,0.873282659394071,0.2,43.1966284805716,5.60815811,,-27672.0,10.4,77.586,69.9,25.2132718518381
PRY,2002,23.9,0.2,32.2,17.2,79.2988558912089,,,87.0,86.0,0.83,72.9797851516575,85.8,,132.0,0.856161002723564,0.2,43.9038107185059,4.75770569,57.7,-36917.0,9.1,76.158,70.025,25.9528375275761
PRY,2003,23.9,0.2,31.4,16.8,80.6966115800717,,86.0,86.0,91.0,0.81,74.1767492636509,85.9,,130.0,0.841169388876767,0.4,44.5597293842303,4.90703917,51.4,-39940.0,8.6,77.101,70.297,24.0040917169258
PRY,2004,23.9,0.2,30.7,16.4,82.0578364483405,,90.0,92.0,91.0,0.78,75.3484581795664,77.2,,127.0,0.82665720919792,0.3,45.2002968519918,4.93224335,48.8,-40910.0,8.9,76.36,70.481,22.3214141474378
PRY,2005,23.8,0.2,29.9,16.0,83.4038094172464,,92.0,96.0,91.0,0.81,76.5100718090056,87.5,,127.0,0.81224894029018,0.2,45.8330807303383,4.82934713,44.9,-42163.0,9.3,75.106,70.527,16.1953580123567
PRY,2006,23.8,0.2,29.1,15.5,84.7343030109567,,92.0,98.0,91.0,0.8,77.6613772106309,90.5,,114.0,0.797951678415238,0.3,46.4579949763056,5.01927567,48.9,-44565.0,9.5,75.196,70.781,13.4063879089558
PRY,2007,23.7,0.2,28.3,15.1,86.0493988819789,,86.0,95.0,91.0,0.8,78.8024376979402,90.6,,110.0,0.78376481689498,0.2,47.0750855112376,5.02042723,45.3,-45914.0,9.2,74.661,71.106,14.0067935632075
PRY,2008,23.2,0.3,27.4,14.6,87.34940587523,,87.0,89.0,91.0,0.82,79.9335474945567,87.2,,107.0,0.769681267455253,0.3,47.6844914171373,5.03776026,43.2,-44677.0,9.5,75.844,71.384,14.7560347399218
PRY,2009,22.7,0.3,26.6,14.2,88.6341505522764,,85.0,86.0,91.0,0.82,81.0545251060352,93.8,,104.0,0.755707567461863,0.2,48.2861530001483,5.52496862,41.6,-40108.0,7.2,76.455,71.635,14.3970061241637
PRY,2010,22.2,0.3,25.9,13.8,89.9037202338302,,91.0,91.0,93.0,0.84,82.1654388723924,95.6,,100.0,0.741843226398901,0.2,48.8801194327638,5.46593952,39.0,-26173.0,4.7,76.263,71.887,12.8453765961919
PRY,2011,22.2,0.3,25.1,13.4,91.1581991748664,,91.0,92.0,91.0,0.83,83.2663540458527,95.8,,99.0,0.728087782458117,0.1,49.4664383868845,5.82225847,37.0,-20435.0,2.5,76.45,72.131,11.2424181055293
PRY,2012,22.2,0.3,24.4,12.9,92.3978172967035,,91.0,91.0,88.0,0.84,84.3575171738242,95.7,79.8544148121476,85.0,0.714434647391827,0.2,50.045209268482,6.53144598,31.4,-17761.0,2.5,76.649,72.454,10.9566895063277
PRY,2013,22.3,0.4,23.6,12.6,93.618796817874,,90.0,91.0,88.0,0.87,85.4337129192793,96.8,79.8924656303261,81.0,0.701079269103725,0.2,50.6152395557413,6.0642848,28.0,-17238.0,2.5,76.883,72.757,10.0571927910575
PRY,2014,22.3,0.4,22.9,12.2,94.8251554833038,,93.0,93.0,84.0,0.89,86.4992154178358,96.4,79.9288138854812,77.0,0.687890737870068,0.2,51.1781180616787,6.62719059,27.2,-16990.0,2.5,76.878,72.878,9.48984529089413
PRY,2015,22.4,0.4,22.1,11.8,96.0186086116123,,92.0,92.0,78.0,0.84,87.5561508130822,96.3,79.9650297716061,80.0,0.674795559564145,0.1,51.7344546063714,6.69165802,26.6,-16833.0,2.6,76.163,73.191,9.9871316537039
