ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
SEN,1997,,0.5,138.8,40.0,,1.17,,59.0,65.0,,,46.5,,,,,,,,-44599.0,,104.559,56.591,
SEN,1998,,0.6,137.4,39.6,,1.26,,59.0,62.0,0.400000006,,,,,,,,,,-45291.0,,103.785,56.418,
SEN,1999,,0.7,134.4,39.0,,1.25,,60.0,60.0,,,48.3,,,,,,,,-44377.0,,101.665,56.609,
SEN,2000,59.8,0.7,129.6,38.2,59.7555406350506,1.19,,52.0,48.0,,36.8403629523326,57.8,,638.0,24.6662949382175,3.4,16.2466517570735,3.55015397,,-42952.0,,100.189,56.943,
SEN,2001,59.7,0.7,122.8,37.1,60.8756144546024,1.04,,52.0,48.0,,37.8255022373584,,,596.0,23.8978687494827,3.0,16.6439449805005,3.68148756,55.2,-41509.0,24.5,97.69,57.564,
SEN,2002,59.6,0.7,115.0,35.9,61.9989937102872,0.87,,60.0,54.0,,38.8186500389611,58.0,,598.0,23.1326918155553,2.4,17.0602621137459,3.95294404,,-40555.0,23.2,95.218,58.231,
SEN,2003,59.5,0.7,106.9,34.7,63.1913822066463,0.73,,73.0,60.0,,39.869656149518,,,565.0,22.3226399598712,3.1,17.4836356667998,4.29703569,,-40489.0,21.7,95.615,59.122,
SEN,2004,59.4,0.7,99.0,33.4,64.4339943181148,0.6,54.0,87.0,57.0,,40.9633021795963,58.0,,550.0,21.4819043369947,3.2,17.91044331802,4.56856203,,-41027.0,19.8,93.005,60.027,
SEN,2005,59.2,0.7,91.6,32.1,65.6736809272597,0.52,84.0,84.0,74.0,,42.0544776116129,51.9,,519.0,20.6494394036171,3.1,18.3350731902765,3.67466521,48.3,-41857.0,18.1,91.502,60.915,
SEN,2006,59.0,0.7,85.1,30.8,66.911108985333,0.46,89.0,89.0,80.0,,43.1437484387826,,,490.0,19.8246608478736,3.0,18.7575170034469,3.76337624,,-42731.0,16.5,93.5,61.75,
SEN,2007,58.6,0.6,79.4,29.7,68.1456746962979,0.38,94.0,94.0,84.0,0.1,44.2305886798635,,,477.0,19.0079115288208,2.9,19.1776633058724,3.41496587,,-43365.0,13.6,90.84,62.543,
SEN,2008,58.1,0.6,74.4,28.6,69.3772031298627,0.31,88.0,88.0,77.0,0.3,45.3148396181609,,,491.0,18.1992226723836,2.8,19.5954371696409,3.50687575,,-43583.0,11.8,88.049,63.242,
SEN,2009,57.5,0.6,70.1,27.7,70.6051497639055,0.28,86.0,86.0,79.0,,46.3960167988497,,,471.0,17.3988848765877,2.6,20.0107542196968,3.841573,,-43643.0,10.7,85.944,63.923,
SEN,2010,56.9,0.6,66.3,26.9,71.8300877317255,0.26,89.0,89.0,81.0,,47.4746195159613,,,450.0,16.6063964249185,2.5,19.6264225977841,4.02764368,,-43569.0,10.8,81.803,64.615,
SEN,2011,56.4,0.5,62.8,26.3,73.0514525533288,0.23,92.0,92.0,84.0,,48.5501486192775,65.1,21.0541063671147,417.0,15.8220589736502,2.5,19.2028198824,4.21416712,46.7,-43352.0,10.7,80.87,65.262,
SEN,2012,55.9,0.5,59.6,25.7,74.2687450783238,0.2,91.0,91.0,83.0,,49.62215098708,,21.155094373604,394.0,15.0461345443397,2.4,18.7402421820197,4.26688004,,-42976.0,11.0,80.102,65.457,
SEN,2013,55.4,0.5,56.6,25.3,75.4821356227169,0.19,92.0,92.0,84.0,,50.6907763152699,50.5,21.2563255628885,353.0,14.2784012812134,2.3,18.239001351505,4.38573599,,-45857.0,10.8,77.179,66.072,
SEN,2014,54.9,0.5,53.7,24.9,76.6914468030901,0.16,89.0,89.0,80.0,,51.7558632183278,59.1,21.3578004157556,346.0,13.5188904024891,2.3,17.6994200863311,4.38962269,,-37405.0,10.6,75.559,66.452,
SEN,2015,54.5,0.4,50.9,24.5,77.8987857430696,0.15,89.0,89.0,80.0,0.69,52.8193806775429,53.2,21.461464374716,321.0,12.7660219502101,2.3,17.121813803066,4.37789631,,-31006.0,9.5,73.748,66.879,0.267518151792543
SEN,2016,54.0,0.4,48.3,24.0,79.1033819690487,0.16,93.0,93.0,93.0,0.73,53.8806790444526,58.6,21.56707674685,280.0,12.0202623822798,2.2,16.5065401346522,4.25606871,,-24720.0,8.3,71.999,67.497,
