ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
SLV,1997,,0.3,39.5,17.3,,0.55,,97.0,98.0,,,,,,,,,,,-93078.0,,119.688,67.895,112.500551976693
SLV,1998,,0.3,37.1,16.6,,0.57,,99.0,99.0,,,90.4,,,,,,,,-97089.0,,118.018,68.478,94.8839714651409
SLV,1999,,0.4,34.9,15.7,,0.58,1.0,94.0,94.0,,,,,,,,,,,-98364.0,,113.604,69.379,64.9070908591234
SLV,2000,11.4,0.4,33.0,14.8,78.6360268784025,0.59,99.0,99.0,97.0,,80.5686084030559,,,49.0,9.51057254683628,0.5,,7.84342813,,-97219.0,,107.896,69.865,59.5957158215801
SLV,2001,11.1,0.4,31.1,14.0,78.8357152170907,0.59,75.0,92.0,95.0,,80.6612610620906,,,47.0,9.41905128746717,0.4,,7.88604879,,-93347.0,7.3,100.786,69.598,59.952288666095
SLV,2002,10.9,0.4,29.4,13.3,80.0285290995464,0.59,81.0,81.0,93.0,,80.7535749388269,,,39.0,9.32786310693795,0.5,,7.88565731,,-92034.0,7.1,92.917,70.232,47.1613759144275
SLV,2003,10.8,0.4,27.8,12.6,81.2157868750133,0.59,94.0,94.0,90.0,,81.1327572570181,92.4,,39.0,8.75723563321473,0.1,,7.77182293,,-91736.0,7.9,86.67,70.14,55.6841606355295
SLV,2004,10.6,0.5,26.3,12.0,82.3977563954932,0.57,90.0,90.0,93.0,,81.5045537894438,,,35.0,8.1955245199153,0.3,,8.1302166,,-89193.0,8.7,82.695,70.34,64.5663093263027
SLV,2005,10.5,0.5,24.9,11.4,83.5728135392811,0.56,89.0,89.0,99.0,0.9,81.8685229941508,87.2,,35.0,7.64327095572816,0.4,,9.20057869,,-91042.0,9.2,80.265,70.44,64.2947608382301
SLV,2006,10.5,0.5,23.6,10.9,84.74156283604,0.54,96.0,96.0,98.0,0.9,82.2253614750701,89.6,,36.0,7.09995603956725,0.1,,8.69338894,,-89964.0,9.4,77.46,70.773,65.0765042499415
SLV,2007,10.3,0.5,22.4,10.4,85.9168220429352,0.51,99.0,99.0,99.0,0.7,82.583060105739,93.1,,37.0,6.55924218467197,0.1,,8.47836304,,-56863.0,9.7,76.217,71.108,57.8577797205256
SLV,2008,10.2,0.5,21.2,10.0,87.1619584784562,0.48,98.0,98.0,95.0,0.8,82.9828897716493,95.5,,34.0,5.99061841266713,0.0,,8.49585915,,-56087.0,10.0,73.788,71.424,52.3887299795208
SLV,2009,10.1,0.5,20.2,9.6,88.3843344376465,0.45,91.0,91.0,91.0,1.1,83.3732415179839,97.5,,36.0,5.43779940509713,0.1,,8.83749676,,-55962.0,9.9,72.071,71.576,71.9399952800665
SLV,2010,10.0,0.6,19.2,9.2,89.5841918914407,0.41,89.0,89.0,92.0,1.0,83.7547743731515,98.0,90.2957510191444,36.0,4.90029089989649,0.4,,8.90416241,,-54686.0,9.9,70.912,71.848,65.2106231981517
SLV,2011,9.9,0.6,18.3,8.8,90.7614868095957,0.38,89.0,89.0,89.0,1.04,84.1280076806049,99.0,90.3494052538099,37.0,4.37776004498671,0.1,,8.87645435,,-53440.0,9.7,70.951,71.859,71.2196806161488
SLV,2012,9.9,0.6,17.4,8.4,91.9155629608669,0.35,92.0,93.0,93.0,1.08,84.4929764471639,99.5,90.4023757245356,38.0,3.87016240469331,0.2,,8.60625362,,-50554.0,9.8,70.643,71.831,42.1015797181401
SLV,2013,9.9,0.6,16.6,8.1,93.0459632736078,0.33,92.0,92.0,94.0,1.08,84.8497505668913,99.8,90.4545526477137,39.0,3.3773878427542,0.2,,9.05235958,,-49086.0,9.8,70.62,71.771,40.6263375227391
SLV,2014,9.9,0.5,16.0,7.7,94.1529283986877,0.31,94.0,94.0,96.0,1.37,85.198960719006,98.0,90.506055158335,41.0,2.89898548854179,0.1,,8.5989418,,-49130.0,10.0,70.115,71.746,63.1449112907401
SLV,2015,9.9,0.5,15.3,7.4,95.236218443692,0.29,94.0,94.0,97.0,1.03,85.5407927310038,99.9,90.5568186053179,44.0,2.43475195625211,0.6,,8.75833225,,-51282.0,9.6,70.359,71.814,106.819603579869
SLV,2016,10.0,0.5,14.7,7.1,96.2074761001858,0.27,98.0,98.0,98.0,1.07,85.873730827727,99.9,90.6060424764407,42.0,1.98509632106552,0.2,,8.71456337,,-47499.0,8.9,65.213,72.025,84.4091122164431
SLV,2017,10.1,0.5,14.2,6.9,96.8050128885534,0.26,92.0,92.0,89.0,1.06,86.1978582430374,99.9,90.653608602059,45.0,1.54950812291961,0.2,,8.42286873,,-50616.0,8.0,61.531,72.311,63.2235270031242
SLV,2018,10.4,0.5,13.7,6.6,97.3822109325189,0.25,89.0,89.0,87.0,1.07,86.5136611901022,99.9,90.6995792106616,45.0,1.12730148276196,0.2,,8.322752,,-54158.0,7.1,58.197,72.555,53.3113035179326
SLV,2019,10.6,0.5,13.2,6.4,97.8203480942147,0.24,90.0,90.0,85.0,1.06,86.8216058122908,,,39.0,0.782103873230137,0.2,,8.80846119,,-55143.0,7.2,57.808,72.559,38.18339398145
SLV,2020,,0.5,12.7,6.2,98.0305089627303,0.24,76.0,76.0,74.0,1.08,87.1219856405385,,,43.0,0.505755409258213,,,9.08151054,26.2,-25214.0,7.0,56.83,71.061,21.3103023154811
SLV,2021,,0.5,12.3,6.0,98.1944683010115,0.23,78.0,78.0,85.0,1.16,87.3915065689454,,,,0.243106625964664,,,9.71643353,24.6,-27343.0,7.7,55.89,70.748,18.1654984604067
SLV,2022,,0.5,11.9,5.8,98.5931599892378,0.23,75.0,75.0,65.0,,87.5527837523229,,,,0.0,,,,26.6,-23249.0,,54.546,71.475,
SLV,2023,,,,,,,,,,,,,,,,,,,,-23249.0,,,,
