ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
SRB,1997,,0.1,15.4,9.5,,0.02,,94.0,92.0,,,,,,,,,,,5364.0,,26.646,71.5843658536585,
SRB,1998,,0.1,14.0,8.6,,0.02,,93.0,88.0,,,,,,,,,,,3799.0,,21.389,71.1872926829268,
SRB,1999,,0.1,13.2,8.1,,0.02,,92.0,84.0,,,,,,,,,,,3950.0,,23.012,69.7154390243902,
SRB,2000,23.9,0.1,12.7,7.8,89.3067886279812,0.02,,95.0,89.0,,95.5184112239382,98.0,,18.0,0.0682245569081569,0.5,29.2185894447175,6.18360472,,2082.0,,24.61,71.5829268292683,2.87333796932132
SRB,2001,23.6,0.1,12.2,7.5,89.3019468426874,0.02,,93.0,90.0,,95.5150404969656,98.2,,15.0,0.0681302846532947,0.7,29.1818623967552,6.49679995,,-5.0,3.5,26.338,72.2341463414634,3.06903684719739
SRB,2002,23.4,0.1,11.4,7.0,89.2970582916295,0.02,,95.0,92.0,,95.5120325649844,99.2,,15.0,0.0680360090033287,0.4,29.1455987963085,7.59296274,,1543.0,3.3,25.38,72.2853658536585,2.53027841855322
SRB,2003,23.2,0.1,10.6,6.5,89.2921910184179,0.02,,89.0,87.0,,95.5093769195707,98.5,,14.0,0.0679421596793208,0.6,29.1098439159296,7.66696072,,511.0,2.9,24.377,72.4365853658537,2.2313892312395
SRB,2004,23.0,0.1,9.7,6.0,89.2871687965082,0.03,89.0,88.0,89.0,,95.5071358701854,98.7,,15.0,0.0678474645533613,0.4,29.074470795005,7.84200048,,480.0,2.6,21.578,72.6829268292683,2.08561328062582
SRB,2005,22.8,0.1,8.9,5.5,89.6523725384607,0.03,65.0,98.0,96.0,5.9,95.673137737524,99.7,,16.0,0.0672291692660722,0.6,29.0243764934826,8.28380585,,351.0,2.5,20.857,72.8341463414634,1.87716832095849
SRB,2006,22.7,0.1,8.4,5.2,90.0188988119915,0.03,93.0,92.0,88.0,5.27,95.8395322903665,88.9,98.1275231239447,16.0,0.0666157080622397,0.4,28.8781102180103,8.49390411,,185.0,2.5,19.901,73.3853658536585,2.00133640521366
SRB,2007,22.5,0.1,8.1,5.1,90.3866857574049,0.03,99.0,94.0,95.0,5.09,96.0063327536142,99.8,98.1279134157568,15.0,0.0660066848420309,0.5,28.7286465123641,9.3764925,,117.0,2.5,20.62,73.6317073170732,2.20412689893266
SRB,2008,22.3,0.1,8.0,4.9,90.7558390153973,0.03,93.0,95.0,92.0,5.08,96.1734958754489,99.7,98.1283055048322,15.0,0.0654028945755813,0.6,28.5760324815681,9.48246479,,98.0,2.5,21.059,73.8853658536585,1.81281541369613
SRB,2009,22.1,0.1,7.8,4.9,91.1263009793936,0.04,93.0,95.0,95.0,5.1,96.3410429199425,99.8,98.1286928780974,15.0,0.0648039297615047,0.6,28.420187937055,9.34623528,,46.0,2.5,20.584,73.9853658536585,2.00311275918442
SRB,2010,21.9,0.1,7.6,4.8,91.4981190223907,0.04,89.0,91.0,95.0,5.13,96.5089535369173,99.7,98.1290831293882,14.0,0.0642101589935085,0.6,28.2611220009847,9.5273037,,-20.0,2.5,20.207,74.3365853658537,1.72464511996965
