ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
SXM,1997,,,,,,,,,,,,,,,,,,,,-723.0,,47.403,73.76,
SXM,1998,,,,,,,,,,,,,,,,,,,,-688.0,,42.776,73.48,
SXM,1999,,,,,,,,,,,,,,,,,,,,-657.0,,40.276,75.034,
SXM,2000,,,,,96.5385136863648,,,,,,98.3844236135577,,,,0.497086443956142,,,,,-594.0,,38.747,74.514,
SXM,2001,,,,,96.4441033512408,,,,,,98.4149315325455,,,,0.468955167885952,,,,,-309.0,,35.696,74.522,
SXM,2002,,,,,96.3496930161167,,,,,,98.4454394515333,,,,0.440823891815761,,,,,-35.0,,33.896,74.858,
SXM,2003,,,,,96.2552826809926,,,,,,98.4759473705211,,,,0.41269261574557,,,,,-6.0,,33.95,74.148,
SXM,2004,,,,,96.1608723458685,,,,,,98.5064552895088,,,,0.384561339675372,,,,,9.0,,33.871,74.24,
SXM,2005,,,,,96.0664620107445,,,,,,98.5369632084966,,,,0.356430063605181,,,,,11.0,,34.773,75.542,
SXM,2006,,,,,95.9720516756204,,,,,,98.5674711274844,,,,0.32829878753499,,,,,8.0,,36.129,75.926,
SXM,2007,,,,,95.8776413404963,,,,,,98.5979790464721,,,,0.300167511464792,,,,,63.0,,30.687,75.417,
SXM,2008,,,,,95.7832310053722,,,,,,98.6284869654599,,,,0.272036235394601,,,,,27.0,,34.282,75.742,
SXM,2009,,,,,95.6888206702482,,,,,,98.6589948844477,,,,0.243904959324411,,,,,23.0,,31.64,75.441,
SXM,2010,,,,,95.5944103351241,,,,,,98.6895028034355,,,,0.21577368325422,,,,,-62.0,,33.126,75.132,
SXM,2011,,,,,95.5,,,,,,98.7200107224233,,,,0.187642407184022,,,,,0.0,,35.041,74.684,
SXM,2012,,,,,95.4055896648759,,,,,,98.750518641411,,,,0.159511131113831,,,,,2953.0,,33.311,74.608,
SXM,2013,,,,,95.3111793297519,,,,,,98.7810265603988,,,,0.13137985504364,,,,,1609.0,,29.866,74.917,
SXM,2014,,,,,95.3111793297519,,,,,,98.7810265603988,,,,0.13137985504364,,,,,901.0,,27.748,76.773,
SXM,2015,,,,,95.3111793297519,,,,,,98.7810265603988,,,,0.13137985504364,,,,,1027.0,,25.755,76.954,
SXM,2016,,,,,95.3111793297519,,,,,,98.7810265603988,,,,0.13137985504364,,,,,969.0,,23.962,76.598,
SXM,2017,,,,,95.3111793297519,,,,,,98.7810265603988,,,,0.13137985504364,,,,,-50.0,,23.32,75.03,
SXM,2018,,,,,,,,,,,,,,,,,,,,640.0,,23.405,75.131,
SXM,2019,,,,,,,,,,,,,,,,,,,,540.0,,24.258,75.437,
SXM,2020,,,,,,,,,,,,,,,,,,,,475.0,,24.846,74.584,
SXM,2021,,,,,,,,,,,,,,,,,,,,212.0,,24.994,73.972,
SXM,2022,,,,,,,,,,,,,,,,,,,,0.0,,24.52,74.409,
SXM,2023,,,,,,,,,,,,,,,,,,,,0.0,,,,
