ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
TCA,1997,,,12.4,6.7,,,,,,,,,,,,,,,,370.0,,34.285,72.365,12.1098362144652
TCA,1998,,,11.8,6.3,,,,,,,,100.0,,,,,,,,371.0,,32.168,73.964,0.0
TCA,1999,,,11.2,6.0,,,,,,,,88.2,,,,,,,,385.0,,31.035,74.01,0.0
TCA,2000,,,10.7,5.7,,,,,,,,,,,,,,,,418.0,,30.911,73.575,0.0
TCA,2001,,,10.2,5.5,,,,,,,,,,,,,,,,548.0,,31.686,74.131,0.0
TCA,2002,,,9.8,5.2,,,,,,,,,,,,,,,,778.0,,30.938,75.54,9.70968055150986
TCA,2003,,,9.3,5.0,,,,,,,,,,,,,,,,789.0,,30.124,75.411,0.0
TCA,2004,,,9.0,4.9,,,,,,,,100.0,,,,,,,,782.0,,29.075,76.786,
TCA,2005,,,8.7,4.7,,,,,,,,99.1,,,,,,,,794.0,,27.823,77.148,0.0
TCA,2006,,,8.4,4.5,,,,,,,,100.0,,,,,,,,811.0,,26.1,76.831,
TCA,2007,,,8.2,4.4,,,,,,,,,,,,,,,,848.0,,24.905,75.914,7.6138267093041
TCA,2008,,,7.9,4.3,,,,,,,,,,,,,,,,873.0,,23.676,76.632,7.29341404711545
TCA,2009,,,7.7,4.1,,,,,,,,,,,,,,,,889.0,,21.774,77.164,6.99777820541978
TCA,2010,,,7.6,4.0,,,,,,,,,,,,,,,,899.0,,20.498,76.243,
TCA,2011,,,7.4,4.0,,,,,,,,,,,,,,,,821.0,,20.132,76.195,
TCA,2012,,,7.3,3.9,,,,,,,,,,,,,,,,1256.0,,20.359,77.037,
TCA,2013,,,7.1,3.8,,,,,,,,,,,,,,,,1337.0,,20.328,77.018,11.9067109199423
TCA,2014,,,7.0,3.7,,,,,,,,,,,,,,,,1005.0,,19.67,77.135,5.71673574389024
TCA,2015,,,6.9,3.6,,,,,,,,,,,,,,,,1663.0,,19.653,76.912,
TCA,2016,,,6.8,3.6,98.689411704729,,,,,,93.1209329228814,,94.8758519199344,,0.0173126677916226,,34.1137178901051,,,1312.0,,19.518,76.864,
TCA,2017,,,6.7,3.5,98.7117886619428,,,,,,93.1258892910052,,94.8956255614577,,0.0166185831748366,,34.082076317287,,,1425.0,,18.759,76.702,
TCA,2018,,,6.6,3.4,98.7327536212092,,,,,,93.1305367451149,,94.9141518883452,,0.0159684613563206,,34.0524406915178,,,1403.0,,17.856,76.443,
TCA,2019,,,6.4,3.3,98.7522982439726,,,,,,93.1348674325142,,94.9314228859131,,0.0153623015369213,,34.0248081678682,,,1358.0,,17.137,75.326,
TCA,2020,,,6.3,3.3,98.7705697805465,,,,,,93.1389124820085,100.0,94.9475685135738,,0.0147954721250059,,33.9989669086747,,,682.0,,17.15,75.001,
TCA,2021,,,6.1,3.2,98.787653792082,,,,,,93.1426986478971,,94.962665217983,,0.0142656562816337,,33.9748149440239,,,682.0,,17.148,74.587,
TCA,2022,,,5.9,3.1,98.8035417706889,,,,,,93.1462182010626,,94.9767048521556,,0.0137728654187745,,33.9523500609898,,,200.0,,16.551,74.925,
TCA,2023,,,,,,,,,,,,,,,,,,,,200.0,,,,
