ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
VUT,1997,,,30.3,13.1,,,75.0,72.0,65.0,,,,,,,,,,,-929.0,,71.772,68.708,
VUT,1998,,,29.8,12.7,,,73.0,72.0,64.0,,,,,,,,,,,-902.0,,72.417,68.763,
VUT,1999,,,29.4,12.4,,,71.0,71.0,62.0,,,88.0,,,,,,,,-734.0,,72.153,68.237,
VUT,2000,30.9,,28.9,12.1,83.3770902301555,,70.0,71.0,61.0,,55.4460006828416,88.0,,109.0,2.35364676278442,0.9,,3.30683255,,-458.0,,73.959,68.966,
VUT,2001,30.2,,28.5,12.0,83.4244118648733,,68.0,70.0,59.0,3.0999999046,55.5001223291002,,,98.0,2.34668858987239,0.9,,3.38728333,,-336.0,7.0,75.88,69.037,
VUT,2002,29.5,,28.2,11.8,83.4720682081339,,66.0,70.0,58.0,,55.5546282634721,,,96.0,2.33968065853901,0.9,,3.90437746,,-351.0,7.0,73.833,69.196,
VUT,2003,28.8,,27.9,11.7,83.5203977320197,,64.0,69.0,56.0,3.7,55.6099056323237,84.0,,97.0,2.3325731864455,0.9,,3.50691938,,-386.0,6.9,72.625,69.276,
VUT,2004,28.1,,27.5,11.6,83.5690733677971,,63.0,69.0,55.0,,55.6655748127855,,,97.0,2.3254162997164,0.8,,3.53991532,,-425.0,6.8,71.909,69.313,
VUT,2005,27.3,,27.2,11.5,83.9968978882666,,61.0,68.0,53.0,4.1,55.2398365873063,92.0,,98.0,2.17426375021295,0.8,,3.30528617,,-448.0,6.9,70.916,69.39,
VUT,2006,26.6,,26.7,11.3,84.4565689198112,,59.0,68.0,52.0,,54.8068887489516,92.9,,97.0,2.02405262536696,0.9,,3.32189322,,-481.0,6.4,70.847,69.462,
VUT,2007,25.8,,26.1,11.1,84.9148534741011,,62.0,70.0,56.0,,54.3665016686827,74.0,26.9571726883644,98.0,1.87481813017118,0.8,,3.1078558,,-498.0,6.1,69.547,69.544,
VUT,2008,25.1,,25.4,10.8,85.371886109248,,66.0,73.0,61.0,1.68,53.9188034157125,,27.0702628626765,86.0,1.72655296555725,0.8,,3.13810205,,-531.0,6.0,69.253,69.602,
