ISO_3,year,"Literacy rate, adult total (% of people ages 15 and above)","Compulsory education, duration (years)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Primary education, teachers","Adjusted net enrollment rate, primary (% of primary school age children)",Children out of school (% of primary school age),"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Adolescents out of school (% of lower secondary school age),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)",Expenditure on tertiary education (% of government expenditure on education),"Government expenditure on education, total (% of GDP)"
PRI,1997,,14.0,,,,,,,,,,,,,,,,,,,
PRI,1998,,13.0,,,,,,,,,,,,,,,,,,,
PRI,1999,,13.0,,,,,,,,,,,,,,,,,,,
PRI,2000,,13.0,89.0299987792969,,,,,81.5599975585938,37.6100006103516,74.4400024414062,,,,,25.3299999237061,,,,,,
PRI,2001,,16.0,,,,,,,,,,,,,,,,,,,
PRI,2002,,16.0,,,,,,,,,,,,,,,,,,,
PRI,2003,,16.0,,,,,,,,,,,,,,,,,,,
PRI,2004,,16.0,,,,,,,,,,,,,,,,,,,
PRI,2005,,16.0,,,,,,,42.25,77.5,,,,,20.7800006866455,,,,,,
PRI,2006,,16.0,,,,,,,40.9000015258789,76.7799987792969,,,,,20.7399997711182,,,,,,
PRI,2007,,16.0,,,,,,,40.6800003051758,77.3099975585938,,,,,21.2399997711182,,,,,,
PRI,2008,,16.0,,,,,,,42.7999992370605,77.7099990844727,,,,,21.1499996185303,,,,,,
PRI,2009,,13.0,,,26058.0,,,,,,,,,,,,,,,,
PRI,2010,92.0,13.0,,,25708.0,90.03191,8.40293025970459,,,,,,,,,,,,,,
PRI,2011,,13.0,,,22395.0,86.70075,10.4231300354004,80.1699981689453,43.8800010681152,69.7799987792969,10.074179649353,,,,31.1299991607666,,,,,,
PRI,2012,,13.0,88.8399963378906,,19081.0,87.08987,7.57275009155273,80.0,,69.9300003051758,10.4070100784302,14.710000038147,0.740000009536743,6.03999996185303,31.2099990844727,,,,,,
PRI,2013,,13.0,,94.3926,20457.0,86.49538,5.77777004241943,,,,7.84110021591187,,,,,98.4717025756836,98.4717025756836,100.0,95.4087066650391,38.58278,6.48108005523682
PRI,2014,,13.0,,94.45409,19266.0,85.54503,3.81549000740051,,,,5.24477005004883,,,,,98.4717025756836,98.4717025756836,100.0,95.3797378540039,36.77856,6.07265996932983
PRI,2015,,13.0,,90.00935,18028.0,83.68389,2.7660698890686,,,,5.98610019683838,,,,,,,,,,
PRI,2016,,13.0,,,16810.0,78.79343,6.72430992126465,,,,10.7718696594238,,,,,,,,,,
PRI,2017,92.0,13.0,91.3899993896484,,,,,88.4499969482422,50.0499992370605,80.0199966430664,,7.59000015258789,0.930000007152557,2.11999988555908,26.2800006866455,,,,,,
PRI,2018,,13.0,,,14453.0,,4.77967977523804,,,,6.4336199760437,,,,,,,,,,
PRI,2019,,13.0,,,,,,,,,,,,,,,,,,,
PRI,2020,,13.0,,,,,,,,,,,,,,,,,,,
PRI,2021,92.4000015258789,13.0,,,,,,,,,,,,,,,,,,,
PRI,2022,,13.0,,,,,,,,,,,,,,,,,,,
PRI,2023,,13.0,,,,,17.9344997406006,,,,13.7718296051025,,,,,,,,,,
BMU,1997,,,,,478.0,,,,,,,,,,,,,,,,
BMU,1998,,13.0,,,,,,,,,,,,,,,,,,1.85199,2.15227007865906
BMU,1999,,13.0,,,,,,,,,,,,,,,,,,,
BMU,2000,,13.0,,,,,,91.5400009155273,53.5,85.6999969482422,,,,,27.5599994659424,,,,,,
BMU,2001,,13.0,,99.75904,536.0,,,,,,,,,,,,,,,,
BMU,2002,,13.0,,98.78049,548.0,,,,,,,,,,,,,,,,
BMU,2003,,13.0,,106.42769,548.0,,,,,,,,,,,,,,,,1.6662700176239
BMU,2004,,13.0,,101.00376,560.0,,,,,,,,,,,,,,,,1.77587997913361
BMU,2005,,13.0,,103.31633,571.0,97.46259,,,,,,,,,,,,,,,1.98877000808716
BMU,2006,,13.0,,102.85344,567.0,,,,,,,,,,,,,,,,
BMU,2007,,13.0,,,,,,,,,,,,,,,,,,,
BMU,2008,,13.0,,,,,,,,,,,,,,,,,,,
BMU,2009,,13.0,,,,,,,,,,,,,,,,,,,2.28920006752014
BMU,2010,,13.0,,100.41494,608.0,,,,51.0099983215332,77.0199966430664,,28.3299999237061,0.759999990463257,8.05000019073486,37.3600006103516,,,,,13.48375,2.30668997764587
