ISO_3,year,CPIA gender equality rating (1=low to 6=high),"Literacy rate, youth (ages 15-24), gender parity index (GPI)","School enrollment, tertiary (gross), gender parity index (GPI)","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","Adjusted net enrollment rate, primary, female (% of primary school age children)","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Adolescents out of school, female (% of female lower secondary school age)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Proportion of seats held by women in national parliaments (%),Women Business and the Law Index Score (scale 1-100),Pregnant women receiving prenatal care (%),"Employers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contraceptive prevalence, any modern method (% of married women ages 15-49)","Contraceptive prevalence, any method (% of married women ages 15-49)",Unmet need for contraception (% of married women ages 15-49)
PRI,1997,,,,,,,,,,,81.25,,1.79496665083302,1.74724680572551,,,
PRI,1998,,,,,,,,,,,81.25,,1.78219711759551,1.32601886317689,,,
PRI,1999,,,,,,,,,,,81.25,,1.91846570580602,1.06138492295242,,,
PRI,2000,,,,88.6699981689453,,80.9800033569336,40.0800018310547,,,,81.25,,1.87521516372694,1.03379842449525,,,
PRI,2001,,,,,,,,,,,81.25,,1.88171174808236,0.876059749697214,,,
PRI,2002,,,,,,,,,,,81.25,,2.03927311136184,1.21248129566059,,,
PRI,2003,,,,,,,,,,,81.25,,1.96757625656708,1.005057633498,,,
PRI,2004,,,,,,,,,,,81.25,,1.99432074438123,0.960479426731989,,,
PRI,2005,,,,,,,45.1300010681152,,,,81.25,,1.99015609512496,0.931803908809576,,,
PRI,2006,,,,,,,44.4000015258789,,,,81.25,,2.08771600300526,0.903268219383922,,,
PRI,2007,,,1.37222003936768,,,,44.4599990844727,,,,81.25,,2.13297208276888,0.853037047156101,,,
PRI,2008,,,1.35198998451233,,,,46.3400001525879,,,,81.25,,2.01936698298112,0.837748151598067,,,
PRI,2009,,,1.35258996486664,,,,,,,,81.25,,2.04129837516628,0.848054633531827,,,
PRI,2010,,1.0,1.32163000106812,,92.84468,,,,,,81.25,,2.05330734642937,0.851840454086954,,,
PRI,2011,,,1.31152999401093,,89.51948,81.0899963378906,47.9300003051758,10.1303796768188,,,81.25,,2.10221349165414,0.817137275989596,,,
PRI,2012,,,1.30434000492096,89.0500030517578,89.99319,80.9599990844727,,8.88327980041504,16.4300003051758,,81.25,,2.16546840262553,0.803127017457271,,,
PRI,2013,,,1.30007994174957,,88.45844,,,7.10257005691528,,,81.25,,2.18851518038152,0.776505436870352,,,
PRI,2014,,,1.28714001178741,,88.23688,,,3.93046998977661,,,81.25,,2.21981410313701,0.77978371614979,,,
PRI,2015,,,1.27549004554749,,85.88144,,,4.10200023651123,,,81.25,,2.25963747256186,0.783027306079781,,,
PRI,2016,,,1.26450002193451,,80.3519,,,9.14671039581299,,,81.25,,2.16634386586243,0.769630900337557,,,
