ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Net migration,Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)","Intentional homicides (per 100,000 people)"
WSM,1997,,,23.6,9.7,,,99.0,96.0,99.0,,,,,,,,,,,-2984.0,,48.481,69.875,
WSM,1998,,,22.8,9.3,,,98.0,99.0,99.0,,,100.0,,,,,,,,-2986.0,,47.13,70.171,
WSM,1999,,,22.0,9.0,,,97.0,97.0,91.0,,,,,,,,,,,-3001.0,,45.226,70.456,
WSM,2000,24.7,,21.2,8.7,87.0628271690696,,93.0,98.0,93.0,3.2999999523,91.5505250743045,80.0,,75.0,0.0518925171142991,0.6,47.9376418097458,4.28232527,,-3020.0,,43.989,70.746,
WSM,2001,24.5,,20.5,8.4,87.0579948902936,,93.0,90.0,92.0,,91.5519205403681,,,73.0,0.0518319933421468,0.6,47.9308299146184,3.81804991,,-3489.0,3.1,42.727,71.019,
WSM,2002,24.4,,20.0,8.1,87.064744879935,,92.0,92.0,99.0,1.5,91.5499793522055,,,67.0,0.0519164643722898,0.6,47.9403399646676,4.49205494,,-3772.0,3.1,41.451,71.276,
WSM,2003,24.4,,19.6,7.9,87.0776449689648,,90.0,90.0,62.0,2.04,91.5462491292769,,,64.0,0.0520780805095732,0.6,47.9585279330904,4.17237139,,-3966.0,3.0,41.047,71.496,
WSM,2004,24.5,,19.4,7.7,87.0904378683408,,62.0,63.0,25.0,,91.5425486886049,100.0,,62.0,0.0522383645385959,0.6,47.9765655511515,4.52578545,,-4022.0,2.8,39.631,71.696,
WSM,2005,24.7,,19.2,7.6,87.3410974952211,,51.0,59.0,57.0,0.94,91.8897330688306,,,62.0,0.0561460521190792,0.5,48.2089765693867,4.63365459,,-4040.0,2.8,38.018,71.754,
WSM,2006,24.8,,19.2,7.6,87.5902548209258,,46.0,50.0,54.0,,92.2378248153105,,,58.0,0.0601037705955818,0.5,48.4420613662786,4.88451385,,-3553.0,3.2,36.412,72.021,
WSM,2007,24.8,,19.2,7.6,87.8377590201019,,58.0,65.0,63.0,1.0,92.586879308403,,,59.0,0.0642115269135012,0.5,48.6755114329727,4.7446332,,-3334.0,3.4,36.928,72.1,
WSM,2008,24.7,,19.3,7.6,88.0837000553997,,26.0,39.0,44.0,,92.9368651635754,,,59.0,0.0683334802328571,0.5,48.8388533586508,4.53258085,26.9,-3244.0,3.5,38.549,72.155,
WSM,2009,24.6,,25.4,7.8,88.3282366495514,,58.0,64.0,45.0,,93.2877375230274,80.8,,62.0,0.0724716662616474,0.5,49.002134269348,5.12732029,,-3252.0,4.3,40.969,70.066,8.28260239367209
WSM,2010,24.5,,19.3,7.7,88.5713883126493,,72.0,78.0,56.0,,93.6394944067816,,,62.0,0.0766258462737291,0.5,49.1653524016525,5.15268326,,-3274.0,5.4,44.112,72.249,8.21897401519997
WSM,2011,24.5,,19.2,7.6,88.8132055205682,,75.0,82.0,59.0,,93.9921230735475,,,59.0,0.0807967454702846,0.5,49.1210322981325,5.38357162,,-3246.0,6.0,46.253,72.26,
WSM,2012,24.5,,19.1,7.6,89.0540729896839,,82.0,82.0,76.0,,94.3455123808619,,,63.0,0.0849972005217381,0.5,48.5628940906252,4.9883461,,-3215.0,6.0,50.659,72.167,
WSM,2013,24.8,,18.9,7.5,90.1108837968064,,85.0,84.0,92.0,,94.6997600876247,,,58.0,0.089222441339858,0.5,48.001145477924,6.2147789,18.8,-3182.0,5.8,49.912,72.391,3.00091527916014
WSM,2014,25.0,,18.7,7.4,91.1688531070319,,81.0,78.0,85.0,,95.0549169073212,82.5,,60.0,0.0934634688034529,0.5,47.4350340179374,6.25431204,,-3161.0,6.7,49.526,72.463,
WSM,2015,25.1,,18.5,7.2,92.2280018053418,,80.0,80.0,75.0,,95.4109753379077,,,58.0,0.0977221628280904,0.5,46.8647178050468,6.21226454,,-3137.0,7.3,48.438,72.515,
WSM,2016,25.5,,18.4,7.1,93.2882850329994,,74.0,74.0,75.0,,95.7679389798611,,72.1169529922812,57.0,0.101997257406059,0.5,46.2901049570925,5.63365221,,-2772.0,7.9,46.457,72.54,
WSM,2017,25.9,,18.1,7.0,94.3496926546639,,67.0,67.0,67.0,,96.1258053580255,,72.0841440236037,59.0,0.10628610744249,0.5,45.711013587619,5.16120243,,-2824.0,7.9,46.493,72.59,3.37138990365049
WSM,2018,26.3,,17.8,6.9,95.4125105550728,,44.0,44.0,40.0,,96.4845978819616,,72.0542003001333,58.0,0.110568459980448,0.5,45.1260761207323,4.77439356,21.9,-2739.0,7.7,46.114,72.636,6.19930281686783
WSM,2019,26.8,,20.3,6.8,96.4228349677627,,68.0,68.0,96.0,,96.8442592798373,,72.0274072767067,66.0,0.114839366255262,0.4,44.5350838038496,5.63886738,,-2469.0,7.4,45.195,72.157,
WSM,2020,,,17.1,6.6,97.3966472856546,,89.0,89.0,66.0,,97.2047301774128,88.9,72.0034809415148,59.0,0.119098837222221,,44.0012412785781,6.18895578,,-1060.0,5.6,44.192,72.768,
WSM,2021,,,16.6,6.4,98.2720159951158,,85.0,85.0,62.0,,97.565956940205,,71.9824237483293,,0.12334449335197,,43.4681932379658,6.80313492,,-882.0,4.6,43.589,72.767,
WSM,2022,,,16.1,6.2,99.0376144418681,,76.0,76.0,82.0,,97.9278644978324,,71.9643681014419,,0.127572527735072,,42.9284698999397,,,-1500.0,,43.766,72.598,
WSM,2023,,,,,,,,,,,,,,,,,,,,-1500.0,,,,
