country,ISO_3,capital_lat,capital_lon,event_date,Battles_Armed clash,Battles_Government regains territory,Battles_Non-state actor overtakes territory,Explosions/Remote violence_Air/drone strike,Explosions/Remote violence_Chemical weapon,Explosions/Remote violence_Grenade,Explosions/Remote violence_Remote explosive/landmine/IED,Explosions/Remote violence_Shelling/artillery/missile attack,Explosions/Remote violence_Suicide bomb,Protests_Excessive force against protesters,Protests_Peaceful protest,Protests_Protest with intervention,Riots_Mob violence,Riots_Violent demonstration,Strategic developments_Agreement,Strategic developments_Arrests,Strategic developments_Change to group/activity,Strategic developments_Disrupted weapons use,Strategic developments_Headquarters or base established,Strategic developments_Looting/property destruction,Strategic developments_Non-violent transfer of territory,Strategic developments_Other,Violence against civilians_Abduction/forced disappearance,Violence against civilians_Attack,Violence against civilians_Sexual violence,Fatalities_Remote explosive/landmine/IED,Fatalities_Shelling/artillery/missile attack,Fatalities_Armed clash,Fatalities_Air/drone strike,Fatalities_Attack,Fatalities_Peaceful protest,Fatalities_Non-state actor overtakes territory,Fatalities_Abduction/forced disappearance,Fatalities_Disrupted weapons use,Fatalities_Government regains territory,Fatalities_Mob violence,Fatalities_Change to group/activity,Fatalities_Suicide bomb,Fatalities_Non-violent transfer of territory,Fatalities_Protest with intervention,Fatalities_Looting/property destruction,Fatalities_Arrests,Fatalities_Sexual violence,Fatalities_Headquarters or base established,Fatalities_Grenade,Fatalities_Violent demonstration,Fatalities_Agreement,Fatalities_Excessive force against protesters,Fatalities_Other,Fatalities_Chemical weapon,violence index,quarter,month,week,General,Legislative,Local,Parliamentary,Presidential,Referendum,holiday,violence index_moving_avg,violence index_exp_moving_avg,violence index_difference,Fatalities_Battles
Brazil,BRA,-14.235,-51.9253,2018-01-05,74.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,31.0,0.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,51.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.9125238460549,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,606.9125238460549,0.0,51.0
Brazil,BRA,-14.235,-51.9253,2018-01-12,94.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,35.0,1.0,2.0,11.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,61.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.4947959075763,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,606.5948737351689,-8.417727938478606,61.0
Brazil,BRA,-14.235,-51.9253,2018-01-19,86.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,47.0,1.0,5.0,8.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,83.0,0.0,0.0,0.0,68.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.1338497677357,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,610.426533208096,109.63905386015938,68.0
Brazil,BRA,-14.235,-51.9253,2018-01-26,93.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,121.0,1.0,5.0,29.0,0.0,1.0,0.0,6.0,0.0,5.0,0.0,0.0,2.0,70.0,0.0,0.0,0.0,49.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.9153951946564,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,613.4638487547586,-17.21845457307927,49.0
Brazil,BRA,-14.235,-51.9253,2018-02-02,112.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,37.0,0.0,5.0,11.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,73.0,0.0,0.0,0.0,134.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0459309417935,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,617.6744933655901,34.13053574713706,134.0
Brazil,BRA,-14.235,-51.9253,2018-02-09,95.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,43.0,2.0,7.0,6.0,0.0,7.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,79.0,1.0,1.0,0.0,70.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.737368551879,1,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,623.6768660141294,51.69143761008547,70.0
Brazil,BRA,-14.235,-51.9253,2018-02-16,68.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,32.0,1.0,12.0,7.0,0.0,3.0,1.0,6.0,0.0,7.0,0.0,1.0,1.0,97.0,1.0,0.0,0.0,50.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.9442787362519,1,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,629.6492212111906,5.206910184372987,50.0
Brazil,BRA,-14.235,-51.9253,2018-02-23,107.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,146.0,4.0,14.0,17.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,94.0,0.0,0.0,0.0,84.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.7532996072412,1,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,640.2946581317963,129.80902087098923,84.0
Brazil,BRA,-14.235,-51.9253,2018-03-02,88.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,131.0,0.0,4.0,29.0,0.0,3.0,0.0,1.0,0.0,10.0,0.0,0.0,2.0,63.0,0.0,0.0,0.0,53.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.7466043583971,1,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,642.0475617629887,-225.00669524884404,53.0
Brazil,BRA,-14.235,-51.9253,2018-03-09,114.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,129.0,1.0,13.0,21.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,68.0,1.0,0.0,0.0,72.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.9286075680227,1,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,647.4770351895938,99.18200320962558,72.0
