country,ISO_3,capital_lat,capital_lon,event_date,Battles_Armed clash,Battles_Government regains territory,Battles_Non-state actor overtakes territory,Explosions/Remote violence_Air/drone strike,Explosions/Remote violence_Chemical weapon,Explosions/Remote violence_Grenade,Explosions/Remote violence_Remote explosive/landmine/IED,Explosions/Remote violence_Shelling/artillery/missile attack,Explosions/Remote violence_Suicide bomb,Protests_Excessive force against protesters,Protests_Peaceful protest,Protests_Protest with intervention,Riots_Mob violence,Riots_Violent demonstration,Strategic developments_Agreement,Strategic developments_Arrests,Strategic developments_Change to group/activity,Strategic developments_Disrupted weapons use,Strategic developments_Headquarters or base established,Strategic developments_Looting/property destruction,Strategic developments_Non-violent transfer of territory,Strategic developments_Other,Violence against civilians_Abduction/forced disappearance,Violence against civilians_Attack,Violence against civilians_Sexual violence,Fatalities_Remote explosive/landmine/IED,Fatalities_Shelling/artillery/missile attack,Fatalities_Armed clash,Fatalities_Air/drone strike,Fatalities_Attack,Fatalities_Peaceful protest,Fatalities_Non-state actor overtakes territory,Fatalities_Abduction/forced disappearance,Fatalities_Disrupted weapons use,Fatalities_Government regains territory,Fatalities_Mob violence,Fatalities_Change to group/activity,Fatalities_Suicide bomb,Fatalities_Non-violent transfer of territory,Fatalities_Protest with intervention,Fatalities_Looting/property destruction,Fatalities_Arrests,Fatalities_Sexual violence,Fatalities_Headquarters or base established,Fatalities_Grenade,Fatalities_Violent demonstration,Fatalities_Agreement,Fatalities_Excessive force against protesters,Fatalities_Other,Fatalities_Chemical weapon,violence index,quarter,month,week,General,Legislative,Local,Parliamentary,Presidential,Referendum,holiday,violence index_moving_avg,violence index_exp_moving_avg
Yemen,YEM,15.5524,48.5164,2015-01-02,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,8.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5909355394408,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,46.5909355394408
Yemen,YEM,15.5524,48.5164,2015-01-09,15.0,0.0,0.0,0.0,0.0,4.0,13.0,2.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,8.0,7.0,0.0,49.0,0.0,30.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,229.36801032299869,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,53.48818364448072
Yemen,YEM,15.5524,48.5164,2015-01-16,8.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,10.0,0.0,6.0,2.0,12.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.52844546242477,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,56.433099184780495
Yemen,YEM,15.5524,48.5164,2015-01-23,21.0,0.0,1.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,9.0,8.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.29306470117558,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,60.65422995898408
Yemen,YEM,15.5524,48.5164,2015-01-30,33.0,0.0,2.0,1.0,0.0,0.0,11.0,0.0,0.0,6.0,10.0,2.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,11.0,0.0,66.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.7272693976534,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,66.16642012648104
Yemen,YEM,15.5524,48.5164,2015-02-06,20.0,0.0,1.0,2.0,0.0,1.0,9.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,8.0,0.0,40.0,7.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.80866769966656,1,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,68.832165317922
Yemen,YEM,15.5524,48.5164,2015-02-13,22.0,1.0,1.0,2.0,0.0,1.0,9.0,0.0,0.0,1.0,15.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,2.0,12.0,0.0,0.0,0.0,41.0,5.0,10.0,0.0,27.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,196.6296686548941,1,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,73.6547126136568
Yemen,YEM,15.5524,48.5164,2015-02-20,32.0,0.0,3.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,7.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,4.0,0.0,94.0,3.0,4.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.6139820131692,1,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,76.97393032684595
Yemen,YEM,15.5524,48.5164,2015-02-27,18.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,32.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,127.92570259836238,1,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,78.89663871445033
Yemen,YEM,15.5524,48.5164,2015-03-06,21.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,23.0,0.0,40.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.25451729708476,1,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,81.24976620813464
Yemen,YEM,15.5524,48.5164,2015-03-13,30.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,9.0,0.0,71.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,106.6048253311064,1,3,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,82.20656089202038
Yemen,YEM,15.5524,48.5164,2015-03-20,27.0,0.0,2.0,3.0,0.0,1.0,6.0,0.0,4.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,52.0,0.0,3.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.34522529578032,1,3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,86.09858596386037
Yemen,YEM,15.5524,48.5164,2015-03-27,26.0,11.0,2.0,57.0,0.0,1.0,2.0,2.0,0.0,2.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,15.0,0.0,1.0,2.0,0.0,0.0,0.0,126.0,89.0,3.0,0.0,10.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,209.84106608958268,1,3,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90.76811351577442
Yemen,YEM,15.5524,48.5164,2015-04-03,33.0,8.0,5.0,144.0,0.0,1.0,1.0,8.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,5.0,0.0,25.0,141.0,249.0,188.0,18.0,0.0,27.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0881634741035,2,4,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,97.91226634439062
Yemen,YEM,15.5524,48.5164,2015-04-10,37.0,6.0,9.0,131.0,0.0,0.0,0.0,5.0,1.0,1.0,12.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,2.0,0.0,0.0,14.0,251.0,118.0,2.0,0.0,68.0,0.0,0.0,85.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,279.2804582039238,2,4,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,104.75634905607112
Yemen,YEM,15.5524,48.5164,2015-04-17,41.0,4.0,7.0,100.0,0.0,0.0,2.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,5.0,0.0,15.0,6.0,341.0,191.0,20.0,0.0,34.0,0.0,0.0,26.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.7953813446059,2,4,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,112.53140687827998
Yemen,YEM,15.5524,48.5164,2015-04-24,56.0,3.0,3.0,103.0,0.0,1.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,348.0,180.0,4.0,0.0,41.0,0.0,0.0,67.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.3992824864349,2,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,118.300005957833
Yemen,YEM,15.5524,48.5164,2015-05-01,56.0,10.0,11.0,128.0,0.0,0.0,1.0,23.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,38.0,342.0,218.0,17.0,0.0,89.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.14882056737804,2,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,126.48298009404225
Yemen,YEM,15.5524,48.5164,2015-05-08,41.0,2.0,1.0,98.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0,0.0,66.0,230.0,94.0,5.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.8265192000944,2,5,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,130.04311364521402
Yemen,YEM,15.5524,48.5164,2015-05-15,53.0,7.0,3.0,83.0,0.0,1.0,1.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,10.0,186.0,202.0,6.0,0.0,32.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,265.66100874072794,2,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,135.16077006391265
Yemen,YEM,15.5524,48.5164,2015-05-22,68.0,0.0,2.0,112.0,0.0,2.0,3.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,190.0,92.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.2997928927895,2,5,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,139.80752564236084
Yemen,YEM,15.5524,48.5164,2015-05-29,54.0,4.0,3.0,97.0,0.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,245.0,182.0,0.0,0.0,56.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,230.43446099569695,2,5,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,143.22740999531692
Yemen,YEM,15.5524,48.5164,2015-06-05,44.0,2.0,2.0,148.0,0.0,0.0,3.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,19.0,187.0,198.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.2363991726447,2,6,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,146.43529637936703
Yemen,YEM,15.5524,48.5164,2015-06-12,39.0,3.0,3.0,118.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,16.0,18.0,133.0,235.0,2.0,0.0,14.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.21369724725827,2,6,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,149.03070773287237
Yemen,YEM,15.5524,48.5164,2015-06-19,43.0,5.0,0.0,123.0,0.0,1.0,7.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,24.0,36.0,154.0,175.0,4.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,260.86697536208436,2,6,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,153.25094424718225
Yemen,YEM,15.5524,48.5164,2015-06-26,52.0,3.0,1.0,136.0,0.0,2.0,10.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,35.0,228.0,82.0,1.0,0.0,5.0,0.0,4.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,290.7183078018756,2,6,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,158.43839192849143
Yemen,YEM,15.5524,48.5164,2015-07-03,36.0,3.0,0.0,114.0,0.0,0.0,12.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,49.0,33.0,130.0,92.0,1.0,0.0,0.0,0.0,4.0,28.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.25552732859035,3,7,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,161.52583100019328
Yemen,YEM,15.5524,48.5164,2015-07-10,22.0,2.0,2.0,87.0,0.0,0.0,9.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,25.0,140.0,272.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.1496242672773,3,7,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,162.41729489706438
Yemen,YEM,15.5524,48.5164,2015-07-17,22.0,0.0,7.0,77.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,105.0,98.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.98750412923894,3,7,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,162.96711411337284
Yemen,YEM,15.5524,48.5164,2015-07-24,12.0,0.0,4.0,18.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,112.0,85.0,86.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.16085561353027,3,7,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,160.29517983035993
Yemen,YEM,15.5524,48.5164,2015-07-31,36.0,1.0,3.0,52.0,0.0,1.0,9.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,1.0,164.0,120.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.46025257538406,3,7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,160.67876748111556
Yemen,YEM,15.5524,48.5164,2015-08-07,45.0,1.0,3.0,56.0,0.0,2.0,12.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,46.0,1.0,145.0,65.0,3.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,256.9732642130097,3,8,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,164.31252207477195
Yemen,YEM,15.5524,48.5164,2015-08-14,43.0,2.0,13.0,53.0,0.0,2.0,14.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,54.0,16.0,166.0,107.0,1.0,0.0,32.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,254.66302904264452,3,8,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,167.72197516789922
Yemen,YEM,15.5524,48.5164,2015-08-21,44.0,1.0,5.0,79.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,6.0,23.0,136.0,158.0,5.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.8212518294324,3,8,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,170.36723089097595
