iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
CPV,Cape Verde,2024-09-14,0.3,0.4,3.9,2024-09-20
CPV,Cape Verde,2024-09-21,0.5,0.6,3.2,2024-09-27
CPV,Cape Verde,2024-09-28,0.1,0.4,3.7,2024-10-04
CPV,Cape Verde,2024-10-05,0.3,0.6,3.7,2024-10-11
CPV,Cape Verde,2024-10-12,0.9,1.1,4.8,2024-10-18
CPV,Cape Verde,2024-10-19,0.6,0.9,4.9,2024-10-25
CPV,Cape Verde,2024-10-26,0.2,0.6,4.4,2024-11-01
CPV,Cape Verde,2024-11-02,0.7,0.8,3.4,2024-11-08
CPV,Cape Verde,2024-11-09,0.2,0.5,4.3,2024-11-15
CPV,Cape Verde,2024-11-16,0.9,1.4,4.7,2024-11-22
CPV,Cape Verde,2024-11-23,0.7,1.1,4.1,2024-11-29
CPV,Cape Verde,2024-11-30,0.8,1.1,3.9,2024-12-06
