iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
EST,Estonia,2024-09-14,0.2,0.2,3.9,2024-09-20
EST,Estonia,2024-09-21,0.3,0.3,3.5,2024-09-27
EST,Estonia,2024-09-28,0.2,0.2,1.1,2024-10-04
EST,Estonia,2024-10-05,0.4,0.4,3.2,2024-10-11
EST,Estonia,2024-10-12,0.5,0.5,3.4,2024-10-18
EST,Estonia,2024-10-19,0.1,0.1,2.8,2024-10-25
EST,Estonia,2024-10-26,0.2,0.2,4.0,2024-11-01
EST,Estonia,2024-11-02,0.2,0.2,3.3,2024-11-08
EST,Estonia,2024-11-09,0.2,0.2,3.9,2024-11-15
EST,Estonia,2024-11-16,0.1,0.1,3.2,2024-11-22
EST,Estonia,2024-11-23,0.0,0.0,2.5,2024-11-29
EST,Estonia,2024-11-30,0.2,0.2,4.1,2024-12-06
