iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
GUF,French Guiana,2024-09-14,1.1,1.3,5.3,2024-09-20
GUF,French Guiana,2024-09-21,2.6,3.0,7.0,2024-09-27
GUF,French Guiana,2024-09-28,1.6,2.0,5.7,2024-10-04
GUF,French Guiana,2024-10-05,1.7,1.9,5.4,2024-10-11
GUF,French Guiana,2024-10-12,1.5,2.1,5.6,2024-10-18
GUF,French Guiana,2024-10-19,2.1,2.6,5.1,2024-10-25
GUF,French Guiana,2024-10-26,1.4,2.0,5.7,2024-11-01
GUF,French Guiana,2024-11-02,2.0,2.4,6.4,2024-11-08
GUF,French Guiana,2024-11-09,1.2,1.5,4.2,2024-11-15
GUF,French Guiana,2024-11-16,1.4,1.6,5.0,2024-11-22
GUF,French Guiana,2024-11-23,0.2,0.4,4.7,2024-11-29
GUF,French Guiana,2024-11-30,2.1,2.6,6.4,2024-12-06
