iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
JAM,Jamaica,2024-09-14,0.6,3.3,11.8,2024-09-20
JAM,Jamaica,2024-09-21,0.3,2.7,10.2,2024-09-27
JAM,Jamaica,2024-09-28,0.2,2.1,11.2,2024-10-04
JAM,Jamaica,2024-10-05,0.1,2.6,9.8,2024-10-11
JAM,Jamaica,2024-10-12,0.3,2.8,9.5,2024-10-18
JAM,Jamaica,2024-10-19,0.2,3.1,11.0,2024-10-25
JAM,Jamaica,2024-10-26,0.5,3.1,12.4,2024-11-01
JAM,Jamaica,2024-11-02,0.6,3.2,12.3,2024-11-08
JAM,Jamaica,2024-11-09,0.5,2.5,9.5,2024-11-15
JAM,Jamaica,2024-11-16,0.9,4.8,13.6,2024-11-22
JAM,Jamaica,2024-11-23,0.3,3.3,10.7,2024-11-29
JAM,Jamaica,2024-11-30,0.4,2.6,10.3,2024-12-06
