iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
LBN,Lebanon,2024-09-14,40.5,72.8,95.1,2024-09-20
LBN,Lebanon,2024-09-21,19.1,53.0,89.0,2024-09-27
LBN,Lebanon,2024-09-28,27.2,64.0,95.1,2024-10-04
LBN,Lebanon,2024-10-05,44.6,76.9,96.5,2024-10-11
LBN,Lebanon,2024-10-12,13.5,43.4,84.6,2024-10-18
LBN,Lebanon,2024-10-19,26.3,67.9,91.9,2024-10-25
LBN,Lebanon,2024-10-26,24.4,63.1,92.0,2024-11-01
LBN,Lebanon,2024-11-02,33.7,70.6,94.0,2024-11-08
LBN,Lebanon,2024-11-09,21.8,56.8,89.4,2024-11-15
LBN,Lebanon,2024-11-16,14.4,47.9,86.3,2024-11-22
LBN,Lebanon,2024-11-23,22.0,58.9,91.0,2024-11-29
LBN,Lebanon,2024-11-30,20.6,60.0,91.5,2024-12-06
