iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
NOR,Norway,2024-09-14,0.2,0.3,4.0,2024-09-20
NOR,Norway,2024-09-21,0.1,0.6,4.8,2024-09-27
NOR,Norway,2024-09-28,0.0,0.6,6.8,2024-10-04
NOR,Norway,2024-10-05,0.0,1.2,5.3,2024-10-11
NOR,Norway,2024-10-12,0.2,1.0,6.4,2024-10-18
NOR,Norway,2024-10-19,0.3,0.5,7.5,2024-10-25
NOR,Norway,2024-10-26,0.4,1.2,6.3,2024-11-01
NOR,Norway,2024-11-02,0.2,1.1,5.7,2024-11-08
NOR,Norway,2024-11-09,1.0,2.8,9.1,2024-11-15
NOR,Norway,2024-11-16,0.6,2.2,6.4,2024-11-22
NOR,Norway,2024-11-23,0.5,2.8,9.0,2024-11-29
NOR,Norway,2024-11-30,0.3,0.9,5.2,2024-12-06
