iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
PER,Peru,2024-09-14,0.0,0.0,7.1,2024-09-20
PER,Peru,2024-09-21,0.0,0.1,12.7,2024-09-27
PER,Peru,2024-09-28,0.0,0.1,7.9,2024-10-04
PER,Peru,2024-10-05,0.0,0.1,9.1,2024-10-11
PER,Peru,2024-10-12,0.0,0.0,6.3,2024-10-18
PER,Peru,2024-10-19,0.0,0.1,9.1,2024-10-25
PER,Peru,2024-10-26,0.0,0.1,11.5,2024-11-01
PER,Peru,2024-11-02,0.0,0.1,8.9,2024-11-08
PER,Peru,2024-11-09,0.0,0.2,8.0,2024-11-15
PER,Peru,2024-11-16,0.0,0.1,9.4,2024-11-22
PER,Peru,2024-11-23,0.0,0.2,7.2,2024-11-29
PER,Peru,2024-11-30,0.0,0.2,11.1,2024-12-06
