iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
REU,Reunion,2024-09-14,0.0,0.7,12.6,2024-09-20
REU,Reunion,2024-09-21,0.0,0.1,11.9,2024-09-27
REU,Reunion,2024-09-28,0.0,0.3,9.9,2024-10-04
REU,Reunion,2024-10-05,0.0,0.3,10.5,2024-10-11
REU,Reunion,2024-10-12,0.0,0.8,12.5,2024-10-18
REU,Reunion,2024-10-19,0.0,0.9,9.5,2024-10-25
REU,Reunion,2024-10-26,0.0,0.2,10.3,2024-11-01
REU,Reunion,2024-11-02,0.3,0.9,12.2,2024-11-08
REU,Reunion,2024-11-09,0.1,0.6,10.6,2024-11-15
REU,Reunion,2024-11-16,0.0,1.2,12.0,2024-11-22
REU,Reunion,2024-11-23,0.0,0.2,8.8,2024-11-29
REU,Reunion,2024-11-30,0.2,0.9,10.0,2024-12-06
