iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
TJK,Tajikistan,2024-09-14,0.2,0.4,2.0,2024-09-20
TJK,Tajikistan,2024-09-21,0.4,1.0,3.2,2024-09-27
TJK,Tajikistan,2024-09-28,0.3,1.0,2.8,2024-10-04
TJK,Tajikistan,2024-10-05,0.7,1.3,3.7,2024-10-11
TJK,Tajikistan,2024-10-12,1.1,2.2,5.2,2024-10-18
TJK,Tajikistan,2024-10-19,0.5,1.0,2.5,2024-10-25
TJK,Tajikistan,2024-10-26,0.7,1.6,3.9,2024-11-01
TJK,Tajikistan,2024-11-02,0.3,1.3,4.6,2024-11-08
TJK,Tajikistan,2024-11-09,0.7,1.4,3.8,2024-11-15
TJK,Tajikistan,2024-11-16,0.5,1.6,3.6,2024-11-22
TJK,Tajikistan,2024-11-23,0.5,1.5,4.0,2024-11-29
TJK,Tajikistan,2024-11-30,0.3,0.7,2.5,2024-12-06
