iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
TTO,Trinidad and Tobago,2024-09-14,4.7,7.3,22.0,2024-09-20
TTO,Trinidad and Tobago,2024-09-21,3.1,5.7,20.6,2024-09-27
TTO,Trinidad and Tobago,2024-09-28,2.6,4.5,17.6,2024-10-04
TTO,Trinidad and Tobago,2024-10-05,3.9,6.9,22.4,2024-10-11
TTO,Trinidad and Tobago,2024-10-12,2.2,4.2,18.5,2024-10-18
TTO,Trinidad and Tobago,2024-10-19,4.8,7.3,24.0,2024-10-25
TTO,Trinidad and Tobago,2024-10-26,2.4,4.6,17.2,2024-11-01
TTO,Trinidad and Tobago,2024-11-02,2.4,4.3,17.0,2024-11-08
TTO,Trinidad and Tobago,2024-11-09,3.3,5.0,20.0,2024-11-15
TTO,Trinidad and Tobago,2024-11-16,2.5,4.6,16.4,2024-11-22
TTO,Trinidad and Tobago,2024-11-23,2.2,4.6,15.8,2024-11-29
TTO,Trinidad and Tobago,2024-11-30,2.8,4.0,15.6,2024-12-06
