iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
ASM,American Samoa,2024-09-21,0.0,0.0,0.0,2024-09-27
ASM,American Samoa,2024-09-28,0.0,0.0,0.0,2024-10-04
ASM,American Samoa,2024-10-05,0.0,0.0,0.0,2024-10-11
ASM,American Samoa,2024-10-12,0.0,0.0,0.0,2024-10-18
ASM,American Samoa,2024-10-19,0.0,0.0,0.0,2024-10-25
ASM,American Samoa,2024-10-26,0.0,0.0,0.0,2024-11-01
ASM,American Samoa,2024-11-02,0.0,0.0,0.0,2024-11-08
ASM,American Samoa,2024-11-09,0.0,0.0,0.0,2024-11-15
ASM,American Samoa,2024-11-16,0.0,0.0,0.0,2024-11-22
ASM,American Samoa,2024-11-23,0.0,0.0,0.0,2024-11-29
ASM,American Samoa,2024-11-30,0.0,0.0,0.0,2024-12-06
ASM,American Samoa,2024-12-07,0.0,0.0,0.0,2024-12-13
