iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
BHS,Bahamas,2024-09-21,2.1,3.8,7.2,2024-09-27
BHS,Bahamas,2024-09-28,2.3,3.9,8.1,2024-10-04
BHS,Bahamas,2024-10-05,2.2,4.4,7.4,2024-10-11
BHS,Bahamas,2024-10-12,2.2,4.6,10.0,2024-10-18
BHS,Bahamas,2024-10-19,1.5,3.8,8.2,2024-10-25
BHS,Bahamas,2024-10-26,2.4,4.7,7.2,2024-11-01
BHS,Bahamas,2024-11-02,2.1,3.5,6.5,2024-11-08
BHS,Bahamas,2024-11-09,1.3,3.2,7.6,2024-11-15
BHS,Bahamas,2024-11-16,1.1,3.4,6.3,2024-11-22
BHS,Bahamas,2024-11-23,1.9,4.3,8.9,2024-11-29
BHS,Bahamas,2024-11-30,1.5,2.9,6.3,2024-12-06
BHS,Bahamas,2024-12-07,1.9,3.8,6.8,2024-12-13
