iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
BFA,Burkina Faso,2024-09-21,0.0,2.0,15.3,2024-09-27
BFA,Burkina Faso,2024-09-28,0.0,0.6,9.3,2024-10-04
BFA,Burkina Faso,2024-10-05,0.0,1.5,13.6,2024-10-11
BFA,Burkina Faso,2024-10-12,0.0,1.1,13.3,2024-10-18
BFA,Burkina Faso,2024-10-19,0.0,1.9,13.2,2024-10-25
BFA,Burkina Faso,2024-10-26,0.0,2.4,15.1,2024-11-01
BFA,Burkina Faso,2024-11-02,0.0,1.8,10.4,2024-11-08
BFA,Burkina Faso,2024-11-09,0.0,1.6,13.2,2024-11-15
BFA,Burkina Faso,2024-11-16,0.0,1.7,13.6,2024-11-22
BFA,Burkina Faso,2024-11-23,0.0,0.6,11.4,2024-11-29
BFA,Burkina Faso,2024-11-30,0.1,2.0,13.8,2024-12-06
BFA,Burkina Faso,2024-12-07,0.0,1.9,14.0,2024-12-13
