iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
CHL,Chile,2024-09-21,0.0,0.0,0.9,2024-09-27
CHL,Chile,2024-09-28,0.0,0.0,0.9,2024-10-04
CHL,Chile,2024-10-05,0.0,0.0,0.2,2024-10-11
CHL,Chile,2024-10-12,0.0,0.0,1.1,2024-10-18
CHL,Chile,2024-10-19,0.0,0.0,0.3,2024-10-25
CHL,Chile,2024-10-26,0.0,0.0,0.8,2024-11-01
CHL,Chile,2024-11-02,0.0,0.0,0.1,2024-11-08
CHL,Chile,2024-11-09,0.0,0.0,0.8,2024-11-15
CHL,Chile,2024-11-16,0.0,0.0,0.4,2024-11-22
CHL,Chile,2024-11-23,0.0,0.0,1.8,2024-11-29
CHL,Chile,2024-11-30,0.0,0.0,0.7,2024-12-06
CHL,Chile,2024-12-07,0.0,0.0,0.7,2024-12-13
