iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
DOM,Dominican Republic,2024-09-21,0.2,3.2,8.6,2024-09-27
DOM,Dominican Republic,2024-09-28,0.0,4.6,8.3,2024-10-04
DOM,Dominican Republic,2024-10-05,0.1,7.8,16.2,2024-10-11
DOM,Dominican Republic,2024-10-12,0.0,4.1,7.8,2024-10-18
DOM,Dominican Republic,2024-10-19,0.0,3.6,9.2,2024-10-25
DOM,Dominican Republic,2024-10-26,0.0,3.3,8.3,2024-11-01
DOM,Dominican Republic,2024-11-02,0.0,2.8,9.4,2024-11-08
DOM,Dominican Republic,2024-11-09,0.0,5.2,9.3,2024-11-15
DOM,Dominican Republic,2024-11-16,0.1,5.5,10.8,2024-11-22
DOM,Dominican Republic,2024-11-23,0.0,4.5,9.8,2024-11-29
DOM,Dominican Republic,2024-11-30,0.2,4.7,9.3,2024-12-06
DOM,Dominican Republic,2024-12-07,0.0,3.0,8.0,2024-12-13
