iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
GIN,Guinea,2024-09-21,0.0,0.0,11.7,2024-09-27
GIN,Guinea,2024-09-28,0.0,0.7,22.3,2024-10-04
GIN,Guinea,2024-10-05,0.0,0.1,14.0,2024-10-11
GIN,Guinea,2024-10-12,0.0,0.3,15.6,2024-10-18
GIN,Guinea,2024-10-19,0.0,0.0,12.7,2024-10-25
GIN,Guinea,2024-10-26,0.0,0.4,12.6,2024-11-01
GIN,Guinea,2024-11-02,0.0,0.2,13.2,2024-11-08
GIN,Guinea,2024-11-09,0.0,0.1,10.2,2024-11-15
GIN,Guinea,2024-11-16,0.0,0.2,11.9,2024-11-22
GIN,Guinea,2024-11-23,0.0,0.1,9.3,2024-11-29
GIN,Guinea,2024-11-30,0.0,0.5,15.2,2024-12-06
GIN,Guinea,2024-12-07,0.0,0.5,16.1,2024-12-13
