iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
ISR,Israel,2024-09-21,0.0,1.6,15.4,2024-09-27
ISR,Israel,2024-09-28,0.0,0.9,15.1,2024-10-04
ISR,Israel,2024-10-05,0.0,0.8,15.7,2024-10-11
ISR,Israel,2024-10-12,0.0,1.3,18.4,2024-10-18
ISR,Israel,2024-10-19,0.0,1.0,20.6,2024-10-25
ISR,Israel,2024-10-26,0.0,0.6,17.2,2024-11-01
ISR,Israel,2024-11-02,0.0,1.4,19.2,2024-11-08
ISR,Israel,2024-11-09,0.0,1.0,17.0,2024-11-15
ISR,Israel,2024-11-16,0.0,0.5,15.5,2024-11-22
ISR,Israel,2024-11-23,0.0,1.1,15.6,2024-11-29
ISR,Israel,2024-11-30,0.0,2.6,21.4,2024-12-06
ISR,Israel,2024-12-07,0.0,2.6,22.4,2024-12-13
