iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
MDV,Maldives,2024-09-21,0.8,2.1,7.4,2024-09-27
MDV,Maldives,2024-09-28,0.4,1.7,8.3,2024-10-04
MDV,Maldives,2024-10-05,0.1,1.7,6.0,2024-10-11
MDV,Maldives,2024-10-12,0.4,1.3,6.6,2024-10-18
MDV,Maldives,2024-10-19,0.1,1.2,5.2,2024-10-25
MDV,Maldives,2024-10-26,0.2,1.4,6.9,2024-11-01
MDV,Maldives,2024-11-02,0.2,1.6,6.3,2024-11-08
MDV,Maldives,2024-11-09,0.2,1.7,6.9,2024-11-15
MDV,Maldives,2024-11-16,0.3,1.6,7.3,2024-11-22
MDV,Maldives,2024-11-23,0.1,1.9,6.4,2024-11-29
MDV,Maldives,2024-11-30,0.7,2.5,7.6,2024-12-06
MDV,Maldives,2024-12-07,0.2,1.9,6.9,2024-12-13
