iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
NER,Niger,2024-09-21,0.2,7.7,50.1,2024-09-27
NER,Niger,2024-09-28,0.2,8.6,53.4,2024-10-04
NER,Niger,2024-10-05,0.1,5.4,44.7,2024-10-11
NER,Niger,2024-10-12,0.2,7.2,46.5,2024-10-18
NER,Niger,2024-10-19,0.0,6.6,43.8,2024-10-25
NER,Niger,2024-10-26,0.1,5.3,43.6,2024-11-01
NER,Niger,2024-11-02,0.2,6.6,42.3,2024-11-08
NER,Niger,2024-11-09,0.0,6.4,38.8,2024-11-15
NER,Niger,2024-11-16,0.2,4.9,39.4,2024-11-22
NER,Niger,2024-11-23,0.2,6.0,38.4,2024-11-29
NER,Niger,2024-11-30,0.0,3.4,33.9,2024-12-06
NER,Niger,2024-12-07,0.2,7.0,43.6,2024-12-13
