iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
MKD,North Macedonia,2024-09-21,0.0,0.8,5.3,2024-09-27
MKD,North Macedonia,2024-09-28,0.1,0.4,6.3,2024-10-04
MKD,North Macedonia,2024-10-05,0.3,0.9,4.7,2024-10-11
MKD,North Macedonia,2024-10-12,0.1,0.7,6.7,2024-10-18
MKD,North Macedonia,2024-10-19,0.1,0.6,5.1,2024-10-25
MKD,North Macedonia,2024-10-26,0.1,0.8,5.2,2024-11-01
MKD,North Macedonia,2024-11-02,0.1,0.9,5.6,2024-11-08
MKD,North Macedonia,2024-11-09,0.1,0.9,5.7,2024-11-15
MKD,North Macedonia,2024-11-16,0.0,0.3,5.6,2024-11-22
MKD,North Macedonia,2024-11-23,0.0,0.2,3.8,2024-11-29
MKD,North Macedonia,2024-11-30,0.2,0.6,4.3,2024-12-06
MKD,North Macedonia,2024-12-07,0.2,0.3,3.9,2024-12-13
