iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
OMN,Oman,2024-09-21,0.9,1.3,3.0,2024-09-27
OMN,Oman,2024-09-28,0.4,1.2,3.7,2024-10-04
OMN,Oman,2024-10-05,0.7,1.5,3.7,2024-10-11
OMN,Oman,2024-10-12,1.7,3.0,5.0,2024-10-18
OMN,Oman,2024-10-19,0.7,1.2,3.4,2024-10-25
OMN,Oman,2024-10-26,1.1,1.6,3.9,2024-11-01
OMN,Oman,2024-11-02,1.0,2.1,4.1,2024-11-08
OMN,Oman,2024-11-09,0.9,2.0,4.3,2024-11-15
OMN,Oman,2024-11-16,0.6,1.7,3.7,2024-11-22
OMN,Oman,2024-11-23,0.6,1.4,3.9,2024-11-29
OMN,Oman,2024-11-30,1.2,1.9,4.4,2024-12-06
OMN,Oman,2024-12-07,0.1,0.7,2.3,2024-12-13
