iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
SEN,Senegal,2024-09-21,0.1,2.4,12.0,2024-09-27
SEN,Senegal,2024-09-28,0.0,1.2,9.0,2024-10-04
SEN,Senegal,2024-10-05,0.0,1.2,8.1,2024-10-11
SEN,Senegal,2024-10-12,0.0,1.0,10.6,2024-10-18
SEN,Senegal,2024-10-19,0.0,2.2,15.0,2024-10-25
SEN,Senegal,2024-10-26,0.0,2.7,14.2,2024-11-01
SEN,Senegal,2024-11-02,0.0,2.4,11.7,2024-11-08
SEN,Senegal,2024-11-09,0.0,1.4,11.1,2024-11-15
SEN,Senegal,2024-11-16,0.0,1.1,9.6,2024-11-22
SEN,Senegal,2024-11-23,0.0,1.2,8.1,2024-11-29
SEN,Senegal,2024-11-30,0.0,2.2,10.2,2024-12-06
SEN,Senegal,2024-12-07,0.0,0.6,8.5,2024-12-13
