iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
TCA,Turks and Caicos Islands,2024-09-21,0.6,0.8,1.5,2024-09-27
TCA,Turks and Caicos Islands,2024-09-28,0.4,0.5,0.7,2024-10-04
TCA,Turks and Caicos Islands,2024-10-05,0.4,0.4,1.3,2024-10-11
TCA,Turks and Caicos Islands,2024-10-12,0.5,0.6,1.2,2024-10-18
TCA,Turks and Caicos Islands,2024-10-19,0.6,0.6,1.4,2024-10-25
TCA,Turks and Caicos Islands,2024-10-26,0.3,0.4,0.9,2024-11-01
TCA,Turks and Caicos Islands,2024-11-02,0.3,0.3,0.5,2024-11-08
TCA,Turks and Caicos Islands,2024-11-09,0.6,0.6,1.3,2024-11-15
TCA,Turks and Caicos Islands,2024-11-16,0.4,0.5,0.9,2024-11-22
TCA,Turks and Caicos Islands,2024-11-23,0.7,0.7,1.5,2024-11-29
TCA,Turks and Caicos Islands,2024-11-30,0.4,0.4,0.5,2024-12-06
TCA,Turks and Caicos Islands,2024-12-07,0.9,1.0,1.4,2024-12-13
