iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
BLR,Belarus,2024-10-05,0.0,3.2,12.1,2024-10-11
BLR,Belarus,2024-10-12,0.0,2.8,13.8,2024-10-18
BLR,Belarus,2024-10-19,0.0,2.6,12.1,2024-10-25
BLR,Belarus,2024-10-26,0.0,2.8,14.4,2024-11-01
BLR,Belarus,2024-11-02,0.0,3.5,14.1,2024-11-08
BLR,Belarus,2024-11-09,0.0,3.8,16.1,2024-11-15
BLR,Belarus,2024-11-16,0.0,2.9,11.3,2024-11-22
BLR,Belarus,2024-11-23,0.0,1.6,13.1,2024-11-29
BLR,Belarus,2024-11-30,0.0,2.9,12.7,2024-12-06
BLR,Belarus,2024-12-07,0.0,1.4,11.2,2024-12-13
BLR,Belarus,2024-12-14,0.0,2.3,13.9,2024-12-20
BLR,Belarus,2024-12-21,0.1,3.8,13.7,2024-12-27
